area_of_effect_displays_tables
8
unknown0	unknown1	unknown2	unknown3	unknown4	unknown5	unknown6	unknown7	unknown8	unknown9	unknown10	unknown11	unknown12	unknown13	unknown14	unknown15	unknown16	unknown17	unknown18
False	wh_abilities_generic_debuff_active	False	wh_main_targeting_pre_debuff_ui_central	wh_main_generic_ui_segment_debuff	2	255	255	255	255	255	255	False	50	64		False	5	False
False	wh_abilities_generic_debuff_active_large	False	wh_main_targeting_pre_debuff_ui_central	wh_main_generic_ui_segment_debuff	2	255	255	255	255	255	255	False	50	112		False	-1	False
False	wh_abilities_generic_debuff_large	False	wh_main_targeting_pre_debuff_ui_central	wh_main_generic_ui_segment_debuff	2	255	255	255	255	255	255	False	50	112		False	-1	False
False	wh_abilities_generic_debuff_no_ring	False	wh_main_targeting_pre_debuff_ui_central		2	255	255	255	255	255	255	False	50	1		False	-1	False
False	wh_abilities_generic_debuff_wom	False	wh_main_targeting_pre_winds_hex_ui_central	wh_main_generic_ui_segment_debuff	2	255	255	255	255	255	255	False	50	64		False	5	False
False	wh_abilities_generic_debuff_wom_no_ring	False	wh_main_targeting_pre_winds_hex_ui_central		2	255	255	255	255	255	255	False	50	64		False	5	False
False	wh_abilities_generic_direct_damage	False	wh_main_targeting_pre_direct_damage_area_ui_central	wh_main_generic_ui_segment_debuff	2	255	255	255	255	255	255	False	0	64		False	5	False
False	wh_abilities_generic_direct_damage_active	False	wh_main_targeting_pre_direct_damage_area_ui_central	wh_main_generic_ui_segment_debuff	2	255	255	255	255	255	255	False	0	64		False	5	False
False	wh_abilities_generic_direct_damage_no_ring	False	wh_main_targeting_pre_direct_damage_ui_central		2	255	255	255	255	255	255	False	0	1		False	-1	False
False	wh_abilities_generic_explosion	False	wh_main_targeting_pre_explosion_ui_central	wh_main_generic_ui_segment_short	2	255	255	255	255	255	255	False	50	24		False	2	False
False	wh_abilities_generic_explosion_no_ring	False	wh_main_targeting_pre_explosion_ui_central		2	255	255	255	255	255	255	False	50	24		False	2	False
False	wh_abilities_generic_full_hide	False	wh_main_targeting_pre_hiding_ui_central		2	255	255	255	255	255	255	False	0	1		False	-1	False
False	wh_abilities_generic_regeneration	False	wh_main_targeting_pre_regeneration_area_ui_central	wh_main_generic_ui_segment_buff	2	255	255	255	255	255	255	False	0	64		False	5	False
False	wh_abilities_generic_regeneration_active	False	wh_main_targeting_pre_regeneration_area_ui_central	wh_main_generic_ui_segment_buff	2	255	255	255	255	255	255	False	0	64		False	5	False
False	wh_abilities_generic_regeneration_no_ring	False	wh_main_targeting_pre_regeneration_ui_central		2	255	255	255	255	255	255	False	0	1		False	-1	False
False	wh_abilities_generic_spawn	False	wh_main_targeting_pre_spawn_ui_central		2	255	255	255	255	255	255	False	50	64		False	-1	False
False	wh_abilities_generic_spawn_skaven	False	wh_main_targeting_pre_spawn_skaven_ui_central		2	255	255	255	255	255	255	False	50	64		False	-1	False
False	wh_abilities_generic_vortex	False	wh_main_targeting_pre_vortex_ui_central	wh_main_generic_ui_segment_short	2	255	255	255	255	255	255	False	50	24		False	2	False
False	wh_abilities_generic_vortex_large	False	wh_main_targeting_pre_vortex_ui_central	wh_main_generic_ui_segment_short	2	255	255	255	255	255	255	False	50	24		False	2	False
False	wh_abilities_generic_wind	False	wh_main_targeting_pre_wind_ui_central		2	255	255	255	255	255	255	False	50	24		False	-1	False
False	wh_abilities_generic_wind_random	False	wh_main_targeting_pre_wind_ui_central_random		2	255	255	255	255	255	255	False	50	24		False	-1	False
False	wh_army_abilities_generic_augment	False	wh_main_targeting_pre_aa_buff_ui_central	wh_main_generic_ui_aa_segment_buff	2	255	255	255	255	255	255	False	50	64		False	-1	False
False	wh_army_abilities_generic_bombardment	False	wh_main_targeting_pre_aa_bombardment_ui_central	wh_main_generic_ui_aa_segment_short	2	255	255	255	255	255	255	False	50	64		False	-1	False
False	wh_army_abilities_generic_bombardment_active	False	wh_main_targeting_pre_aa_bombardment_ui_central	wh_main_generic_ui_aa_segment_short	2	255	255	255	255	255	255	False	50	64		False	-1	False
False	wh_army_abilities_generic_breath	False	wh_main_targeting_pre_aa_breath_ui_central		2	255	255	255	255	255	255	False	50	64		False	-1	False
False	wh_army_abilities_generic_buff_wom	False	wh_main_targeting_pre_aa_winds_augment_ui_central	wh_main_generic_ui_aa_segment_buff	2	255	255	255	255	255	255	False	50	64		False	5	False
False	wh_army_abilities_generic_direct_damage	False	wh_main_targeting_pre_aa_direct_damage_ui_central	wh_main_generic_ui_aa_segment_debuff	2	255	255	255	255	255	255	False	50	64		False	-1	False
False	wh_army_abilities_generic_direct_damage_area	False	wh_main_targeting_pre_aa_direct_damage_area_ui_central	wh_main_generic_ui_aa_segment_debuff	2	255	255	255	255	255	255	False	50	64		False	-1	False
False	wh_army_abilities_generic_explosion	False	wh_main_targeting_pre_aa_explosion_ui_central	wh_main_generic_ui_aa_segment_short	2	255	255	255	255	255	255	False	50	64		False	-1	False
False	wh_army_abilities_generic_explosion_no_ring	False	wh_main_targeting_pre_aa_explosion_ui_central		2	255	255	255	255	255	255	False	50	64		False	-1	False
False	wh_army_abilities_generic_hex	False	wh_main_targeting_pre_aa_debuff_ui_central	wh_main_generic_ui_aa_segment_debuff	2	255	255	255	255	255	255	False	50	64		False	-1	False
False	wh_army_abilities_generic_regeneration	False	wh_main_targeting_pre_aa_regeneration_ui_central	wh_main_generic_ui_aa_segment_buff	2	255	255	255	255	255	255	False	50	64		False	-1	False
False	wh_army_abilities_generic_spawn	False	wh_main_targeting_pre_spawn_ui_central		2	255	255	255	255	255	255	False	50	64		False	-1	False
False	wh_spell_earthblood	False	wh_main_targeting_pre_buff_ui_central	wh_main_generic_ui_segment_buff	2	255	255	255	255	255	255	False	50	64		False	5	False
False	wh_spell_generic_bombardment	False	wh_main_targeting_pre_bombardment_ui_central	wh_main_generic_ui_segment_short	2	255	255	255	255	255	255	False	50	24		False	2	False
False	wh_spell_generic_bombardment_active	False	wh_main_targeting_bombardment_ui_central	wh_main_generic_ui_segment_short	2	255	255	255	255	255	255	False	50	24		False	2	False
False	wh_spell_generic_bombardment_active_small	False	wh_main_targeting_bombardment_ui_central		2	255	255	255	255	255	255	False	50	24		False	2	False
False	wh_spell_generic_bombardment_small	False	wh_main_targeting_pre_bombardment_ui_central		2	255	255	255	255	255	255	False	50	24		False	2	False
False	wh_spell_generic_missile	False	wh_main_targeting_pre_singular_ui_central		2	255	255	255	255	255	255	False	50	24		False	-1	False
False	wh_spell_generic_missiles	False	wh_main_targeting_pre_magicmissile_ui_central		2	255	255	255	255	255	255	False	50	24		False	-1	False
