building_culture_variants_tables
4
building	culture	battlefield_building	artpiece	artpiece_animated	faction	disables	flavour	display_tooltip
wh2_main_brt_resource_marble_1		wh_main_PLACEHOLDER	empire_marble			False	wh_main_emp_resource_marble_2	True
wh2_main_brt_resource_marble_2		wh_main_PLACEHOLDER	empire_marble			False	wh_main_emp_resource_marble_1	True
wh2_main_brt_resource_marble_3		wh_main_PLACEHOLDER	empire_marble			False	wh_main_emp_resource_marble_3	True
wh2_main_brt_resource_medicine_1		wh_main_PLACEHOLDER	empire_resource_medicine			False	wh2_main_hef_resource_medicine_1	True
wh2_main_brt_resource_medicine_2		wh_main_PLACEHOLDER	empire_resource_medicine			False	wh2_main_hef_resource_medicine_2	True
wh2_main_brt_resource_medicine_3		wh_main_PLACEHOLDER	empire_resource_medicine			False	wh2_main_hef_resource_medicine_3	True
wh2_main_brt_resource_obsidian_1		wh_main_PLACEHOLDER	empire_resource_obsidian			False	wh2_main_hef_resource_obsidian_1	True
wh2_main_brt_resource_obsidian_2		wh_main_PLACEHOLDER	empire_resource_obsidian			False	wh2_main_hef_resource_obsidian_2	True
wh2_main_brt_resource_obsidian_3		wh_main_PLACEHOLDER	empire_resource_obsidian			False	wh2_main_hef_resource_obsidian_3	True
wh2_main_brt_resource_pastures_1		wh_main_PLACEHOLDER	empire_pastures			False	wh_main_emp_resource_pastures_1	True
wh2_main_brt_resource_pastures_2		wh_main_PLACEHOLDER	empire_pastures			False	wh_main_emp_resource_pastures_2	True
wh2_main_brt_resource_pastures_3		wh_main_PLACEHOLDER	empire_pastures			False	wh_main_emp_resource_pastures_3	True
wh2_main_brt_resource_pottery_1		wh_main_PLACEHOLDER	empire_pottery			False	wh_main_emp_resource_pottery_1	True
wh2_main_brt_resource_pottery_2		wh_main_PLACEHOLDER	empire_pottery			False	wh_main_emp_resource_pottery_2	True
wh2_main_brt_resource_pottery_3		wh_main_PLACEHOLDER	empire_pottery			False	wh_main_emp_resource_pottery_3	True
wh2_main_brt_resource_salt_1		wh_main_PLACEHOLDER	empire_brine			False	wh_main_emp_resource_salt_1	True
wh2_main_brt_resource_salt_2		wh_main_PLACEHOLDER	empire_brine			False	wh_main_emp_resource_salt_2	True
wh2_main_brt_resource_salt_3		wh_main_PLACEHOLDER	empire_brine			False	wh_main_emp_resource_salt_3	True
wh2_main_brt_resource_spices_1		wh_main_PLACEHOLDER	empire_resource_spices			False	wh2_main_hef_resource_spices_1	True
wh2_main_brt_resource_spices_2		wh_main_PLACEHOLDER	empire_resource_spices			False	wh2_main_hef_resource_spices_2	True
wh2_main_brt_resource_spices_3		wh_main_PLACEHOLDER	empire_resource_spices			False	wh2_main_hef_resource_spices_3	True
wh2_main_brt_resource_timber_1		wh_main_PLACEHOLDER	empire_timber			False	wh_main_emp_resource_timber_1	True
wh2_main_brt_resource_timber_2		wh_main_PLACEHOLDER	empire_timber			False	wh_main_emp_resource_timber_2	True
wh2_main_brt_resource_timber_3		wh_main_PLACEHOLDER	empire_timber			False	wh_main_emp_resource_timber_3	True
wh2_main_brt_resource_wine_1		wh_main_PLACEHOLDER	empire_orchards			False	wh_main_emp_resource_wine_1	True
wh2_main_brt_resource_wine_2		wh_main_PLACEHOLDER	empire_orchards			False	wh_main_emp_resource_wine_2	True
wh2_main_brt_resource_wine_3		wh_main_PLACEHOLDER	empire_orchards			False	wh_main_emp_resource_wine_3	True
wh2_main_def_barracks_1		wh_main_PLACEHOLDER	dark_elves_barracks			False	wh2_main_def_barracks_1	True
wh2_main_def_barracks_2		wh_main_PLACEHOLDER	dark_elves_barracks			False	wh2_main_def_barracks_2	True
wh2_main_def_barracks_3		wh_main_PLACEHOLDER	dark_elves_barracks			False	wh2_main_def_barracks_3	True
wh2_main_def_beasts_1		wh_main_PLACEHOLDER	dark_elves_beasts			False	wh2_main_def_beasts_1	True
wh2_main_def_beasts_2		wh_main_PLACEHOLDER	dark_elves_beasts			False	wh2_main_def_beasts_2	True
wh2_main_def_beasts_3		wh_main_PLACEHOLDER	dark_elves_beasts			False	wh2_main_def_beasts_3	True
wh2_main_def_coldones_1		wh_main_PLACEHOLDER	dark_elves_cold_ones			False	wh2_main_def_coldones_1	True
wh2_main_def_coldones_2		wh_main_PLACEHOLDER	dark_elves_cold_ones			False	wh2_main_def_coldones_2	True
wh2_main_def_defence_major_1		wh_main_PLACEHOLDER	dark_elves_defence_major			False	wh2_main_def_defence_major_1	True
wh2_main_def_defence_major_2		wh_main_PLACEHOLDER	dark_elves_defence_major			False	wh2_main_def_defence_major_2	True
wh2_main_def_defence_major_3		wh_main_PLACEHOLDER	dark_elves_defence_major			False	wh2_main_def_defence_major_3	True
wh2_main_def_defence_minor_1		wh_main_PLACEHOLDER	dark_elves_defence_minor			False	wh2_main_def_defence_minor_1	True
wh2_main_def_defence_minor_2		wh_main_PLACEHOLDER	dark_elves_defence_minor			False	wh2_main_def_defence_minor_2	True
wh2_main_def_defence_norsca_1		wh_main_PLACEHOLDER	dark_elves_defence_minor			False	wh2_main_def_defence_minor_1	True
wh2_main_def_exiles_1		wh_main_PLACEHOLDER	dark_elves_exiles			False	wh2_main_def_exiles_1	True
wh2_main_def_exiles_2		wh_main_PLACEHOLDER	dark_elves_exiles			False	wh2_main_def_exiles_2	True
wh2_main_def_farm_1		wh_main_PLACEHOLDER	dark_elves_farm			False	wh2_main_def_farm_1	True
wh2_main_def_farm_2		wh_main_PLACEHOLDER	dark_elves_farm			False	wh2_main_def_farm_2	True
wh2_main_def_farm_3		wh_main_PLACEHOLDER	dark_elves_farm			False	wh2_main_def_farm_3	True
wh2_main_def_industry_1		wh_main_PLACEHOLDER	dark_elves_industry			False	wh2_main_def_industry_1	True
wh2_main_def_industry_2		wh_main_PLACEHOLDER	dark_elves_industry			False	wh2_main_def_industry_2	True
wh2_main_def_industry_3		wh_main_PLACEHOLDER	dark_elves_industry			False	wh2_main_def_industry_3	True
wh2_main_def_murder_1		wh_main_PLACEHOLDER	dark_elves_hired_killers		wh2_main_def_cult_of_pleasure	False	wh2_main_def_murder_1	True
wh2_main_def_murder_1		wh_main_PLACEHOLDER	dark_elves_hired_killers		wh2_main_def_cult_of_pleasure_separatists	False	wh2_main_def_murder_1	True
wh2_main_def_murder_1		wh_main_PLACEHOLDER	dark_elves_hired_killers		wh2_main_def_ssildra_tor	False	wh2_main_def_murder_1	True
wh2_main_def_murder_2		wh_main_PLACEHOLDER	dark_elves_hired_killers		wh2_main_def_cult_of_pleasure	False	wh2_main_def_murder_2	True
wh2_main_def_murder_2		wh_main_PLACEHOLDER	dark_elves_hired_killers		wh2_main_def_cult_of_pleasure_separatists	False	wh2_main_def_murder_2	True
wh2_main_def_murder_2		wh_main_PLACEHOLDER	dark_elves_hired_killers		wh2_main_def_ssildra_tor	False	wh2_main_def_murder_2	True
wh2_main_def_order_1		wh_main_PLACEHOLDER	dark_elves_entertainment			False	wh2_main_def_order_1	True
wh2_main_def_order_1		wh_main_PLACEHOLDER	dark_elves_entertainment		wh2_main_def_cult_of_pleasure	True	wh2_main_def_order_1	True
wh2_main_def_order_1		wh_main_PLACEHOLDER	dark_elves_entertainment		wh2_main_def_cult_of_pleasure_separatists	True	wh2_main_def_order_1	True
wh2_main_def_order_1		wh_main_PLACEHOLDER	dark_elves_entertainment		wh2_main_def_ssildra_tor	True	wh2_main_def_order_1	True
wh2_main_def_order_2		wh_main_PLACEHOLDER	dark_elves_entertainment			False	wh2_main_def_order_2	True
wh2_main_def_order_2		wh_main_PLACEHOLDER	dark_elves_entertainment		wh2_main_def_cult_of_pleasure	True	wh2_main_def_order_2	True
wh2_main_def_order_2		wh_main_PLACEHOLDER	dark_elves_entertainment		wh2_main_def_cult_of_pleasure_separatists	True	wh2_main_def_order_2	True
wh2_main_def_order_2		wh_main_PLACEHOLDER	dark_elves_entertainment		wh2_main_def_ssildra_tor	True	wh2_main_def_order_2	True
wh2_main_def_order_3		wh_main_PLACEHOLDER	dark_elves_entertainment			False	wh2_main_def_order_3	True
wh2_main_def_order_3		wh_main_PLACEHOLDER	dark_elves_entertainment		wh2_main_def_cult_of_pleasure	True	wh2_main_def_order_3	True
wh2_main_def_order_3		wh_main_PLACEHOLDER	dark_elves_entertainment		wh2_main_def_cult_of_pleasure_separatists	True	wh2_main_def_order_3	True
wh2_main_def_order_3		wh_main_PLACEHOLDER	dark_elves_entertainment		wh2_main_def_ssildra_tor	True	wh2_main_def_order_3	True
wh2_main_def_outpostnorsca_major_1		wh_main_PLACEHOLDER	dark_elves_city			False	wh2_main_def_settlement_major_1	True
wh2_main_def_outpostnorsca_major_1_coast		wh_main_PLACEHOLDER	dark_elves_city			False	wh2_main_def_settlement_major_1	True
wh2_main_def_outpostnorsca_major_2		wh_main_PLACEHOLDER	dark_elves_city			False	wh2_main_def_settlement_major_2	True
wh2_main_def_outpostnorsca_major_2_coast		wh_main_PLACEHOLDER	dark_elves_city			False	wh2_main_def_settlement_major_2	True
wh2_main_def_outpostnorsca_major_3		wh_main_PLACEHOLDER	dark_elves_city			False	wh2_main_def_settlement_major_3	True
wh2_main_def_outpostnorsca_major_3_coast		wh_main_PLACEHOLDER	dark_elves_city			False	wh2_main_def_settlement_major_3	True
wh2_main_def_outpostnorsca_major_4		wh_main_PLACEHOLDER	dark_elves_city			False	wh2_main_def_settlement_major_4	True
wh2_main_def_outpostnorsca_major_4_coast		wh_main_PLACEHOLDER	dark_elves_city			False	wh2_main_def_settlement_major_4	True
wh2_main_def_outpostnorsca_major_5		wh_main_PLACEHOLDER	dark_elves_city			False	wh2_main_def_settlement_major_5	True
wh2_main_def_outpostnorsca_major_5_coast		wh_main_PLACEHOLDER	dark_elves_city			False	wh2_main_def_settlement_major_5	True
wh2_main_def_outpostnorsca_major_ruin		wh_main_PLACEHOLDER	dark_elves_city_ruin			False	wh_main_settlement_major_ruin	True
wh2_main_def_outpostnorsca_major_ruin_coast		wh_main_PLACEHOLDER	dark_elves_city_ruin			False	wh_main_settlement_major_ruin	True
wh2_main_def_outpostnorsca_minor_1		wh_main_PLACEHOLDER	dark_elves_city			False	wh2_main_def_settlement_major_1	True
wh2_main_def_outpostnorsca_minor_1_coast		wh_main_PLACEHOLDER	dark_elves_city			False	wh2_main_def_settlement_major_1	True
wh2_main_def_outpostnorsca_minor_2		wh_main_PLACEHOLDER	dark_elves_city			False	wh2_main_def_settlement_major_2	True
wh2_main_def_outpostnorsca_minor_2_coast		wh_main_PLACEHOLDER	dark_elves_city			False	wh2_main_def_settlement_major_2	True
wh2_main_def_outpostnorsca_minor_3		wh_main_PLACEHOLDER	dark_elves_city			False	wh2_main_def_settlement_major_3	True
wh2_main_def_outpostnorsca_minor_3_coast		wh_main_PLACEHOLDER	dark_elves_city			False	wh2_main_def_settlement_major_3	True
wh2_main_def_outpostnorsca_minor_ruin		wh_main_PLACEHOLDER	dark_elves_city_ruin			False	wh_main_settlement_minor_ruin	True
wh2_main_def_outpostnorsca_minor_ruin_coast		wh_main_PLACEHOLDER	dark_elves_city_ruin			False	wh_main_settlement_minor_ruin	True
wh2_main_def_pleasure_cult_1		wh_main_PLACEHOLDER	dark_elves_pleasure_cult		wh2_main_def_cult_of_pleasure	False	wh2_main_def_pleasure_cult_1	True
wh2_main_def_pleasure_cult_1		wh_main_PLACEHOLDER	dark_elves_pleasure_cult		wh2_main_def_cult_of_pleasure_separatists	False	wh2_main_def_pleasure_cult_1	True
wh2_main_def_pleasure_cult_1		wh_main_PLACEHOLDER	dark_elves_pleasure_cult		wh2_main_def_ssildra_tor	False	wh2_main_def_pleasure_cult_1	True
wh2_main_def_pleasure_cult_2		wh_main_PLACEHOLDER	dark_elves_pleasure_cult		wh2_main_def_cult_of_pleasure	False	wh2_main_def_pleasure_cult_2	True
wh2_main_def_pleasure_cult_2		wh_main_PLACEHOLDER	dark_elves_pleasure_cult		wh2_main_def_cult_of_pleasure_separatists	False	wh2_main_def_pleasure_cult_2	True
wh2_main_def_pleasure_cult_2		wh_main_PLACEHOLDER	dark_elves_pleasure_cult		wh2_main_def_ssildra_tor	False	wh2_main_def_pleasure_cult_2	True
wh2_main_def_pleasure_cult_3		wh_main_PLACEHOLDER	dark_elves_pleasure_cult		wh2_main_def_cult_of_pleasure	False	wh2_main_def_pleasure_cult_3	True
wh2_main_def_pleasure_cult_3		wh_main_PLACEHOLDER	dark_elves_pleasure_cult		wh2_main_def_cult_of_pleasure_separatists	False	wh2_main_def_pleasure_cult_3	True
wh2_main_def_pleasure_cult_3		wh_main_PLACEHOLDER	dark_elves_pleasure_cult		wh2_main_def_ssildra_tor	False	wh2_main_def_pleasure_cult_3	True
wh2_main_def_pleasure_cult_4		wh_main_PLACEHOLDER	dark_elves_pleasure_cult		wh2_main_def_cult_of_pleasure	False	wh2_main_def_pleasure_cult_4	True
wh2_main_def_pleasure_cult_4		wh_main_PLACEHOLDER	dark_elves_pleasure_cult		wh2_main_def_cult_of_pleasure_separatists	False	wh2_main_def_pleasure_cult_4	True
wh2_main_def_pleasure_cult_4		wh_main_PLACEHOLDER	dark_elves_pleasure_cult		wh2_main_def_ssildra_tor	False	wh2_main_def_pleasure_cult_4	True
wh2_main_def_pleasure_cult_5		wh_main_PLACEHOLDER	dark_elves_pleasure_cult		wh2_main_def_cult_of_pleasure	False	wh2_main_def_pleasure_cult_5	True
wh2_main_def_pleasure_cult_5		wh_main_PLACEHOLDER	dark_elves_pleasure_cult		wh2_main_def_cult_of_pleasure_separatists	False	wh2_main_def_pleasure_cult_5	True
wh2_main_def_pleasure_cult_5		wh_main_PLACEHOLDER	dark_elves_pleasure_cult		wh2_main_def_ssildra_tor	False	wh2_main_def_pleasure_cult_5	True
wh2_main_def_port_1	wh2_main_def_dark_elves	wh_main_PLACEHOLDER	dark_elves_port			False	wh2_main_def_port_1	True
wh2_main_def_port_2	wh2_main_def_dark_elves	wh_main_PLACEHOLDER	dark_elves_port			False	wh2_main_def_port_2	True
wh2_main_def_port_3	wh2_main_def_dark_elves	wh_main_PLACEHOLDER	dark_elves_port			False	wh2_main_def_port_3	True
wh2_main_def_port_ruin		wh_main_PLACEHOLDER	dark_elves_city_ruin			False	wh_main_human_port_ruin	True
wh2_main_def_resource_animals_1		wh_main_PLACEHOLDER	dark_elves_resource_animals			False	wh2_main_hef_resource_animals_1	True
wh2_main_def_resource_animals_2		wh_main_PLACEHOLDER	dark_elves_resource_animals			False	wh2_main_hef_resource_animals_2	True
wh2_main_def_resource_animals_3		wh_main_PLACEHOLDER	dark_elves_resource_animals			False	wh2_main_hef_resource_animals_3	True
wh2_main_def_resource_dyes_1		wh_main_PLACEHOLDER	dark_elves_resource_dyes			False	wh_main_emp_resource_dyes_1	True
wh2_main_def_resource_dyes_2		wh_main_PLACEHOLDER	dark_elves_resource_dyes			False	wh_main_dwf_resource_dyes_2	True
wh2_main_def_resource_dyes_3		wh_main_PLACEHOLDER	dark_elves_resource_dyes			False	wh2_main_hef_resource_dyes_3	True
wh2_main_def_resource_furs_1		wh_main_PLACEHOLDER	dark_elves_resource_furs			False	wh_main_dwf_resource_game_3	True
wh2_main_def_resource_furs_2		wh_main_PLACEHOLDER	dark_elves_resource_furs			False	wh_main_emp_resource_furs_2	True
wh2_main_def_resource_furs_3		wh_main_PLACEHOLDER	dark_elves_resource_furs			False	wh2_main_hef_resource_furs_3	True
wh2_main_def_resource_gems_1		wh_main_PLACEHOLDER	dark_elves_resource_gems			False	wh2_main_alt_resource_gems_1	True
wh2_main_def_resource_gems_2		wh_main_PLACEHOLDER	dark_elves_resource_gems			False	wh_main_dwf_resource_gems_2	True
wh2_main_def_resource_gems_3		wh_main_PLACEHOLDER	dark_elves_resource_gems			False	wh2_main_hef_resource_gems_3	True
wh2_main_def_resource_gold_1		wh_main_PLACEHOLDER	dark_elves_resource_gold			False	wh2_main_hef_resource_gold_1	True
wh2_main_def_resource_gold_2		wh_main_PLACEHOLDER	dark_elves_resource_gold			False	wh2_main_hef_resource_gold_2	True
wh2_main_def_resource_gold_3		wh_main_PLACEHOLDER	dark_elves_resource_gold			False	wh_main_dwf_resource_gold_3	True
wh2_main_def_resource_iron_1		wh_main_PLACEHOLDER	dark_elves_resource_iron			False	wh_main_emp_resource_iron_1	True
wh2_main_def_resource_iron_2		wh_main_PLACEHOLDER	dark_elves_resource_iron			False	wh2_main_hef_resource_iron_2	True
wh2_main_def_resource_iron_3		wh_main_PLACEHOLDER	dark_elves_resource_iron			False	wh_main_emp_resource_iron_3	True
wh2_main_def_resource_marble_1		wh_main_PLACEHOLDER	dark_elves_resource_marble			False	wh2_main_hef_resource_marble_2	True
wh2_main_def_resource_marble_2		wh_main_PLACEHOLDER	dark_elves_resource_marble			False	wh_main_emp_resource_marble_1	True
wh2_main_def_resource_marble_3		wh_main_PLACEHOLDER	dark_elves_resource_marble			False	wh2_main_hef_resource_marble_3	True
wh2_main_def_resource_medicine_1		wh_main_PLACEHOLDER	dark_elves_resource_medicine			False	wh2_main_hef_resource_medicine_1	True
wh2_main_def_resource_medicine_2		wh_main_PLACEHOLDER	dark_elves_resource_medicine			False	wh2_main_hef_resource_medicine_2	True
wh2_main_def_resource_medicine_3		wh_main_PLACEHOLDER	dark_elves_resource_medicine			False	wh2_main_hef_resource_medicine_3	True
wh2_main_def_resource_obsidian_1		wh_main_PLACEHOLDER	dark_elves_resource_obsidian			False	wh2_main_hef_resource_obsidian_1	True
wh2_main_def_resource_obsidian_2		wh_main_PLACEHOLDER	dark_elves_resource_obsidian			False	wh2_main_hef_resource_obsidian_2	True
wh2_main_def_resource_obsidian_3		wh_main_PLACEHOLDER	dark_elves_resource_obsidian			False	wh2_main_hef_resource_obsidian_3	True
wh2_main_def_resource_pasture_1		wh_main_PLACEHOLDER	dark_elves_resource_pasture			False	wh2_main_hef_resource_pastures_1	True
wh2_main_def_resource_pasture_2		wh_main_PLACEHOLDER	dark_elves_resource_pasture			False	wh2_main_hef_resource_pastures_2	True
wh2_main_def_resource_pasture_3		wh_main_PLACEHOLDER	dark_elves_resource_pasture			False	wh2_main_hef_resource_pastures_3	True
wh2_main_def_resource_pottery_1		wh_main_PLACEHOLDER	dark_elves_resource_pottery			False	wh_main_emp_resource_pottery_1	True
wh2_main_def_resource_pottery_2		wh_main_PLACEHOLDER	dark_elves_resource_pottery			False	wh2_main_hef_resource_pottery_2	True
wh2_main_def_resource_pottery_3		wh_main_PLACEHOLDER	dark_elves_resource_pottery			False	wh_main_emp_resource_pottery_3	True
wh2_main_def_resource_salt_1		wh_main_PLACEHOLDER	dark_elves_resource_salt			False	wh2_main_skv_resource_salt_1	True
wh2_main_def_resource_salt_2		wh_main_PLACEHOLDER	dark_elves_resource_salt			False	wh_main_emp_resource_salt_2	True
wh2_main_def_resource_salt_3		wh_main_PLACEHOLDER	dark_elves_resource_salt			False	wh_main_emp_resource_salt_3	True
wh2_main_def_resource_spices_1		wh_main_PLACEHOLDER	dark_elves_resource_spices			False	wh2_main_hef_resource_spices_1	True
wh2_main_def_resource_spices_2		wh_main_PLACEHOLDER	dark_elves_resource_spices			False	wh2_main_hef_resource_spices_2	True
wh2_main_def_resource_spices_3		wh_main_PLACEHOLDER	dark_elves_resource_spices			False	wh2_main_hef_resource_spices_3	True
wh2_main_def_resource_wine_1		wh_main_PLACEHOLDER	dark_elves_resource_wine			False	wh2_main_hef_resource_wine_1	True
wh2_main_def_resource_wine_2		wh_main_PLACEHOLDER	dark_elves_resource_wine			False	wh2_main_hef_resource_wine_2	True
wh2_main_def_resource_wine_3		wh_main_PLACEHOLDER	dark_elves_resource_wine			False	wh2_main_hef_resource_wine_3	True
wh2_main_def_resource_wood_1		wh_main_PLACEHOLDER	dark_elves_resource_wood			False	wh2_main_hef_resource_timber_1	True
wh2_main_def_resource_wood_2		wh_main_PLACEHOLDER	dark_elves_resource_wood			False	wh_main_emp_resource_timber_2	True
wh2_main_def_resource_wood_3		wh_main_PLACEHOLDER	dark_elves_resource_wood			False	wh_main_emp_resource_timber_3	True
wh2_main_def_riders_1		wh_main_PLACEHOLDER	dark_elves_riders			False	wh2_main_def_riders_1	True
wh2_main_def_riders_2		wh_main_PLACEHOLDER	dark_elves_riders			False	wh2_main_def_riders_2	True
wh2_main_def_roads_1		wh_main_PLACEHOLDER	wh2_main_def_roads			False	wh2_main_def_roads_1	True
wh2_main_def_settlement_major_1		wh_main_PLACEHOLDER	dark_elves_city			False	wh2_main_def_settlement_major_1	True
wh2_main_def_settlement_major_1_coast		wh_main_PLACEHOLDER	dark_elves_city			False	wh2_main_def_settlement_major_1	True
wh2_main_def_settlement_major_2		wh_main_PLACEHOLDER	dark_elves_city			False	wh2_main_def_settlement_major_2	True
wh2_main_def_settlement_major_2_coast		wh_main_PLACEHOLDER	dark_elves_city			False	wh2_main_def_settlement_major_2	True
wh2_main_def_settlement_major_3		wh_main_PLACEHOLDER	dark_elves_city			False	wh2_main_def_settlement_major_3	True
wh2_main_def_settlement_major_3_coast		wh_main_PLACEHOLDER	dark_elves_city			False	wh2_main_def_settlement_major_3	True
wh2_main_def_settlement_major_4		wh_main_PLACEHOLDER	dark_elves_city			False	wh2_main_def_settlement_major_4	True
wh2_main_def_settlement_major_4_coast		wh_main_PLACEHOLDER	dark_elves_city			False	wh2_main_def_settlement_major_4	True
wh2_main_def_settlement_major_5		wh_main_PLACEHOLDER	dark_elves_city			False	wh2_main_def_settlement_major_5	True
wh2_main_def_settlement_major_5_coast		wh_main_PLACEHOLDER	dark_elves_city			False	wh2_main_def_settlement_major_5	True
wh2_main_def_settlement_major_ruin		wh_main_PLACEHOLDER	dark_elves_city_ruin			False	wh_main_settlement_major_ruin	True
wh2_main_def_settlement_major_ruin_coast		wh_main_PLACEHOLDER	dark_elves_city_ruin			False	wh_main_settlement_major_ruin	True
wh2_main_def_settlement_minor_1		wh_main_PLACEHOLDER	dark_elves_city			False	wh2_main_def_settlement_major_1	True
wh2_main_def_settlement_minor_1_coast		wh_main_PLACEHOLDER	dark_elves_city			False	wh2_main_def_settlement_major_1	True
wh2_main_def_settlement_minor_2		wh_main_PLACEHOLDER	dark_elves_city			False	wh2_main_def_settlement_major_2	True
wh2_main_def_settlement_minor_2_coast		wh_main_PLACEHOLDER	dark_elves_city			False	wh2_main_def_settlement_major_2	True
wh2_main_def_settlement_minor_3		wh_main_PLACEHOLDER	dark_elves_city			False	wh2_main_def_settlement_major_3	True
wh2_main_def_settlement_minor_3_coast		wh_main_PLACEHOLDER	dark_elves_city			False	wh2_main_def_settlement_major_3	True
wh2_main_def_settlement_minor_ruin		wh_main_PLACEHOLDER	dark_elves_city_ruin			False	wh_main_settlement_minor_ruin	True
wh2_main_def_settlement_minor_ruin_coast		wh_main_PLACEHOLDER	dark_elves_city_ruin			False	wh_main_settlement_minor_ruin	True
wh2_main_def_slaves_1		wh_main_PLACEHOLDER	dark_elves_slaves			False	wh2_main_def_slaves_1	True
wh2_main_def_slaves_2		wh_main_PLACEHOLDER	dark_elves_slaves			False	wh2_main_def_slaves_2	True
wh2_main_def_sorcery_1		wh_main_PLACEHOLDER	dark_elves_sorcery			False	wh2_main_def_sorcery_1	True
wh2_main_def_sorcery_2		wh_main_PLACEHOLDER	dark_elves_sorcery			False	wh2_main_def_sorcery_2	True
wh2_main_def_worship_1		wh_main_PLACEHOLDER	dark_elves_worship			False	wh2_main_def_worship_1	True
wh2_main_def_worship_1		wh_main_PLACEHOLDER	dark_elves_worship		wh2_main_def_cult_of_pleasure	True	wh2_main_def_worship_1	True
wh2_main_def_worship_1		wh_main_PLACEHOLDER	dark_elves_worship		wh2_main_def_cult_of_pleasure_separatists	True	wh2_main_def_worship_1	True
wh2_main_def_worship_1		wh_main_PLACEHOLDER	dark_elves_worship		wh2_main_def_ssildra_tor	True	wh2_main_def_worship_1	True
wh2_main_def_worship_2		wh_main_PLACEHOLDER	dark_elves_worship			False	wh2_main_def_worship_2	True
wh2_main_def_worship_2		wh_main_PLACEHOLDER	dark_elves_worship		wh2_main_def_cult_of_pleasure	True	wh2_main_def_worship_2	True
wh2_main_def_worship_2		wh_main_PLACEHOLDER	dark_elves_worship		wh2_main_def_cult_of_pleasure_separatists	True	wh2_main_def_worship_2	True
wh2_main_def_worship_2		wh_main_PLACEHOLDER	dark_elves_worship		wh2_main_def_ssildra_tor	True	wh2_main_def_worship_2	True
wh2_main_def_worship_3		wh_main_PLACEHOLDER	dark_elves_worship			False	wh2_main_def_worship_3	True
wh2_main_def_worship_3		wh_main_PLACEHOLDER	dark_elves_worship		wh2_main_def_cult_of_pleasure	True	wh2_main_def_worship_3	True
wh2_main_def_worship_3		wh_main_PLACEHOLDER	dark_elves_worship		wh2_main_def_cult_of_pleasure_separatists	True	wh2_main_def_worship_3	True
wh2_main_def_worship_3		wh_main_PLACEHOLDER	dark_elves_worship		wh2_main_def_ssildra_tor	True	wh2_main_def_worship_3	True
wh2_main_dwf_defence_norsca_1		wh_main_PLACEHOLDER	dwarf_garrison			False	wh_main_dwf_garrison_1	True
wh2_main_dwf_resource_animals_1		wh_main_PLACEHOLDER	dwarf_resource_animals			False	wh2_main_hef_resource_animals_1	True
wh2_main_dwf_resource_animals_2		wh_main_PLACEHOLDER	dwarf_resource_animals			False	wh2_main_hef_resource_animals_2	True
wh2_main_dwf_resource_animals_3		wh_main_PLACEHOLDER	dwarf_resource_animals			False	wh2_main_hef_resource_animals_3	True
