battle_camera_shake_parameters_tables
0
unknown0	unknown1	unknown2	unknown3	unknown4	unknown5	unknown6	unknown7	unknown8	unknown9	unknown10	unknown11	unknown12	unknown13	unknown14	unknown15	unknown16	unknown17	unknown18	unknown19
0.1	0.1	20	0.05	5	wh_main_unit_artillery_footstep	1	1	1	0.1	2	0.1	0.1	2	0.1	0.5	0.05	5	0.1	3
0.1	0.1	40	0.05	6	wh_main_unit_cavalry_footstep	1	1	1	0.1	3	0.1	0.1	3	0.1	0.5	0.05	6	0.1	4
0.1	0.05	40	0	5	wh_main_unit_combat	1	1	2	2	15	0.2	2	15	0.4	0.5	0	5	2	15
0.2	0.1	60	0.3	6	wh_main_unit_explosion_heavy	1	1	1	0.1	3	0.2	0.1	3	0.1	0.5	0.4	8	0.1	3
0.2	0.1	20	0.15	8	wh_main_unit_explosion_light	1	1	1	0.1	3	0.2	0.1	3	0.1	0.5	0.1	4	0.1	3
0.2	0.1	40	0.3	10	wh_main_unit_explosion_medium	1	1	1	0.1	3	0.2	0.1	3	0.1	0.5	0.2	6	0.1	3
0.4	0.2	80	0.1	8	wh_main_unit_giant_footstep	1.1	1.1	2	0.1	4	0.2	0.1	4	0.1	1	0.2	10	0.1	4
0.15	0.1	40	0.2	8	wh_main_unit_impact_heavy	1	1	1	0.1	3	0.1	0.1	3	0.1	0.5	0.12	4	0.1	3
0.1	0.05	20	0.05	8	wh_main_unit_impact_light	1	1	1	0.1	3	0.05	0.1	3	0.05	0.5	0.08000001	4	0.1	3
0.1	0.05	30	0.15	8	wh_main_unit_impact_medium	1	1	1	0.1	3	0.1	0.1	3	0.05	0.5	0.1	4	0.1	3
0.1	0.05	20	0.03	5	wh_main_unit_infantry_footstep	1	1	1	0.05	5	0.05	0.05	5	0.05	0.5	0.015	6	0.05	5
0.1	0.1	40	0.2	10	wh_main_unit_launch_heavy	1	1	1	0.1	6	0.5	0.1	6	0.3	0.5	0.2	10	0.1	6
0.1	0.1	20	0.15	6	wh_main_unit_launch_light	1	1	1	0.1	3	0.5	0.1	3	0.3	0.5	0.15	6	0.1	3
0.1	0.1	30	0.18	8	wh_main_unit_launch_medium	1	1	1	0.1	4	0.5	0.1	4	0.3	0.5	0.18	8	0.1	6
0.1	0.1	30	0.15	6	wh_main_unit_light_cannon_launch	1	1	1	0.1	3	0.5	0.1	3	0.3	0.5	0.15	6	0.1	3
0.2	0.8	40	0.05	10	wh_main_unit_machine_footstep	0.5	2	2	0.1	1	1	0.1	1	0.5	0.5	0.05	10	0.1	1
0.1	0.1	30	0.05	6	wh_main_unit_monster_footstep	1	1	1	0.1	3	0.1	0.1	3	0.1	0.5	0.05	6	0.1	4
