culture_settlement_occupation_options_tables
8
option	acting_army_faction_effect_bundle	acting_army_faction_effect_bundle_turns	target_settlement_faction_effect_bundle	target_settlement_faction_effect_bundle_turns	group	acting_army_effect_bundle	acting_army_effect_bundle_turns	unknown8	unknown9	unknown10	unknown11	unknown12	unknown13
occupation_decision_do_nothing		0		0	wh2_main_sc_rogue_pirates_of_the_southern_ocean_occupation_decision_do_nothing		0	1074998157	0	Do Nothing||Leave the settlement as it stands.	desolation	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_rogue_doomseekers_occupation_decision_treasure_hunt		0	1077702156	0	Treasure Hunt||If successful, you will have a choice of actions within the ruins, resulting in a good or bad outcome.	search_ruins	0	1
occupation_decision_sack		0		0	wh2_main_sc_hef_high_elves_occupation_decision_sack		0	1078	0	Sack||You do not capture the settlement but instead steal wealth and damage buildings. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is reduced, and the previous owners will like you a lot less.	sack	0	1
occupation_decision_colonise		0		0	wh2_main_sc_lzd_lizardmen_occupation_decision_colonise		0	1083	0	Colonise||Settle your troops.	colonise	0	1
occupation_decision_colonise		0		0	wh2_main_sc_rogue_pirates_of_the_southern_ocean_occupation_decision_colonise		0	1088457096	0	Colonise||Settle your troops	colonise	0	1
occupation_decision_do_nothing		0		0	wh2_main_sc_lzd_lizardmen_occupation_decision_do_nothing		0	1093	0	Do Nothing||Leave the settlement as it stands.	desolation	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_rogue_vauls_expedition_occupation_decision_treasure_hunt		0	1093752699	0	Treasure Hunt||If successful, you will have a choice of actions within the ruins, resulting in a good or bad outcome.	search_ruins	0	1
occupation_decision_loot		0		0	wh2_main_sc_lzd_lizardmen_occupation_decision_loot		0	1096	0	Loot & Occupy||You gain wealth from looting, but buildings in the settlement are damaged. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is greatly reduced, and your diplomatic relations with the previous owner also suffer greatly.	loot	0	1
occupation_decision_sack		0		0	wh2_main_sc_rogue_pirates_of_the_southern_ocean_occupation_decision_sack		0	1098319305	0	Sack||You do not capture the settlement but instead steal wealth and damage buildings. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is reduced, and the previous owners will like you a lot less.	sack	0	1
occupation_decision_resettle		0		0	wh2_main_sc_rogue_morrsliebs_howlers_occupation_decision_resettle		0	1098670633	0	Resettle||With no regions currently under your control, you have the option to settle your army here.	colonise	0	1
occupation_decision_occupy		0		0	wh2_main_sc_lzd_lizardmen_occupation_decision_occupy		0	1103	0	Occupy||{{tr:occupation_decision_occupy}}	occupy	0	1
occupation_decision_raze_without_occupy		0		0	wh2_main_sc_lzd_lizardmen_occupation_decision_raze_without_occupy		0	1110	0	Raze||All buildings are destroyed and the settlement is torched.	wh2_main_lzd_lizardmen_raze	100	0.2
occupation_decision_resettle		0		0	wh2_main_sc_lzd_lizardmen_occupation_decision_resettle		0	1115	0	Resettle||With no regions currently under your control, you have the option to settle your army here.	colonise	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_rogue_troll_skullz_occupation_decision_treasure_hunt		0	1117484992	0	Treasure Hunt||If successful, you will have a choice of actions within the ruins, resulting in a good or bad outcome.	search_ruins	0	1
occupation_decision_sack		0		0	wh2_main_sc_lzd_lizardmen_occupation_decision_sack		0	1118	0	Sack||You do not capture the settlement but instead steal wealth and damage buildings. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is reduced, and the previous owners will like you a lot less.	sack	0	1
occupation_decision_resettle		0		0	wh2_main_sc_rogue_hunters_of_kurnous_occupation_decision_resettle		0	1118618530	0	Resettle||With no regions currently under your control, you have the option to settle your army here.	colonise	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_rogue_vashnaar_occupation_decision_treasure_hunt		0	1118716587	0	Treasure Hunt||If successful, you will have a choice of actions within the ruins, resulting in a good or bad outcome.	search_ruins	0	1
occupation_decision_raze_without_occupy		0		0	wh2_main_sc_rogue_scourge_of_aquitaine_occupation_decision_raze_without_occupy		0	1121797200	0	Raze||All buildings are destroyed and the settlement is torched.	raze	100	0.2
occupation_decision_loot		0		0	wh2_main_sc_rogue_vauls_expedition_occupation_decision_loot		0	1124241207	0	Loot & Occupy||You gain wealth from looting, but buildings in the settlement are damaged. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is greatly reduced, and your diplomatic relations with the previous owner also suffer greatly.	loot	0	1
occupation_decision_colonise		0		0	wh2_main_sc_skv_skaven_occupation_decision_colonise		0	1129	0	Colonise||Settle your troops.	colonise	0	1
occupation_decision_sack		0		0	wh2_main_sc_rogue_celestial_storm_occupation_decision_sack		0	1130897820	0	Sack||You do not capture the settlement but instead steal wealth and damage buildings. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is reduced, and the previous owners will like you a lot less.	sack	0	1
occupation_decision_do_nothing		0		0	wh2_main_sc_skv_skaven_occupation_decision_do_nothing		0	1134	0	Do Nothing||Leave the settlement as it stands.	desolation	0	1
occupation_decision_loot		0		0	wh2_main_sc_skv_skaven_occupation_decision_loot		0	1137	0	Loot & Occupy||You gain wealth from looting, but buildings in the settlement are damaged. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is greatly reduced, and your diplomatic relations with the previous owner also suffer greatly.	loot	0	1
occupation_decision_loot		0		0	wh2_main_sc_rogue_black_spider_tribe_occupation_decision_loot		0	1138195892	0	Loot & Occupy||You gain wealth from looting, but buildings in the settlement are damaged. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is greatly reduced, and your diplomatic relations with the previous owner also suffer greatly.	loot	0	1
occupation_decision_raze_without_occupy		0		0	wh2_main_sc_skv_skaven_occupation_decision_raze_without_occupy		0	1148	0	Raze||All buildings are destroyed and the settlement is torched.	wh2_main_skv_skaven_raze	100	0.2
occupation_decision_loot		0		0	wh2_main_sc_rogue_worldroot_rangers_occupation_decision_loot		0	1149770737	0	Loot & Occupy||You gain wealth from looting, but buildings in the settlement are damaged. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is greatly reduced, and your diplomatic relations with the previous owner also suffer greatly.	loot	0	1
occupation_decision_resettle		0		0	wh2_main_sc_skv_skaven_occupation_decision_resettle		0	1156	0	Resettle||With no regions currently under your control, you have the option to settle your army here.	colonise	0	1
occupation_decision_sack		0		0	wh2_main_sc_rogue_bernhoffs_brigands_occupation_decision_sack		0	11579669	0	Sack||You do not capture the settlement but instead steal wealth and damage buildings. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is reduced, and the previous owners will like you a lot less.	sack	0	1
occupation_decision_sack		0		0	wh2_main_sc_skv_skaven_occupation_decision_sack		0	1161	0	Sack||You do not capture the settlement but instead steal wealth and damage buildings. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is reduced, and the previous owners will like you a lot less.	sack	0	1
occupation_decision_raze_without_occupy		0		0	wh2_main_sc_bst_beastmen_occupation_decision_raze_without_occupy		0	1172	0	Loot & Raze||You do not capture the settlement but instead steal the wealth and torch the place.	wh_dlc03_bst_beastmen_raze_b	100	1
occupation_decision_do_nothing		0		0	wh2_main_sc_rogue_abominations_occupation_decision_do_nothing		0	1175920989	0	Do Nothing||Leave the settlement as it stands.	desolation	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_brt_bretonnia_occupation_decision_treasure_hunt		0	1176	0	Treasure Hunt||If successful, you will have a choice of actions within the ruins, resulting in a good or bad outcome.	search_ruins	0	1
occupation_decision_sack		0		0	wh2_main_sc_rogue_scourge_of_aquitaine_occupation_decision_sack		0	1179690881	0	Sack||You do not capture the settlement but instead steal wealth and damage buildings. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is reduced, and the previous owners will like you a lot less.	sack	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_bst_beastmen_occupation_decision_treasure_hunt		0	1181	0	Treasure Hunt||If successful, you will have a choice of actions within the ruins, resulting in a good or bad outcome.	search_ruins	0	1
occupation_decision_colonise		0		0	wh2_main_sc_rogue_hung_warband_occupation_decision_colonise		0	1181473512	0	Colonise||Settle your troops.	colonise	0	1
occupation_decision_do_nothing		0		0	wh2_main_sc_rogue_college_of_pyrotechnics_occupation_decision_do_nothing		0	1182397706	0	Do Nothing||Leave the settlement as it stands.	desolation	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_chs_chaos_occupation_decision_treasure_hunt		0	1185	0	Treasure Hunt||If successful, you will have a choice of actions within the ruins, resulting in a good or bad outcome.	search_ruins	0	1
occupation_decision_colonise		0		0	wh2_main_sc_rogue_mangy_houndz_occupation_decision_colonise		0	1186387039	0	Colonise||Settle your troops.	colonise	0	1
occupation_decision_sack		0		0	wh2_main_sc_rogue_abominations_occupation_decision_sack		0	1186759489	0	Sack||You do not capture the settlement but instead steal wealth and damage buildings. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is reduced, and the previous owners will like you a lot less.	sack	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_def_dark_elves_occupation_decision_treasure_hunt		0	1193	0	Treasure Hunt||If successful, you will have a choice of actions within the ruins, resulting in a good or bad outcome.	search_ruins	0	1
occupation_decision_raze_without_occupy		0		0	wh2_main_sc_rogue_abominations_occupation_decision_raze_without_occupy		0	1197909885	0	Raze||All buildings are destroyed and the settlement is torched.	raze	100	0.2
occupation_decision_treasure_hunt		0		0	wh2_main_sc_dwf_dwarfs_occupation_decision_treasure_hunt		0	1199	0	Treasure Hunt||If successful, you will have a choice of actions within the ruins, resulting in a good or bad outcome.	search_ruins	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_emp_empire_occupation_decision_treasure_hunt		0	1201	0	Treasure Hunt||If successful, you will have a choice of actions within the ruins, resulting in a good or bad outcome.	search_ruins	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_grn_greenskins_occupation_decision_treasure_hunt		0	1206	0	Treasure Hunt||If successful, you will have a choice of actions within the ruins, resulting in a good or bad outcome.	search_ruins	0	1
occupation_decision_loot		0		0	wh2_main_sc_rogue_tor_elithis_occupation_decision_loot		0	1208400770	0	Loot & Occupy||You gain wealth from looting, but buildings in the settlement are damaged. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is greatly reduced, and your diplomatic relations with the previous owner also suffer greatly.	loot	0	1
occupation_decision_colonise		0		0	wh2_main_sc_rogue_celestial_storm_occupation_decision_colonise		0	1209597248	0	Colonise||Settle your troops.	colonise	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_grn_savage_orcs_occupation_decision_treasure_hunt		0	1212	0	Treasure Hunt||If successful, you will have a choice of actions within the ruins, resulting in a good or bad outcome.	search_ruins	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_hef_high_elves_occupation_decision_treasure_hunt		0	1214	0	Treasure Hunt||If successful, you will have a choice of actions within the ruins, resulting in a good or bad outcome.	search_ruins	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_ksl_kislev_occupation_decision_treasure_hunt		0	1223	0	Treasure Hunt||If successful, you will have a choice of actions within the ruins, resulting in a good or bad outcome.	search_ruins	0	1
occupation_decision_raze_without_occupy		0		0	wh2_main_sc_rogue_stuff_snatchers_occupation_decision_raze_without_occupy		0	1225481862	0	Raze||All buildings are destroyed and the settlement is torched.	raze	100	0.2
occupation_decision_sack		0		0	wh2_main_sc_rogue_boneclubbers_tribe_occupation_decision_sack		0	122551995	0	Sack||You do not capture the settlement but instead steal wealth and damage buildings. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is reduced, and the previous owners will like you a lot less.	sack	0	1
occupation_decision_colonise		0		0	wh2_main_sc_rogue_scourge_of_aquitaine_occupation_decision_colonise		0	1226602159	0	Colonise||Settle your troops.	colonise	0	1
occupation_decision_occupy		0		0	wh2_main_sc_rogue_scourge_of_aquitaine_occupation_decision_occupy		0	1231933158	0	Occupy||{{tr:occupation_decision_occupy}}	occupy	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_lzd_lizardmen_occupation_decision_treasure_hunt		0	1232	0	Treasure Hunt||If successful, you will have a choice of actions within the ruins, resulting in a good or bad outcome.	search_ruins	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_nor_norsca_occupation_decision_treasure_hunt		0	1233	0	Treasure Hunt||If successful, you will have a choice of actions within the ruins, resulting in a good or bad outcome.	search_ruins	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_skv_skaven_occupation_decision_treasure_hunt		0	1237	0	Treasure Hunt||If successful, you will have a choice of actions within the ruins, resulting in a good or bad outcome.	search_ruins	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_teb_teb_occupation_decision_treasure_hunt		0	1239	0	Treasure Hunt||If successful, you will have a choice of actions within the ruins, resulting in a good or bad outcome.	search_ruins	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_vmp_vampire_counts_occupation_decision_treasure_hunt		0	1240	0	Treasure Hunt||If successful, you will have a choice of actions within the ruins, resulting in a good or bad outcome.	search_ruins	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_wef_wood_elves_occupation_decision_treasure_hunt		0	1249	0	Treasure Hunt||If successful, you will have a choice of actions within the ruins, resulting in a good or bad outcome.	search_ruins	0	1
occupation_decision_resettle		0		0	wh2_main_sc_rogue_stuff_snatchers_occupation_decision_resettle		0	1269866319	0	Resettle||With no regions currently under your control, you have the option to settle your army here.	colonise	0	1
occupation_decision_loot		0		0	wh2_main_sc_rogue_doomseekers_occupation_decision_loot		0	1278515543	0	Loot & Occupy||You gain wealth from looting, but buildings in the settlement are damaged. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is greatly reduced, and your diplomatic relations with the previous owner also suffer greatly.	loot	0	1
occupation_decision_resettle		0		0	wh2_main_sc_rogue_pirates_of_trantio_occupation_decision_resettle		0	1283642277	0	Resettle||With no regions currently under your control, you have the option to settle your army here.	colonise	0	1
occupation_decision_loot		0		0	wh2_main_sc_rogue_troll_skullz_occupation_decision_loot		0	1284562911	0	Loot & Occupy||You gain wealth from looting, but buildings in the settlement are damaged. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is greatly reduced, and your diplomatic relations with the previous owner also suffer greatly.	loot	0	1
occupation_decision_raze_without_occupy		0		0	wh2_main_sc_rogue_vauls_expedition_occupation_decision_raze_without_occupy		0	129338677	0	Raze||All buildings are destroyed and the settlement is torched.	raze	100	0.2
occupation_decision_resettle		0		0	wh2_main_sc_rogue_troll_skullz_occupation_decision_resettle		0	1294427310	0	Resettle||With no regions currently under your control, you have the option to settle your army here.	colonise	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_rogue_celestial_storm_occupation_decision_treasure_hunt		0	130461954	0	Treasure Hunt||If successful, you will have a choice of actions within the ruins, resulting in a good or bad outcome.	search_ruins	0	1
occupation_decision_sack		0		0	wh2_main_sc_rogue_teef_snatchaz_occupation_decision_sack		0	1310207980	0	Sack||You do not capture the settlement but instead steal wealth and damage buildings. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is reduced, and the previous owners will like you a lot less.	sack	0	1
occupation_decision_occupy		0		0	wh2_main_sc_rogue_worldroot_rangers_occupation_decision_occupy		0	1336971323	0	Occupy||{{tr:occupation_decision_occupy}}	occupy	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_rogue_bernhoffs_brigands_occupation_decision_treasure_hunt		0	1339872098	0	Treasure Hunt||If successful, you will have a choice of actions within the ruins, resulting in a good or bad outcome.	search_ruins	0	1
occupation_decision_do_nothing		0		0	wh2_main_sc_rogue_bernhoffs_brigands_occupation_decision_do_nothing		0	1342765684	0	Do Nothing||Leave the settlement as it stands.	desolation	0	1
occupation_decision_resettle		0		0	wh2_main_sc_rogue_vashnaar_occupation_decision_resettle		0	1343564720	0	Resettle||With no regions currently under your control, you have the option to settle your army here.	colonise	0	1
occupation_decision_do_nothing		0		0	wh2_main_sc_rogue_celestial_storm_occupation_decision_do_nothing		0	1355265129	0	Do Nothing||Leave the settlement as it stands.	desolation	0	1
occupation_decision_raze_without_occupy		0		0	wh2_main_sc_rogue_college_of_pyrotechnics_occupation_decision_raze_without_occupy		0	1372413533	0	Raze||All buildings are destroyed and the settlement is torched.	raze	100	0.2
occupation_decision_loot		0		0	wh2_main_sc_rogue_pirates_of_the_far_sea_occupation_decision_loot		0	1381451274	0	Loot & Occupy||You gain wealth from looting, but buildings in the settlement are damaged. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is greatly reduced, and your diplomatic relations with the previous owner also suffer greatly.	loot	0	1
occupation_decision_resettle		0		0	wh2_main_sc_rogue_heirs_of_mourkain_occupation_decision_resettle		0	138988815	0	Resettle||With no regions currently under your control, you have the option to settle your army here.	colonise	0	1
occupation_decision_raze_without_occupy		0		0	wh2_main_sc_rogue_boneclubbers_tribe_occupation_decision_raze_without_occupy		0	1422314686	0	Raze||All buildings are destroyed and the settlement is torched.	raze	100	0.2
occupation_decision_treasure_hunt		0		0	wh2_main_sc_rogue_gerhardts_mercenaries_occupation_decision_treasure_hunt		0	1423703978	0	Treasure Hunt||If successful, you will have a choice of actions within the ruins, resulting in a good or bad outcome.	search_ruins	0	1
occupation_decision_raze_without_occupy		0		0	wh2_main_sc_rogue_jerrods_errantry_occupation_decision_raze_without_occupy		0	1425726926	0	Raze||All buildings are destroyed and the settlement is torched.	raze	100	0.2
occupation_decision_do_nothing		0		0	wh2_main_sc_rogue_wrath_of_nature_occupation_decision_do_nothing		0	1435925179	0	Do Nothing||Leave the settlement as it stands.	desolation	0	1
occupation_decision_colonise		0		0	wh2_main_sc_rogue_jerrods_errantry_occupation_decision_colonise		0	1446313985	0	Colonise||Settle your troops.	colonise	0	1
occupation_decision_colonise		0		0	wh2_main_sc_rogue_wrath_of_nature_occupation_decision_colonise		0	1453062951	0	Colonise||Settle your troops.	colonise	0	1
occupation_decision_occupy		0		0	wh2_main_sc_rogue_wrath_of_nature_occupation_decision_occupy		0	1473405154	0	Occupy||{{tr:occupation_decision_occupy}}	occupy	0	1
occupation_decision_sack		0		0	wh2_main_sc_rogue_tor_elithis_occupation_decision_sack		0	1479882951	0	Sack||You do not capture the settlement but instead steal wealth and damage buildings. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is reduced, and the previous owners will like you a lot less.	sack	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_rogue_college_of_pyrotechnics_occupation_decision_treasure_hunt		0	1480477992	0	Treasure Hunt||If successful, you will have a choice of actions within the ruins, resulting in a good or bad outcome.	search_ruins	0	1
occupation_decision_do_nothing		0		0	wh2_main_sc_rogue_hung_warband_occupation_decision_do_nothing		0	1487524636	0	Do Nothing||Leave the settlement as it stands.	desolation	0	1
occupation_decision_raze_without_occupy		0		0	wh2_main_sc_rogue_tor_elithis_occupation_decision_raze_without_occupy		0	149279903	0	Raze||All buildings are destroyed and the settlement is torched.	raze	100	0.2
occupation_decision_treasure_hunt		0		0	wh2_main_sc_rogue_heirs_of_mourkain_occupation_decision_treasure_hunt		0	1495904824	0	Treasure Hunt||If successful, you will have a choice of actions within the ruins, resulting in a good or bad outcome.	search_ruins	0	1
occupation_decision_do_nothing		0		0	wh2_main_sc_rogue_black_spider_tribe_occupation_decision_do_nothing		0	1499350478	0	Do Nothing||Leave the settlement as it stands.	desolation	0	1
occupation_decision_raze_without_occupy		0		0	wh2_main_sc_rogue_hunters_of_kurnous_occupation_decision_raze_without_occupy		0	14994909	0	Raze||All buildings are destroyed and the settlement is torched.	raze	100	0.2
occupation_decision_sack		0		0	wh2_main_sc_rogue_morrsliebs_howlers_occupation_decision_sack		0	1507055186	0	Sack||You do not capture the settlement but instead steal wealth and damage buildings. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is reduced, and the previous owners will like you a lot less.	sack	0	1
occupation_decision_raze_without_occupy		0		0	wh2_main_sc_rogue_troll_skullz_occupation_decision_raze_without_occupy		0	1508112825	0	Raze||All buildings are destroyed and the settlement is torched.	raze	100	0.2
occupation_decision_loot		0		0	wh2_main_sc_rogue_pirates_of_trantio_occupation_decision_loot		0	1518225177	0	Loot & Occupy||You gain wealth from looting, but buildings in the settlement are damaged. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is greatly reduced, and your diplomatic relations with the previous owner also suffer greatly.	loot	0	1
occupation_decision_loot		0		0	wh2_main_sc_rogue_gerhardts_mercenaries_occupation_decision_loot		0	1520670401	0	Loot & Occupy||You gain wealth from looting, but buildings in the settlement are damaged. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is greatly reduced, and your diplomatic relations with the previous owner also suffer greatly.	loot	0	1
occupation_decision_loot		0		0	wh2_main_sc_rogue_stuff_snatchers_occupation_decision_loot		0	1526347920	0	Loot & Occupy||You gain wealth from looting, but buildings in the settlement are damaged. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is greatly reduced, and your diplomatic relations with the previous owner also suffer greatly.	loot	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_rogue_wrath_of_nature_occupation_decision_treasure_hunt		0	1529750034	0	Treasure Hunt||If successful, you will have a choice of actions within the ruins, resulting in a good or bad outcome.	search_ruins	0	1
occupation_decision_occupy		0		0	wh2_main_sc_rogue_jerrods_errantry_occupation_decision_occupy		0	1552378746	0	Occupy||{{tr:occupation_decision_occupy}}	occupy	0	1
occupation_decision_do_nothing		0		0	wh2_main_sc_rogue_scourge_of_aquitaine_occupation_decision_do_nothing		0	1553738659	0	Do Nothing||Leave the settlement as it stands.	desolation	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_rogue_scourge_of_aquitaine_occupation_decision_treasure_hunt		0	1554055236	0	Treasure Hunt||If successful, you will have a choice of actions within the ruins, resulting in a good or bad outcome.	search_ruins	0	1
occupation_decision_loot		0		0	wh2_main_sc_rogue_wrath_of_nature_occupation_decision_loot		0	157027072	0	Loot & Occupy||You gain wealth from looting, but buildings in the settlement are damaged. All captives are enslaved, [[img:icon_public_order]][[/img]]{{tr:hp_campaign_public_order_term}} is greatly reduced, and your diplomatic relations with the previous owner also suffer greatly.	loot	0	1
occupation_decision_occupy		0		0	wh2_main_sc_rogue_vauls_expedition_occupation_decision_occupy		0	1603532907	0	Occupy||{{tr:occupation_decision_occupy}}	occupy	0	1
occupation_decision_occupy		0		0	wh2_main_sc_rogue_the_wandering_dead_occupation_decision_occupy		0	1619019012	0	Occupy||{{tr:occupation_decision_occupy}}	occupy	0	1
occupation_decision_treasure_hunt		0		0	wh2_main_sc_rogue_hunters_of_kurnous_occupation_decision_treasure_hunt		0	1633455852	0	Treasure Hunt||If successful, you will have a choice of actions within the ruins, resulting in a good or bad outcome.	search_ruins	0	1
occupation_decision_resettle		0		0	wh2_main_sc_rogue_mengils_manflayers_occupation_decision_resettle		0	1644580143	0	Resettle||With no regions currently under your control, you have the option to settle your army here.	colonise	0	1
occupation_decision_resettle		0		0	wh2_main_sc_rogue_black_spider_tribe_occupation_decision_resettle		0	1653456014	0	Resettle||With no regions currently under your control, you have the option to settle your army here.	colonise	0	1
