effect_bonus_value_unit_ability_junctions_tables
0
effect	bonus_value_id	unit_ability
wh2_main_effect_ability_enable_horn_of_isha	enable	wh2_main_character_passive_horn_of_isha
wh2_main_effect_ability_enable_hydra_blade	enable	wh2_main_weapon_abilities_hydra_blade
wh2_main_effect_ability_enable_khaines_ring_of_fury	enable	wh2_main_spell_bound_khaines_ring_of_fury
wh2_main_effect_ability_enable_lamentation_of_despair	enable	wh_dlc05_lord_abilities_lamentation_of_despair
wh2_main_effect_ability_enable_loremasters_cloak	enable	wh2_main_item_passive_loremasters_cloak
wh2_main_effect_ability_enable_musk_of_fear	enable	wh2_main_lore_passive_musk_of_fear
wh2_main_effect_ability_enable_pearl_of_infinite_blackness	enable	wh2_main_item_abilities_pearl_of_infinite_bleakness
wh2_main_effect_ability_enable_pipes_of_piebald	enable	wh2_main_item_passive_pipes_of_piebald
wh2_main_effect_ability_enable_plague_rash	enable	wh2_main_lore_passive_plague_rash
wh2_main_effect_ability_enable_plaque_of_dominion	enable	wh2_main_item_abilities_plaque_of_dominion
wh2_main_effect_ability_enable_portents_of_verminous_doom	enable	wh2_main_item_passive_portents_of_verminous_doom
wh2_main_effect_ability_enable_radiant_gem_of_hoeth	enable	wh2_main_spell_bound_radiant_gem_of_hoeth
wh2_main_effect_ability_enable_reaver_bow	enable	wh2_main_weapon_bound_reaver_bow
wh2_main_effect_ability_enable_regeneration_dummy	miscast_percentage_mod	wh_main_unit_passive_regeneration
wh2_main_effect_ability_enable_regeneration	enable	wh_main_unit_passive_regeneration
wh2_main_effect_ability_enable_ring_of_corin	enable	wh2_main_spell_bound_ring_of_corin
wh2_main_effect_ability_enable_ring_of_hotek	enable	wh2_main_item_passive_ring_of_hotek
wh2_main_effect_ability_enable_rival_hide_talisman	enable	wh2_main_item_abilities_rival_hide_talisman
wh2_main_effect_ability_enable_rod_of_corruption	enable	wh2_main_item_abilities_rod_of_corruption
wh2_main_effect_ability_enable_rod_of_the_storm	enable	wh2_main_spell_bound_rod_of_the_storm
wh2_main_effect_ability_enable_rubric_of_dark_dimensions	enable	wh2_main_spell_bound_rubric_of_dark_dimensions
wh2_main_effect_ability_enable_ruby_guardian_phoenix	enable	wh2_main_item_passive_ruby_guardian_phoenix
wh2_main_effect_ability_enable_sacred_banner_of_the_horned_rat	enable	wh2_main_banner_passive_sacred_banner_of_the_horned_rat
wh2_main_effect_ability_enable_sacred_incense	enable	wh2_main_item_passive_sacred_incense
wh2_main_effect_ability_enable_sapphire_guardian_phoenix	enable	wh2_main_item_passive_sapphire_guardian_phoenix
wh2_main_effect_ability_enable_scroll_of_hoeth	enable	wh2_main_item_abilities_scroll_of_hoeth
wh2_main_effect_ability_enable_scrying_stone	enable	wh2_main_item_abilities_scrying_stone
wh2_main_effect_ability_enable_shadow_magnet_trinket	enable	wh2_main_item_passive_shadow_magnet_trinket
wh2_main_effect_ability_enable_shield_of_distraction	enable	wh2_main_item_passive_shield_of_distraction
wh2_main_effect_ability_enable_shield_of_ghrond	enable	wh2_main_item_passive_shield_of_ghrond
wh2_main_effect_ability_enable_shield_of_saphery	enable	wh2_main_lore_passive_shield_of_saphery
wh2_main_effect_ability_enable_skalm	enable	wh2_main_item_abilities_skalm
wh2_main_effect_ability_enable_skavenbrew	enable	wh2_main_item_abilities_skavenbrew
wh2_main_effect_ability_enable_slann_1	enable	wh_dlc05_spell_bound_the_curse_of_anraheir
wh2_main_effect_ability_enable_slann_2	enable	wh_dlc04_spell_bound_banishment
wh2_main_effect_ability_enable_spiteful_conjuration	enable	wh2_main_lore_passive_spiteful_conjuration
wh2_main_effect_ability_enable_starwood_staff	enable	wh2_main_item_abilities_starwood_staff
wh2_main_effect_ability_enable_storm_banner	enable	wh2_main_banner_passive_storm_banner
wh2_main_effect_ability_enable_sunburst_standard_of_hexoatl	enable	wh2_main_item_passive_sunburst_standard_of_hexoatl
wh2_main_effect_ability_enable_sunfang	enable	wh2_main_weapon_abilities_sunfang
wh2_main_effect_ability_enable_supreme_spellshield	enable	wh2_main_item_passive_supreme_spellshield
wh2_main_effect_ability_enable_sword_of_teclis	enable	wh2_main_weapon_abilities_sword_of_teclis
wh2_main_effect_ability_enable_talisman_of_loec	enable	wh2_main_item_abilities_talisman_of_loec
wh2_main_effect_ability_enable_the_bane_shield	enable	wh2_main_item_abilities_the_bane_shield
wh2_main_effect_ability_enable_the_book_of_the_phoenix	enable	wh2_main_item_passive_the_book_of_the_phoenix
wh2_main_effect_ability_enable_the_gem_of_sunfire	enable	wh2_main_spell_bound_the_gem_of_sunfire
wh2_main_effect_ability_enable_the_guiding_eye	enable	wh2_main_item_abilities_the_guiding_eye
wh2_main_effect_ability_enable_the_horn_of_kygor	enable	wh2_main_item_abilities_the_horn_of_kygor
wh2_main_effect_ability_enable_the_liber_bubonicus	enable	wh2_main_item_abilities_the_liber_bubonicus
wh2_main_effect_ability_enable_the_seerstaff_of_saphery	enable	wh2_main_spell_bound_the_seerstaff_of_saphery
wh2_main_effect_ability_enable_the_tricksters_pendant	enable	wh2_main_item_abilities_the_tricksters_pendant
wh2_main_effect_ability_enable_the_vortex_shard	enable	wh2_main_item_abilities_the_vortex_shard
wh2_main_effect_ability_enable_tome_of_furion	enable	wh2_main_spell_bound_tome_of_furion
wh2_main_effect_ability_enable_wand_of_the_kharaidon	enable	wh2_main_spell_bound_wand_of_the_kharaidon
wh2_main_effect_ability_enable_war_drum_of_xahutec	enable	wh2_main_item_passive_war_drum_of_xahutec
wh2_main_effect_ability_enable_warp_shard_armour	enable	wh2_main_item_passive_warp_shard_armour
wh2_main_effect_ability_enable_warpstone_armour	enable	wh2_main_item_passive_warpstone_armour
wh2_main_effect_ability_enable_warpstorm_scroll	enable	wh2_main_item_abilities_warpstorm_scroll
wh2_main_effect_ability_enable_web_of_shadows	enable	wh2_main_weapon_abilities_web_of_shadows
wh2_main_effect_ability_enable_whip_of_agony	enable	wh2_main_spell_bound_whip_of_agony
wh2_main_effect_ability_enable_winged_staff	enable	wh2_main_weapon_bound_winged_staff
wh2_main_effect_ability_enable_worlds_edge_armour	enable	wh2_main_item_abilities_worlds_edge_armour
wh2_main_effect_ability_uses_increase_potion_of_toughness	uses_mod	wh_main_item_abilities_potion_of_toughness
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_dlc03_spell_beasts_flock_of_doom
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_dlc03_spell_beasts_panns_impenetrable_pelt
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_dlc03_spell_beasts_the_amber_spear
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_dlc03_spell_beasts_the_curse_of_anraheir
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_dlc03_spell_beasts_transformation_of_kadon
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_dlc03_spell_beasts_wyssans_wildform
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_dlc03_spell_wild_bray_scream
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_dlc03_spell_wild_devolve
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_dlc03_spell_wild_mantle_of_ghorok
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_dlc03_spell_wild_savage_dominion
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_dlc03_spell_wild_traitor_kin
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_dlc03_spell_wild_viletide
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_dlc04_spell_death_doom_and_darkness_strigoi
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_dlc04_spell_death_soulblight_strigoi
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_dlc04_spell_death_spirit_leech_strigoi
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_dlc04_spell_vampires_curse_of_years_helman
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_dlc04_spell_vampires_gaze_of_nagash_helman
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_dlc04_spell_vampires_gaze_of_nagash_strigoi
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_dlc04_spell_vampires_invocation_of_nehek_helman
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_dlc04_spell_vampires_invocation_of_nehek_strigoi
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_dlc04_spell_vampires_raise_dead_helman
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_dlc04_spell_vampires_raise_dead_strigoi
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_dlc04_spell_vampires_vanhels_danse_macabre_helman
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_dlc04_spell_vampires_wind_of_death_helman
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_dlc05_spell_life_awakening_of_the_wood
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_dlc05_spell_life_earth_blood
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_dlc05_spell_life_flesh_to_stone
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_dlc05_spell_life_regrowth
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_dlc05_spell_life_shield_of_thorns
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_dlc05_spell_life_the_dwellers_below
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_dlc05_spell_shadow_melkoths_mystifying_miasma
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_dlc05_spell_shadow_okkams_mindrazor
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_dlc05_spell_shadow_pit_of_shades
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_dlc05_spell_shadow_the_enfeebling_foe
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_dlc05_spell_shadow_the_penumbral_pendulum
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_dlc05_spell_shadow_the_withering
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_big_waaagh_brain_bursta
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_big_waaagh_eadbutt
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_big_waaagh_ere_we_go
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_big_waaagh_fists_of_gork
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_big_waaagh_foot_of_gork
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_big_waaagh_gaze_of_mork
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_death_aspect_of_the_dreadknight
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_death_doom_and_darkness
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_death_soulblight
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_death_spirit_leech
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_death_the_fate_of_bjuna
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_death_the_purple_sun_of_xereus
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_fire_cascading_fire_cloak
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_fire_fireball
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_fire_flame_storm
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_fire_flaming_sword_of_rhuin
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_fire_piercing_bolts_of_burning
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_fire_the_burning_head
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_heavens_chain_lightning
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_heavens_comet_of_casandora
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_heavens_curse_of_the_midnight_wind
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_heavens_harmonic_convergence
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_heavens_urannons_thunderbolt
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_heavens_wind_blast
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_light_banishment
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_light_bironas_timewarp
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_light_light_of_battle
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_light_net_of_amyntok
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_light_phas_protection
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_light_shems_burning_gaze
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_lil_waaagh_curse_of_da_bad_moon
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_lil_waaagh_gorkll_fix_it
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_lil_waaagh_itchy_nuisance
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_lil_waaagh_night_shroud
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_lil_waaagh_sneaky_stabbin
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_lil_waaagh_vindictive_glare
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_metal_final_transmutation
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_metal_gehennas_golden_hounds
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_metal_glittering_robe
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_metal_plague_of_rust
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_metal_searing_doom
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_metal_transmutation_of_lead
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_vampires_curse_of_years
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_vampires_gaze_of_nagash
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_vampires_invocation_of_nehek
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_vampires_raise_dead
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_vampires_vanhels_danse_macabre
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	wh_main_spell_vampires_wind_of_death
wh2_main_effect_general_ability_mod_cooldown_deadly_onslaught	recharge_mod	wh_main_character_abilities_deadly_onslaught
wh2_main_effect_general_ability_mod_cooldown_foe_seeker	recharge_mod	wh_main_character_abilities_foe_seeker
wh2_main_effect_general_ability_mod_cooldown_stand_your_ground	recharge_mod	wh_main_character_abilities_stand_your_ground
wh2_main_effect_general_ability_mod_cooldown_volley_of_dark_arrows	recharge_mod	wh2_main_character_abilities_volley_of_dark_arrows
wh2_main_effect_magic_beasts_enable_flock_of_doom_upgraded	enable_overchage	wh_dlc03_spell_beasts_flock_of_doom
wh2_main_effect_magic_beasts_enable_flock_of_doom_upgraded	enable	wh_dlc03_spell_beasts_flock_of_doom
wh2_main_effect_magic_beasts_enable_panns_impenetrable_pelt_upgraded	enable_overchage	wh_dlc03_spell_beasts_panns_impenetrable_pelt
wh2_main_effect_magic_beasts_enable_panns_impenetrable_pelt_upgraded	enable	wh_dlc03_spell_beasts_panns_impenetrable_pelt
wh2_main_effect_magic_beasts_enable_the_amber_spear_upgraded	enable_overchage	wh_dlc03_spell_beasts_the_amber_spear
wh2_main_effect_magic_beasts_enable_the_amber_spear_upgraded	enable	wh_dlc03_spell_beasts_the_amber_spear
wh2_main_effect_magic_beasts_enable_the_curse_of_anraheir_upgraded	enable_overchage	wh_dlc03_spell_beasts_the_curse_of_anraheir
wh2_main_effect_magic_beasts_enable_the_curse_of_anraheir_upgraded	enable	wh_dlc03_spell_beasts_the_curse_of_anraheir
wh2_main_effect_magic_beasts_enable_wyssans_wildform_upgraded	enable_overchage	wh_dlc03_spell_beasts_wyssans_wildform
wh2_main_effect_magic_beasts_enable_wyssans_wildform_upgraded	enable	wh_dlc03_spell_beasts_wyssans_wildform
wh2_main_effect_magic_beasts_miscast_reduction_flock_of_doom_upgraded	miscast_percentage_mod	wh_dlc03_spell_beasts_flock_of_doom_upgraded
wh2_main_effect_magic_beasts_miscast_reduction_of_anraheir_upgraded	miscast_percentage_mod	wh_dlc03_spell_beasts_the_curse_of_anraheir_upgraded
wh2_main_effect_magic_beasts_miscast_reduction_of_wyssans_wildform_upgraded	miscast_percentage_mod	wh_dlc03_spell_beasts_wyssans_wildform_upgraded
wh2_main_effect_magic_beasts_miscast_reduction_panns_impenetrable_pelt_upgraded	miscast_percentage_mod	wh_dlc03_spell_beasts_panns_impenetrable_pelt_upgraded
wh2_main_effect_magic_beasts_miscast_reduction_the_amber_spear_upgraded	miscast_percentage_mod	wh_dlc03_spell_beasts_the_amber_spear_upgraded
wh2_main_effect_magic_beasts_reduce_wom_cost_curse_of_anraheir_upgraded	cost_mod	wh_dlc03_spell_beasts_the_curse_of_anraheir_upgraded
wh2_main_effect_magic_beasts_reduce_wom_cost_curse_of_anraheir	cost_mod	wh_dlc03_spell_beasts_the_curse_of_anraheir
wh2_main_effect_magic_beasts_reduce_wom_cost_flock_of_doom_upgraded	cost_mod	wh_dlc03_spell_beasts_flock_of_doom_upgraded
wh2_main_effect_magic_beasts_reduce_wom_cost_flock_of_doom	cost_mod	wh_dlc03_spell_beasts_flock_of_doom
wh2_main_effect_magic_beasts_reduce_wom_cost_panns_impenetrable_pelt_upgraded	cost_mod	wh_dlc03_spell_beasts_panns_impenetrable_pelt_upgraded
wh2_main_effect_magic_beasts_reduce_wom_cost_panns_impenetrable_pelt	cost_mod	wh_dlc03_spell_beasts_panns_impenetrable_pelt
wh2_main_effect_magic_beasts_reduce_wom_cost_the_amber_spear_upgraded	cost_mod	wh_dlc03_spell_beasts_the_amber_spear_upgraded
wh2_main_effect_magic_beasts_reduce_wom_cost_the_amber_spear	cost_mod	wh_dlc03_spell_beasts_the_amber_spear
wh2_main_effect_magic_beasts_reduce_wom_cost_transformation_of_kadon	cost_mod	wh_dlc03_spell_beasts_transformation_of_kadon
wh2_main_effect_magic_beasts_reduce_wom_cost_wyssans_wildform_upgraded	cost_mod	wh_dlc03_spell_beasts_wyssans_wildform_upgraded
wh2_main_effect_magic_beasts_reduce_wom_cost_wyssans_wildform	cost_mod	wh_dlc03_spell_beasts_wyssans_wildform
wh2_main_effect_magic_big_waaagh_enable_brain_bursta_upgraded	enable_overchage	wh_main_spell_big_waaagh_brain_bursta
wh2_main_effect_magic_big_waaagh_enable_brain_bursta_upgraded	enable	wh_main_spell_big_waaagh_brain_bursta
wh2_main_effect_magic_big_waaagh_enable_eadbutt_upgraded	enable_overchage	wh_main_spell_big_waaagh_eadbutt
wh2_main_effect_magic_big_waaagh_enable_eadbutt_upgraded	enable	wh_main_spell_big_waaagh_eadbutt
wh2_main_effect_magic_big_waaagh_enable_foot_of_gork_upgraded	enable_overchage	wh_main_spell_big_waaagh_foot_of_gork
wh2_main_effect_magic_big_waaagh_enable_foot_of_gork_upgraded	enable	wh_main_spell_big_waaagh_foot_of_gork
wh2_main_effect_magic_big_waaagh_enable_gaze_of_mork_upgraded	enable_overchage	wh_main_spell_big_waaagh_gaze_of_mork
wh2_main_effect_magic_big_waaagh_enable_gaze_of_mork_upgraded	enable	wh_main_spell_big_waaagh_gaze_of_mork
wh2_main_effect_magic_big_waaagh_miscast_reduction_brain_bursta_upgraded	miscast_percentage_mod	wh_main_spell_big_waaagh_brain_bursta_upgraded
wh2_main_effect_magic_big_waaagh_miscast_reduction_eadbutt_upgraded	miscast_percentage_mod	wh_main_spell_big_waaagh_eadbutt_upgraded
wh2_main_effect_magic_big_waaagh_miscast_reduction_foot_of_gork_upgraded	miscast_percentage_mod	wh_main_spell_big_waaagh_foot_of_gork_upgraded
wh2_main_effect_magic_big_waaagh_miscast_reduction_gaze_of_mork_upgraded	miscast_percentage_mod	wh_main_spell_big_waaagh_gaze_of_mork_upgraded
wh2_main_effect_magic_big_waaagh_reduce_wom_cost_brain_bursta_upgraded	cost_mod	wh_main_spell_big_waaagh_brain_bursta_upgraded
wh2_main_effect_magic_big_waaagh_reduce_wom_cost_brain_bursta	cost_mod	wh_main_spell_big_waaagh_brain_bursta
wh2_main_effect_magic_big_waaagh_reduce_wom_cost_eadbutt_upgraded	cost_mod	wh_main_spell_big_waaagh_eadbutt_upgraded
wh2_main_effect_magic_big_waaagh_reduce_wom_cost_eadbutt	cost_mod	wh_main_spell_big_waaagh_eadbutt
wh2_main_effect_magic_big_waaagh_reduce_wom_cost_ere_we_go	cost_mod	wh_main_spell_big_waaagh_ere_we_go
wh2_main_effect_magic_big_waaagh_reduce_wom_cost_fists_of_gork	cost_mod	wh_main_spell_big_waaagh_fists_of_gork
wh2_main_effect_magic_big_waaagh_reduce_wom_cost_foot_of_gork_upgraded	cost_mod	wh_main_spell_big_waaagh_foot_of_gork_upgraded
wh2_main_effect_magic_big_waaagh_reduce_wom_cost_foot_of_gork	cost_mod	wh_main_spell_big_waaagh_foot_of_gork
wh2_main_effect_magic_big_waaagh_reduce_wom_cost_gaze_of_mork_upgraded	cost_mod	wh_main_spell_big_waaagh_gaze_of_mork_upgraded
wh2_main_effect_magic_big_waaagh_reduce_wom_cost_gaze_of_mork	cost_mod	wh_main_spell_big_waaagh_gaze_of_mork
wh2_main_effect_magic_dark_cooldown_bladewind	recharge_mod	wh2_main_spell_dark_magic_bladewind
wh2_main_effect_magic_dark_cooldown_chillwind	recharge_mod	wh2_main_spell_dark_magic_chillwind
wh2_main_effect_magic_dark_cooldown_doombolt	recharge_mod	wh2_main_spell_dark_magic_doombolt
wh2_main_effect_magic_dark_cooldown_power_of_darkness	recharge_mod	wh2_main_spell_dark_magic_power_of_darkness
wh2_main_effect_magic_dark_cooldown_soul_stealer	recharge_mod	wh2_main_spell_dark_magic_soul_stealer
wh2_main_effect_magic_dark_cooldown_word_of_pain	recharge_mod	wh2_main_spell_dark_magic_word_of_pain
wh2_main_effect_magic_dark_enable_bladewind_upgraded	enable_overchage	wh2_main_spell_dark_magic_bladewind
wh2_main_effect_magic_dark_enable_bladewind_upgraded	enable	wh2_main_spell_dark_magic_bladewind
wh2_main_effect_magic_dark_enable_bladewind	enable	wh2_main_spell_dark_magic_bladewind
wh2_main_effect_magic_dark_enable_chillwind_upgraded	enable_overchage	wh2_main_spell_dark_magic_chillwind
wh2_main_effect_magic_dark_enable_chillwind_upgraded	enable	wh2_main_spell_dark_magic_chillwind
wh2_main_effect_magic_dark_enable_chillwind	enable	wh2_main_spell_dark_magic_chillwind
wh2_main_effect_magic_dark_enable_doombolt_upgraded	enable_overchage	wh2_main_spell_dark_magic_doombolt
wh2_main_effect_magic_dark_enable_doombolt_upgraded	enable	wh2_main_spell_dark_magic_doombolt
wh2_main_effect_magic_dark_enable_doombolt	enable	wh2_main_spell_dark_magic_doombolt
wh2_main_effect_magic_dark_enable_power_of_darkness_dummy	enable	wh2_main_spell_dark_magic_power_of_darkness
wh2_main_effect_magic_dark_enable_power_of_darkness	enable	wh2_main_spell_dark_magic_power_of_darkness
wh2_main_effect_magic_dark_enable_soul_stealer	enable	wh2_main_spell_dark_magic_soul_stealer
wh2_main_effect_magic_dark_enable_word_of_pain_upgraded	enable_overchage	wh2_main_spell_dark_magic_word_of_pain
wh2_main_effect_magic_dark_enable_word_of_pain_upgraded	enable	wh2_main_spell_dark_magic_word_of_pain
wh2_main_effect_magic_dark_enable_word_of_pain	enable	wh2_main_spell_dark_magic_word_of_pain
