missile_weapons_tables
11
key	precursor	default_projectile	weapon_type	can_fire_at_buildings
wh_dlc07_brt_blessed_trebuchet	False	wh_dlc07_brt_trebuchet_blessed_stone	none	False
wh_dlc07_brt_longbow_fire	False	wh_brt_longbow_arrow_fire	bow	False
wh_dlc07_brt_longbow_pox	False	wh_brt_longbow_arrow_pox	bow	False
wh_main_brt_horse_bow	False	wh_brt_arrow_horse	bow	False
wh_main_brt_longbow	False	wh_brt_longbow_arrow	bow	False
wh_main_brt_trebuchet	False	wh_brt_trebuchet_stone	none	False
wh_main_chs_hellcannon	False	wh_chs_hellcannon_blast	hell_cannon	False
wh_main_chs_javelin	False	wh_chs_javelin	none	False
wh_main_chs_javelin_heavy	False	wh_chs_javelin_heavy	none	False
wh_main_chs_throwing_axe	False	wh_chs_throwing_axe	none	False
wh_main_dwf_blasting_charges	False	wh_dwf_miners_blasting_charge	none	False
wh_main_dwf_cannon	False	wh_dwf_cannon_ball	cannon	False
wh_main_dwf_cinderblast_bomb	False	wh_dwf_ironbreakers_cinderblast_bomb	none	False
wh_main_dwf_clatter_gun	False	wh_dwf_gyrobomber_clattergun_bullet	clattergun	False
wh_main_dwf_copter_brimstone_gun	False	wh_dwf_copter_brimstone_shot	brinstone_gun	False
wh_main_dwf_copter_steam_gun	False	wh_dwf_gyrocopter_steam_shot	steamgun_copter	False
wh_main_dwf_crossbow	False	wh_dwf_crossow_bolt	crossbow	False
wh_main_dwf_drakegun	False	wh_dwf_drakegun_flame	drakegun	False
wh_main_dwf_drakegun_trollhammer_torpedo	False	wh_dwf_drakegun_trollhammer	troll_hammer	False
wh_main_dwf_flame_cannon	False	wh_dwf_flame_cannon_flame	flame_cannon	False
wh_main_dwf_grudge_thrower	False	wh_dwf_grudge_stone	none	False
wh_main_dwf_master_engineer_rifle	False	wh_dwf_master_engineer_rifle_bullet	repeater_gun	False
wh_main_dwf_organ_gun	False	wh_dwf_organ_gun	orgun_gun	False
wh_main_dwf_rifle	False	wh_dwf_rifle_bullet	repeater_gun	False
wh_main_dwf_tower_freestanding	False	wh_tower_dwf_bullet	none	False
wh_main_dwf_tower_main	False	wh_tower_dwf_fused_beer_keg	none	False
wh_main_emp_cannon	False	wh_emp_great_cannon_ball	great_cannon	False
wh_main_emp_crossbow	False	wh_emp_crossbow_bolt	crossbow	False
wh_main_emp_grenade_launcher	False	wh_emp_grenade	grenade_launcher	False
wh_main_emp_mortar	False	wh_emp_mortar_shell	mortar	False
wh_main_emp_pistol	False	wh_emp_pistol_bullet	pistol	False
wh_main_emp_rifle	False	wh_emp_rifle_bullet	repeater_gun	False
wh_main_emp_rifle_repeater	False	wh_emp_rifle_repeater_bullet	repeater_rifle	False
wh_main_emp_rocket_battery	False	wh_emp_rocket	rocket_battery	False
wh_main_emp_steam_tank_cannon_ball	False	wh_emp_steam_tank_cannon_ball	cannon	False
wh_main_emp_steam_tank_steam_gun	False	wh_emp_steam_tank_steam_shot	steamgun_tank	True
wh_main_emp_volley_gun	False	wh_emp_helblaster_bullet	gatling_gun	False
wh_main_emp_witchhunter_pistol	False	wh_emp_witchhunter_pistol	pistol	False
wh_main_grn_arachnarok_rider_bow	False	wh_grn_arachnarok_rider_arrow_poison	bow	False
wh_main_grn_doom_diver_catapult	False	wh_grn_doomdiver_goblin	none	False
wh_main_grn_goblin_bow	False	wh_grn_goblin_arrow	bow	False
wh_main_grn_goblin_bow_poison	False	wh_grn_goblin_arrow_poison_night_goblin	bow	False
wh_main_grn_goblin_bow_poison_spider_rider	False	wh_grn_goblin_arrow_poison_spider_rider	bow	False
wh_main_grn_goblin_bow_sundered	False	wh_grn_goblin_arrow_sundered_night_goblin	bow	False
wh_main_grn_goblin_bow_wolf_riders	False	wh_grn_goblin_arrow_wolf_rider	bow	False
wh_main_grn_goblin_rock_lobber_rock	False	wh_main_grn_goblin_rock_lobber_rock	none	False
wh_main_grn_orc_bow	False	wh_grn_orc_arrow	bow	False
wh_main_grn_wolf_chariot_bow	False	wh_grn_wolf_chariot_arrow	bow	False
wh_main_solheims_bolt_of_illumination	False	wh_main_bound_spell_solheims_bolt_of_illumination	repeater_rifle	False
wh_test_templehof_luminark	False	wh_main_bound_spell_solheims_bolt_of_illumination	repeater_rifle	False
wh_tower_brt_arrow	False	wh_tower_brt_arrow	none	False
wh_tower_brt_arrow_improved	False	wh_tower_brt_arrow_improved	none	False
wh_tower_brt_blessed_stone	False	wh_tower_brt_blessed_stone	none	False
wh_tower_brt_carcass	False	wh_tower_brt_carcass	none	False
wh_tower_dwf_bullet	False	wh_tower_dwf_bullet	none	False
wh_tower_dwf_bullet_improved	False	wh_tower_dwf_bullet_improved	none	False
wh_tower_dwf_cannon_ball	False	wh_tower_dwf_cannon_ball	none	False
wh_tower_dwf_fused_beer_keg	False	wh_tower_dwf_fused_beer_keg	none	False
wh_tower_emp_bullet	False	wh_tower_emp_bullet	none	False
wh_tower_emp_bullet_improved	False	wh_tower_emp_bullet_improved	none	False
wh_tower_emp_cannon_ball	False	wh_tower_emp_cannon_ball	none	False
wh_tower_emp_clockwork_bomb	False	wh_tower_emp_clockwork_bomb	none	False
wh_tower_grn_arrow	False	wh_tower_grn_arrow	none	False
wh_tower_grn_arrow_improved	False	wh_tower_grn_arrow_improved	none	False
wh_tower_grn_giant_dungball	False	wh_tower_grn_giant_dungball	none	False
wh_tower_grn_rock_idol	False	wh_tower_grn_rock_idol	none	False
wh_tower_vmp_bones	False	wh_tower_vmp_bones	none	False
wh_tower_vmp_bones_improved	False	wh_tower_vmp_bones_improved	none	False
wh_tower_vmp_caged_bats	False	wh_tower_vmp_caged_bats	none	False
wh_tower_vmp_corpse_ball	False	wh_tower_vmp_corpse_ball	none	False
wh_dwf_crossow_bolt_ranger	False	wh_dwf_crossow_bolt_ranger	crossbow	False
wh_dlc05_wef_waystalker_bow	False	wh_dlc05_wef_waystalker_bow	bow	False
wh_dlc05_wef_cha_starfire_gladelord	False	wh_dlc05_wef_cha_starfire_gladelord	bow	False
wh_main_grn_orc_savage_bow	False	wh_main_grn_orc_savage_bow	bow	False
wh_dwf_gyrobomber_clattergun_skyhammer	False	wh_dwf_gyrobomber_clattergun_skyhammer	clattergun	False
wh_grn_wolf_chariot_arrow_robbers	False	wh_grn_wolf_chariot_arrow_robbers	bow	False
wh_dlc05_wef_waywatchers_arrow_ror	False	wh_dlc05_wef_waywatchers_arrow_ror	bow	False
