ministerial_positions_culture_details_tables
6
unknown0	unknown1	unknown2	unknown3	unknown4	unknown5	unknown6	unknown7	unknown8	unknown9
wh_main_chs_chaos		placeholder	faction_leader	False	1954	0	0	0	placeholder
wh_main_dwf_dwarfs		placeholder	faction_leader	False	1757	0	0	0	placeholder
wh_main_emp_empire		wh_main_minister_string_emp_faction_leader_empire	faction_leader	False	1955	0	0	0	wh_main_minister_string_emp_faction_leader_empire_description
wh_main_grn_greenskins		placeholder	faction_leader	False	1761	0	0	0	placeholder
wh_main_vmp_vampire_counts		placeholder	faction_leader	False	1813	0	0	0	placeholder
	wh_dlc05_wef_mini_wood_elves	wh_dlc05_minister_string_wef_elder_speaker	wh_dlc05_minister_wef_elf_elder_speaker	False	1692	0	1.2	0.35	wh_dlc05_minister_string_wef_elder_speaker_desc
	wh_dlc05_wef_wood_elves	wh_dlc05_minister_string_wef_elder_speaker	wh_dlc05_minister_wef_elf_elder_speaker	False	1127	0	1.2	0.35	wh_dlc05_minister_string_wef_elder_speaker_desc
	wh_dlc05_wef_mini_wood_elves	wh_dlc05_minister_string_wef_herald_of_the_hunt	wh_dlc05_minister_wef_elf_herald_of_the_hunt	False	1695	0	-0.75	1.4	wh_dlc05_minister_string_wef_herald_of_the_hunt_desc
	wh_dlc05_wef_wood_elves	wh_dlc05_minister_string_wef_herald_of_the_hunt	wh_dlc05_minister_wef_elf_herald_of_the_hunt	False	1416	0	-0.75	1.4	wh_dlc05_minister_string_wef_herald_of_the_hunt_desc
	wh_dlc05_wef_mini_wood_elves	wh_dlc05_minister_string_wef_protector_of_the_oak	wh_dlc05_minister_wef_elf_protector_of_the_oak	False	1699	0	-1.2	0.35	wh_dlc05_minister_string_wef_protector_of_the_oak_desc
	wh_dlc05_wef_wood_elves	wh_dlc05_minister_string_wef_protector_of_the_oak	wh_dlc05_minister_wef_elf_protector_of_the_oak	False	1123	0	-1.2	0.35	wh_dlc05_minister_string_wef_protector_of_the_oak_desc
	wh_dlc05_wef_mini_wood_elves	wh_dlc05_minister_string_wef_starlight_craftsman	wh_dlc05_minister_wef_elf_starlight_craftsman	False	1708	0	2.25	1.4	wh_dlc05_minister_string_wef_starlight_craftsman_desc
	wh_dlc05_wef_wood_elves	wh_dlc05_minister_string_wef_starlight_craftsman	wh_dlc05_minister_wef_elf_starlight_craftsman	False	1132	0	2.25	1.4	wh_dlc05_minister_string_wef_starlight_craftsman_desc
	wh_dlc05_wef_mini_wood_elves	wh_dlc05_minister_string_wef_the_tricksters_masque	wh_dlc05_minister_wef_elf_the_tricksters_masque	False	1709	0	0.75	1.4	wh_dlc05_minister_string_wef_the_tricksters_masque_desc
	wh_dlc05_wef_wood_elves	wh_dlc05_minister_string_wef_the_tricksters_masque	wh_dlc05_minister_wef_elf_the_tricksters_masque	False	1135	0	0.75	1.4	wh_dlc05_minister_string_wef_the_tricksters_masque_desc
	wh_dlc05_wef_mini_wood_elves	wh_dlc05_minister_string_wef_warden_of_the_wildwood	wh_dlc05_minister_wef_elf_warden_of_the_wildwood	False	1710	0	-2.25	1.4	wh_dlc05_minister_string_wef_warden_of_the_wildwood_desc
	wh_dlc05_wef_wood_elves	wh_dlc05_minister_string_wef_warden_of_the_wildwood	wh_dlc05_minister_wef_elf_warden_of_the_wildwood	False	1131	0	-2.25	1.4	wh_dlc05_minister_string_wef_warden_of_the_wildwood_desc
	wh_dlc05_wef_argwylon	wh_dlc05_minister_string_wef_ancient_of_delliandra	wh_dlc05_minister_wef_tree_ancient_of_delliandra	False	1437	0	-0.75	1.4	wh_dlc05_minister_string_wef_ancient_of_delliandra_desc
	wh_dlc05_wef_mini_argwylon	wh_dlc05_minister_string_wef_ancient_of_delliandra	wh_dlc05_minister_wef_tree_ancient_of_delliandra	False	1714	0	-0.75	1.4	wh_dlc05_minister_string_wef_ancient_of_delliandra_desc
	wh_dlc05_wef_argwylon	wh_dlc05_minister_string_wef_ancient_of_druthandor	wh_dlc05_minister_wef_tree_ancient_of_druthandor	False	1471	0	2.25	0.7	wh_dlc05_minister_string_wef_ancient_of_druthandor_desc
	wh_dlc05_wef_mini_argwylon	wh_dlc05_minister_string_wef_ancient_of_druthandor	wh_dlc05_minister_wef_tree_ancient_of_druthandor	False	1718	0	2.25	0.7	wh_dlc05_minister_string_wef_ancient_of_druthandor_desc
	wh_dlc05_wef_argwylon	wh_dlc05_minister_string_wef_ancient_of_talrennic	wh_dlc05_minister_wef_tree_ancient_of_talrennic	False	1481	0	-2.25	0.7	wh_dlc05_minister_string_wef_ancient_of_talrennic_desc
	wh_dlc05_wef_mini_argwylon	wh_dlc05_minister_string_wef_ancient_of_talrennic	wh_dlc05_minister_wef_tree_ancient_of_talrennic	False	1724	0	-2.25	0.7	wh_dlc05_minister_string_wef_ancient_of_talrennic_desc
	wh_dlc05_wef_argwylon	wh_dlc05_minister_string_wef_ancient_of_threllock	wh_dlc05_minister_wef_tree_ancient_of_threllock	False	1462	0	0.75	1.4	wh_dlc05_minister_string_wef_ancient_of_threllock_desc
	wh_dlc05_wef_mini_argwylon	wh_dlc05_minister_string_wef_ancient_of_threllock	wh_dlc05_minister_wef_tree_ancient_of_threllock	False	1732	0	0.75	1.4	wh_dlc05_minister_string_wef_ancient_of_threllock_desc
	wh_main_chs_chaos	placeholder	wh_main_minister_chs_1_aspirant	False	49	0	0	0	placeholder
	wh_main_chs_chaos	placeholder	wh_main_minister_chs_2_marked_one	False	59	0	0	0	placeholder
	wh_main_chs_chaos	placeholder	wh_main_minister_chs_3_champion	False	60	0	0	0	placeholder
	wh_main_chs_chaos	placeholder	wh_main_minister_chs_4_chosen	False	64	0	0	0	placeholder
	wh_main_chs_chaos	placeholder	wh_main_minister_chs_5_exalted	False	66	0	0	0	placeholder
	wh_main_dwf_dwarfs	placeholder	wh_main_minister_dwf_1_lode_warden	False	263	0	0	0	placeholder
	wh_main_dwf_dwarfs	placeholder	wh_main_minister_dwf_2_reckoner	False	266	0	0	0	placeholder
	wh_main_dwf_dwarfs	placeholder	wh_main_minister_dwf_3_ironmaster	False	275	0	0	0	placeholder
	wh_main_dwf_dwarfs	placeholder	wh_main_minister_dwf_4_brewmaster	False	282	0	0	0	placeholder
	wh_main_dwf_dwarfs	placeholder	wh_main_minister_dwf_5_clan_lord	False	284	0	0	0	placeholder
	wh_main_emp_empire	wh_main_minister_string_emp_arch_lector	wh_main_minister_emp_arch_lector	False	1312	0	0.75	1.4	wh_main_minister_string_emp_arch_lector_description
	wh_main_emp_empire	wh_main_minister_string_emp_castellan-engineer	wh_main_minister_emp_castellan-engineer	False	1314	0	2.25	1.4	wh_main_minister_string_emp_castellan-engineer_description
	wh_main_emp_empire	wh_main_minister_string_emp_reiksmarshal	wh_main_minister_emp_reiksmarshal	False	47	0	-1.2	0.35	wh_main_minister_string_emp_reiksmarshal_description
	wh_main_emp_empire	wh_main_minister_string_emp_spymaster	wh_main_minister_emp_spymaster	False	1306	0	-2.25	1.4	wh_main_minister_string_emp_spymaster_description
	wh_main_emp_empire	wh_main_minister_string_emp_supreme_patriarch	wh_main_minister_emp_supreme_patriarch	False	1299	0	1.2	0.35	wh_main_minister_string_emp_supreme_patriarch_description
	wh_main_emp_empire	wh_main_minister_string_emp_treasurer	wh_main_minister_emp_treasurer	False	1309	0	-0.75	1.4	wh_main_minister_string_emp_treasurer_description
	wh_main_grn_greenskins	placeholder	wh_main_minister_grn_1_lout	False	228	0	0	0	placeholder
	wh_main_grn_greenskins	placeholder	wh_main_minister_grn_2_bully	False	236	0	0	0	placeholder
	wh_main_grn_greenskins	placeholder	wh_main_minister_grn_3_thug	False	242	0	0	0	placeholder
	wh_main_grn_greenskins	placeholder	wh_main_minister_grn_4_brute	False	252	0	0	0	placeholder
	wh_main_grn_greenskins	placeholder	wh_main_minister_grn_5_chieftain_king	False	254	0	0	0	placeholder
	wh_main_vmp_vampire_counts	placeholder	wh_main_minister_vmp_1_grave_warden	False	75	0	0	0	placeholder
	wh_main_vmp_vampire_counts	placeholder	wh_main_minister_vmp_2_initiate	False	84	0	0	0	placeholder
	wh_main_vmp_vampire_counts	placeholder	wh_main_minister_vmp_3_acolyte	False	86	0	0	0	placeholder
	wh_main_vmp_vampire_counts	placeholder	wh_main_minister_vmp_4_awakened	False	87	0	0	0	placeholder
	wh_main_vmp_vampire_counts	placeholder	wh_main_minister_vmp_5_red_ascendant	False	88	0	0	0	placeholder
