cai_personality_deal_generation_generator_priorities_tables
2
component_key	generator_key	last_stand_priority	param1	param2	param3	param4	peace_priority	tension_priority	total_war_priority	war_priority	failure_timeout	min_payment_cap	max_payment_cap	max_payment_pct
passive	OFFER_TO_JOIN_WAR_AGAINST_FACTION_I_DISLIKE	-100	0	-60	0	0	-100	-100	-100	-100	5	0	10000	10
passive	OFFER_VASSALAGE_OR_CLIENT_STATE_TO_ALLIES_OF_ENEMIES	-100	0	-120	0	0	-100	-100	-100	-100	5	0	10000	10
passive	OFFER_VASSALAGE_OR_CLIENT_STATE_TO_ENEMIES	-100	0	-120	0	0	-100	-100	-100	-100	5	0	10000	10
passive	OFFER_VASSALAGE_OR_CLIENT_STATE_TO_NEIGHBOURS	-100	0	-120	0	0	-100	-100	-100	-100	5	0	10000	10
passive	OFFER_VASSALAGE_OR_CLIENT_STATE_TO_PLAYER	-100	0	-120	0	0	-100	-100	-100	-100	5	0	10000	10
passive	PEACE	250	0	-50	0	0	60	60	160	70	5	0	10000	25
passive	REQUEST_ALLY_TO_JOIN_WAR	220	0	-220	0	0	50	90	160	120	5	0	10000	10
passive	TRADE_AGREEMENT	10	0	-10	0	0	10	10	10	10	5	0	10000	10
passive	TREATIES_WITH_ALLIES_OF_ALLIES	10	0	-10	0	0	10	10	10	10	5	0	10000	10
passive	TREATIES_WITH_ENEMIES_OF_ENEMIES	-100	0	-30	0	0	-100	-100	-100	-100	5	0	10000	10
passive	TREATIES_WITH_NEIGHBOURS	10	0	-10	0	0	10	10	10	10	5	0	10000	10
passive	UPGRADE_TREATIES	10	0	-10	0	0	10	10	10	10	5	0	10000	10
schemer	REQUEST_BREAK_ALLIANCE_WITH_DISLIKED_FACTIONS	100	0	-100	0	0	100	100	100	100	5	0	10000	10
schemer	REQUEST_BREAK_TREATY_WITH_DISLIKED_FACTIONS	100	0	-100	0	0	100	100	100	100	5	0	10000	10
subjugator	DEMAND_VASSALAGE_OR_CLIENT_STATE_FROM_ENEMIES	200	0	-200	0	0	200	200	200	200	5	0	10000	10
subjugator	FORM_CONFEDERATION	500	0	-500	0	0	500	500	500	500	5	0	10000	10
subjugator	OFFER_VASSALAGE_OR_CLIENT_STATE_TO_ALLIES_OF_ENEMIES	-100	0	0	0	0	-100	-100	-100	-100	5	0	10000	10
subjugator	OFFER_VASSALAGE_OR_CLIENT_STATE_TO_ENEMIES	-100	0	0	0	0	-100	-100	-100	-100	5	0	10000	10
subjugator	OFFER_VASSALAGE_OR_CLIENT_STATE_TO_NEIGHBOURS	-100	0	0	0	0	-100	-100	-100	-100	5	0	10000	10
subjugator	OFFER_VASSALAGE_OR_CLIENT_STATE_TO_PLAYER	-100	0	0	0	0	-100	-100	-100	-100	5	0	10000	10
