battle_skeletons_tables
15
head_node	hips_node	leftarm_node	leftfoot_node	lefthand_node	leftleg_node	leftshoulder_node	leftupleg_node	leftwheel_node	name	neck_node	rightarm_node	rightfoot_node	righthand_node	rightleg_node	rightshoulder_node	rightupleg_node	rightwheel_node	root	scale	scale_deviation	spine_node	weapon1_node	weapon2_node	weapon3_node	weapon4_node	weapon5_node	leftfinger_node	rightfinger_node	lefttoe_node	righttoe_node	category_man	category_mount	category_engine	weapon6_node	category_animal	category_fauna	cinematic	locomotion	leftwingbase_node	rightwingbase_node	head_tracking_angle	back_node	front_left_upper_leg_node	front_right_upper_leg_node	front_lefttoe_node	front_righttoe_node	rear_left_upper_leg_node	rear_right_upper_leg_node	rear_lefttoe_node	rear_righttoe_node	footstep_nodes	footstep_detection_height	articulation_node	flying_pivot_node	filter_projectiles_node	torso_splice_node
head_0	root	wing_left_0	foot_left_0	wing_left_2	leg_left_1	wing_shoulder_left_0	leg_left_0		bird01	neck_0	wing_right_0	foot_right_0	wing_right_2	leg_right_1	wing_shoulder_right_0	leg_right_0		animRoot	1	0	spine_0						toe_inner_left_0	toe_inner_right_0	toe_inner_left_0	toe_inner_right_0	True	True	False		False	False	False	winged	wing_shoulder_left_0	wing_shoulder_right_0	45										toe_inner_left_0;toe_inner_right_0	0.02		spine_2	foot_, jaw_	
head	root	upperarm_left	foot_left	hand_left	leg_left_1	clav_left	leg_left_0		bird02	neck_0	upperarm_right	foot_right	hand_right	leg_right_1	clav_right	leg_right_0		animRoot	1	0	spine_0						claw_inner_left_0	claw_inner_right_0	toe_inner_left_0	toe_inner_right_0	True	True	False		False	False	False	winged	clav_left	clav_right	45		upperarm_left	upperarm_right	claw_inner_left_0	claw_inner_right_0	leg_left_0	leg_right_0	toe_inner_left_0	toe_inner_right_0	toe_inner_left_0;toe_inner_right_0;claw_inner_right_0;claw_inner_left_0	0.02		spine_3	foot_, 	
head	root	upperarm_left	foot_left	hand_left	leg_left_1	clav_left	leg_left_0		bird03	neck_0	upperarm_right	foot_right	hand_right	leg_right_1	clav_right	leg_right_0		animRoot	1	0	spine_0						claw_inner_left_0	claw_inner_right_0	toe_inner_left_0	toe_inner_right_0	False	True	False		False	False	False	winged	clav_left	clav_right	45		upperarm_left	upperarm_right	claw_inner_left_0	claw_inner_right_0	leg_left_0	leg_right_0	toe_inner_left_0	toe_inner_right_0	toe_inner_left_0;toe_inner_right_0;claw_inner_right_0;claw_inner_left_0	0.02		spine_2		
head	root								blackark01									animRoot	1	0											False	False	False		False	False	False	unclassified			45											0.05				
	root							wheel_mid_left_0	bloodcauldron01								wheel_mid_right_0	animRoot	1	0											False	False	True		False	False	False	wheeled			45											0.05				
head	root	upperarm_left	leg_left_2	hand_left	leg_left_1	clav_left	leg_left_0		boar01	neck_0	upperarm_right	leg_right_2	hand_right	leg_right_1	clav_right	leg_right_0		animRoot	1	0	spine_0						finger_middle_left_0	finger_middle_right_0	foot_left	foot_right	True	True	False		False	False	False	quadruped			45		upperarm_left	upperarm_right	finger_middle_left_0	finger_middle_right_0	leg_left_0	leg_right_0	foot_left	foot_right	foot_right;foot_left;finger_middle_left_0;finger_middle_left_0	0.02				
	root							wheel_left_	boltthrower01								wheel_right_	animRoot	1	0											False	False	True		False	False	False	wheeled			45											0.02				
	root							wheel_left_	boltthrower01b								wheel_right_	animRoot	1	0											False	False	True		False	False	False	wheeled			45											0.02				
	root							wheel_left_	boltthrower02								wheel_right_	animRoot	1	0											False	False	True		False	False	False	wheeled			45											0.02				
	bn_root								cam_fauna_bird_01									bn_root	1	0	bn_root										False	False	False		False	True	False	winged	bn_leftwing1	bn_rightwing1	45											0.05		bn_root		
	root							wheel_mid_left_0	campaignbloodcauldron01								wheel_mid_right_0	animRoot	1	0											False	False	True		False	False	False	wheeled			45											0.05				
	root							wheel_left_	campaignboarchariot01								wheel_right_	animRoot	1	0											False	False	True		False	False	False	wheeled			45											0.05	pivot_0			
	root							wheel_	campaigncoldonechariot01								wheel_	animRoot	1	0											False	False	True		False	False	False	wheeled			45											0.05	pivot_0			
	root							wheel_left_	campaigncorpsecart01								wheel_right_	animRoot	1	0											False	False	True		False	False	False	wheeled			45											0.05	pivot_0			
	root							wheel_left_	campaignrazorgorchariot01								wheel_right_	animRoot	1	0											False	False	True		False	False	False	wheeled			45											0.05	pivot_0			
	root							wheel_left_	campaigntiranocchariot01								wheel_right_	animRoot	1	0											False	False	True		False	False	False	wheeled			45											0.05	pivot_0			
	root							wheel_left_	campaignwaraltar01								wheel_right_	animRoot	1	0											False	False	True		False	False	False	wheeled			45											0.05	horse_boom_0			
	root							wheel_left_	cannon01								wheel_right_	animRoot	1	0											False	False	True		False	False	False	wheeled			45											0.02				
	root							wheel_left_	carriage01								wheel_right_	animRoot	1	0											False	False	True		False	False	False	wheeled			45											0.02	pivot_0			
head	root	upper_arm_left_0	foot_left	upper_arm_left_2	leg_left_1	upper_clav_left_0	leg_left_0		centaur01	neck_0	upper_arm_right_0	foot_right	upper_arm_right_2	leg_right_1	upper_clav_right_0	leg_right_0		animRoot	1	0	spine_3	be_prop_0	be_prop_1	be_prop_2	be_prop_3	be_prop_4	hand_left	hand_right	toe_left_0	toe_right_0	True	False	False		False	False	False	quadruped			45	spine_5	upperarm_left	upperarm_right	finger_middle_left_0	finger_middle_right_0	leg_left_0	leg_right_0	toe_left_0	toe_right_0	toe_right_0;toe_left_0;finger_middle_right_0;finger_middle_left_0	0.02			foot_, finger_, upper_finger_, upper_thumb_	spine_3
head_0	root	upperarm_left	foot_rear_left	hand_left	lowerleg_rear_left	clav_left_0	upperleg_rear_left		centaur02	neck_0	upperarm_right	foot_rear_right	hand_right	lowerleg_rear_right	clav_right_0	upperleg_rear_right		animRoot	1	0	spine_3	be_prop_0					hand_left	hand_right	toe_middle_rear_left_0	toe_middle_rear_right_0	True	False	False		False	False	False	quadruped			45	spine_5	upperleg_front_left	upperleg_front_right	toe_middle_front_left_0	toe_middle_front_right_0	upperleg_rear_left	upperleg_rear_right	toe_middle_rear_left_0	toe_middle_rear_right_0	toe_middle_rear_right_0;toe_middle_rear_left_0;toe_middle_front_right_0;toe_middle_front_left_0	0.02			foot_, finger_, thumb_, cingulum_	spine_3
	root							wheel_left_	chaoschariot01								wheel_right_	animRoot	1	0											False	False	True		False	False	False	wheeled			45											0.05	pivot_0			
	root							wheel_left_	chariot01								wheel_right_	animRoot	1	0											False	False	True		False	False	False	wheeled			45											0.05	pivot_0			
	root								cine_egc1_gyrocopter									animRoot	1	0											True	False	False		False	False	True	winged	wing_left_0	wing_right_0	45											0.02				
	root							wheel_left_	cine_estk1_st								wheel_right_	animRoot	1	0											False	False	True		False	False	True	wheeled			45											0.02				
head	root	upperarm_left	foot_left	hand_left	lowerleg_left	clav_left	upperleg_left		cine_hu1_kf	neck_0	upperarm_right	foot_right	hand_right	lowerleg_right	clav_right	upperleg_right		animRoot	1	0	spine_0	be_prop_0	be_prop_1	be_prop_2	be_prop_3	be_prop_4			toe_left_0	toe_right_0	True	False	False	be_prop_5	False	False	True	biped			45	spine_2									toe_left_0;toe_right_0	0.02				
head	root	upperarm_left	foot_left	hand_left	lowerleg_left	clav_left	upperleg_left		cine_hu1_mvc	neck_0	upperarm_right	foot_right	hand_right	lowerleg_right	clav_right	upperleg_right		animRoot	1	0	spine_0		be_prop_1						toe_left_0	toe_right_0	True	False	False	be_prop_5	False	False	True	biped			45	spine_2									toe_left_0;toe_right_0	0.02				
head	root	upperarm_left	foot_left	hand_left	lowerleg_left	clav_left	upperleg_left		cine_hu1d_lord	neck_0	upperarm_right	foot_right	hand_right	lowerleg_right	clav_right	upperleg_right		animRoot	1	0	spine_0	be_prop_0	be_prop_1	be_prop_2	be_prop_3	be_prop_4	finger_index_left_0	finger_index_right_0	toe_left_0	toe_right_0	True	False	False	be_prop_5	False	False	True	biped			45	spine_2									toe_left_0;toe_right_0	0.02			cape_, shoulder_, hand_, skirt_	
head	root	upperarm_left	foot_left	hand_left	lowerleg_left	clav_left	upperleg_left		cine_hu2_grimgor	neck_0	upperarm_right	foot_right	hand_right	lowerleg_right	clav_right	upperleg_right		animRoot	1	0	spine_0	be_prop_0	be_prop_1	be_prop_2	be_prop_3	be_prop_4			toe_left_0	toe_right_0	True	False	False	be_prop_5	False	False	True	biped			45	spine_2									toe_left_0;toe_right_0	0.02				
head	root	upperarm_left	foot_left	hand_left	lowerleg_left	clav_left	upperleg_left		cine_hu3_dwf	neck_0	upperarm_right	foot_right	hand_right	lowerleg_right	clav_right	upperleg_right		animRoot	1	0	spine_0	be_prop_0	be_prop_1	be_prop_2	be_prop_3	be_prop_4			toe_left_0	toe_right_0	True	False	False	be_prop_5	False	False	True	biped			45	spine_2									toe_left_0;toe_right_0	0.02				
head	root	upperarm_left	foot_left	hand_left	lowerleg_left	clav_left	upperleg_left		cine_hu3_thorgrim	neck_0	upperarm_right	foot_right	hand_right	lowerleg_right	clav_right	upperleg_right		animRoot	1	0	spine_0	be_prop_0	be_prop_1	be_prop_2	be_prop_3	be_prop_4			toe_left_0	toe_right_0	True	False	False	be_prop_5	False	False	True	biped			45	spine_2									toe_left_0;toe_right_0	0.02				
head	root	upperarm_left	foot_left	hand_left	lowerleg_left	clav_left	upperleg_left		cine_hu5_shaman	neck_0	upperarm_right	foot_right	hand_right	lowerleg_right	clav_right	upperleg_right		animRoot	1	0	spine_0	be_prop_0	be_prop_1	be_prop_2	be_prop_3	be_prop_4			toe_left_0	toe_right_0	True	False	False	be_prop_5	False	False	True	biped			45	spine_2									toe_left_0;toe_right_0	0.02				
	root								cine_p_book01_hu3									root	1	0	spine_left_0										False	False	False		False	False	True	unclassified			45											0.05				
	root								cine_p_lantern01_hu3									root	1	0	body_0										False	False	False		False	False	True	unclassified			45											0.05				
head_0	root	upperarm_left	foot_left	hand_left	leg_left_1	clav_left	leg_left_0		cine_ra1b_rat	head_0	upperarm_right	foot_right	hand_right	leg_right_1	clav_right	leg_right_0		animRoot	1	0	spine_0						finger_left_0	finger_right_0	toe_left	toe_right	False	False	False		True	False	False	quadruped			45		upperarm_left	upperarm_right	finger_left_0	finger_right_0	leg_left_0	leg_right_0	toe_left	toe_right	toe_left;toe_right;finger_left_0;finger_right_0	0.02				
	root							wheel_	coldonechariot01								wheel_	animRoot	1	0											False	False	True		False	False	False	wheeled			45											0.05	pivot_0			
	root							wheel_left_	corpsecart01								wheel_right_	animRoot	1	0											False	False	True		False	False	False	wheeled			45											0.05	pivot_0			
head	root	upperarm_left	foot_left	hand_left	lowerleg_left	clav_left	upperleg_left		default_skeleton	neck_0	upperarm_right	foot_right	hand_right	lowerleg_right	clav_right	upperleg_right		animRoot	1	0	spine_0								toe_left_0	toe_right_0	True	True	True		False	False	False	unclassified			45	spine_2	upperarm_left	upperarm_right	hand_left	hand_right	upperleg_left	upperleg_right	toe_left_0	toe_right_0		0.02				
	root							wheel_left_	doomdivercatapult01								wheel_right_	animRoot	1	0											False	False	True		False	False	False	wheeled			45											0.02				
	root							wheel_left_	doomwheel01								wheel_right_	animRoot	1	0											False	False	True		False	False	False	wheeled			45											0.05			pipes_lower_0, pipes_lower_1, pipes_lower_2, pipes_upper_0, pipes_upper_1, pipes_upper_2, flag_0, flag_1, flag_2, flag_3	
head_central	root	upperarm_left	foot_left	hand_left	leg_left_1	clav_left	leg_left_0		dragon01	neck_central_0	upperarm_right	foot_right	hand_right	leg_right_1	clav_right	leg_right_0		animRoot	1	0	spine_0						wing_claw_left_0	wing_claw_right_0	toe_middle_left_0	toe_middle_right_0	False	True	False		False	False	False	winged_quadruped	wing_shoulder_left_0	wing_shoulder_right_0	45		upperarm_left	upperarm_right	wing_claw_left_0	wing_claw_right_0	leg_left_0	leg_right_0	toe_middle_left_0	toe_middle_right_0	toe_middle_right_0;toe_middle_left_0;wing_claw_right_0;wing_claw_left_0	0.02		spine_4	tail_end_, foot_, finger_base_, 	
head_left	root	upperarm_left	foot_left	hand_left	leg_left_1	clav_left	leg_left_0		dragon01b	neck_left_0	upperarm_right	foot_right	hand_right	leg_right_1	clav_right	leg_right_0		animRoot	1	0	spine_0						wing_claw_left_0	wing_claw_right_0	toe_middle_left_0	toe_middle_right_0	False	True	False		False	False	False	winged_quadruped	wing_shoulder_left_0	wing_shoulder_right_0	45		upperarm_left	upperarm_right	wing_claw_left_0	wing_claw_right_0	leg_left_0	leg_right_0	toe_middle_left_0	toe_middle_right_0	toe_middle_right_0;toe_middle_left_0;wing_claw_right_0;wing_claw_left_0	0.02		spine_4	tail_end_, foot_, finger_base_, 	
head_central_0	root	upperarm_left	foot_left	hand_left	leg_left_1	clav_left	leg_left_0		dragon02	neck_central_0	upperarm_right	foot_right	hand_right	leg_right_1	clav_right	leg_right_0		animRoot	1	0	spine_0						finger_middle_left_0	finger_middle_right_0	toe_middle_left_0	toe_middle_right_0	False	True	False		False	False	False	quadruped			45		upperarm_left	upperarm_right	finger_middle_left_0	finger_middle_right_0	leg_left_0	leg_right_0	toe_middle_left_0	toe_middle_right_0	toe_middle_right_0;toe_middle_left_0;finger_middle_left_0;finger_middle_right_0	0.02		spine_4	tail_end_, foot_, finger_base_, 	
	root								dummy01									animRoot	1	0											True	False	False		False	False	False	unclassified			45											0.05				
	root								fauna_bird									animRoot	1	0											False	False	False		False	True	False	unclassified	clav_left	clav_right	45											0.02				
	root								fish01									animRoot	1	0											False	False	False		False	True	False	unclassified			45											0.05				
	root							wheel_left_	flamecannon01								wheel_right_	animRoot	1	0											False	False	True		False	False	False	wheeled			45											0.02				
head_0	root	upperarm_left_0		hand_left_0		clav_left_0			ghost01	neck_0	upperarm_right_0		hand_right_0		clav_right_0			animRoot	1	0	spine_0	be_prop_0	be_prop_1	be_prop_2	be_prop_3	be_prop_4	finger_index_left_0	finger_index_right_0			True	False	False	be_prop_5	False	False	False	unclassified			45											0.02			sleeve_, hand_	
head_rider	root	upperarm_right_rider	foot_left_rider_rider	hand_left_rider	upperleg_left_rider	clav_right_rider	upperleg_left_rider		grail01	neck_rider	upperarm_right_rider	foot_right_rider_rider	hand_right_rider	upperleg_right_rider	clav_right_rider	upperleg_right_rider		animRoot	1	0	spine_2_rider						hand_left_rider	hand_right_rider	foot_left_rider_rider	foot_right_rider_rider	True	False	False		False	False	False	biped			45	spine_2_rider										0.02				
	root							wheel_left_	greatcannon01								wheel_right_	animRoot	1	0											False	False	True		False	False	False	wheeled			45											0.02				
	root							bone_wheel_left	grudgethrower01								bone_wheel_right	animRoot	1	0											False	False	True		False	False	False	wheeled			45											0.02				
head	root	upperarm_left	spine_0	hand_left	spine_0	clav_left	spine_0	spine_0	gyrobomber01	neck_0	upperarm_right	spine_0	hand_right	spine_0	clav_right	spine_0		animRoot	1	0	spine_0						spine_0	spine_0	spine_0	spine_0	True	False	False		False	False	False	winged_helicopter	upperarm_left	upperarm_right	45	spine_2										0.02		root		
head	root	upperarm_left	spine_0	hand_left	spine_0	clav_left	spine_0	spine_0	gyrocopter01	neck_0	upperarm_right	spine_0	hand_right	spine_0	clav_right	spine_0		animRoot	1	0	spine_0						spine_0	spine_0	spine_0	spine_0	True	False	False		False	False	False	winged_helicopter	upperarm_left	upperarm_right	45	spine_2										0.02		root		
head_upper	root	upperarm_left	foot_left	finger_base_left_0	leg_left_1	clav_left	leg_left_0		heavyquadruped01	neck_0	upperarm_right	foot_right	finger_base_right_0	leg_right_1	clav_right	leg_right_0		animRoot	1	0	spine_0	be_prop_0					finger_centre_left	finger_centre_right	toe_centre_left_0	toe_centre_right_0	False	True	False		False	False	False	quadruped			45	bow_0	upperarm_left	upperarm_right	finger_centre_left	finger_centre_right	leg_left_0	leg_right_0	toe_centre_left_0	toe_centre_right_0	toe_centre_right_0;toe_centre_left_0;finger_centre_right;finger_centre_left	0.02			head_, finger_base_left_0, finger_base_right_0, foot_left, foot_right, tail_, platform_	
head	root	upperarm_left	foot_left	finger_base_left	leg_left_1	clav_left	leg_left_0		heavyquadruped03	neck	upperarm_right	foot_right	finger_base_right	leg_right_1	clav_right	leg_right_0		animRoot	1	0	spine_0						finger_centre_left	finger_centre_right	toe_middle_left_0	toe_middle_right_0	False	True	False		False	False	False	quadruped			45		upperarm_left	upperarm_right	finger_centre_left	finger_centre_right	leg_left_0	leg_right_0	toe_centre_left_0	toe_centre_right_0	toe_centre_right_0;toe_centre_left_0;finger_centre_right;finger_centre_left	0.02				
	root								heavyship01									animRoot	1	0											False	False	False		False	False	False	unclassified			45											0.05				
	root								heavyship02									animRoot	1	0											False	False	False		False	False	False	unclassified			45											0.05				
	root								heavyship03									animRoot	1	0											False	False	False		False	False	False	unclassified			45											0.05				
	root								heavyship04									animRoot	1	0											False	False	False		False	False	False	unclassified			45											0.05				
	root							bone_wheel_left_	helblaster01								bone_wheel_right_	animRoot	1	0											False	False	True		False	False	False	wheeled			45											0.02				
	root							wheel_left_	hellcannon01								wheel_right_	animRoot	1	0											False	False	True		False	False	False	wheeled			45											0.02				
	root							wheel_left_	helstorm01								wheel_right_	animRoot	1	0											False	False	True		False	False	False	wheeled			45											0.02				
head	root	upperarm_left	foot_left	hand_left	leg_left_1	clav_left	leg_left_0		horse01	neck_0	upperarm_right	foot_right	hand_right	leg_right_1	clav_right	leg_right_0		animRoot	1	0	spine_0						finger_middle_left_0	finger_middle_right_0	toe_left_0	toe_right_0	False	True	False		False	False	False	quadruped			45		upperarm_left	upperarm_right	finger_middle_left_0	finger_middle_right_0	leg_left_0	leg_right_0	toe_left_0	toe_right_0	toe_right_0;toe_left_0;finger_middle_right_0;finger_middle_left_0	0.02		spine_2	wing_, barding_, tail_	
head	root	upperarm_left	foot_left	hand_left	lowerleg_left	clav_left	upperleg_left		humanoid01	neck_0	upperarm_right	foot_right	hand_right	lowerleg_right	clav_right	upperleg_right		animRoot	1	0	spine_0	be_prop_0	be_prop_1	be_prop_2	be_prop_3	be_prop_4			toe_left_0	toe_right_0	True	True	False	be_prop_5	False	False	False	biped			45	spine_2									toe_left_0;toe_right_0	0.02			cape_, hand_, skirt_	
head	root	upperarm_left	foot_left	hand_left	lowerleg_left	clav_left	upperleg_left		humanoid01b	neck_0	upperarm_right	foot_right	hand_right	lowerleg_right	clav_right	upperleg_right		animRoot	1	0	spine_0	be_prop_0	be_prop_1	be_prop_2	be_prop_3	be_prop_4	finger_index_left_0	finger_index_right_0	toe_left_0	toe_right_0	True	False	False	be_prop_5	False	False	False	biped			45	spine_2									toe_left_0;toe_right_0	0.02			cape_, hand_, skirt_, belt_, sleeve_	
head	root	upperarm_left	foot_left	hand_left	lowerleg_left	clav_left	upperleg_left		humanoid01c	neck_0	upperarm_right	foot_right	hand_right	lowerleg_right	clav_right	upperleg_right		animRoot	1	0	spine_0	be_prop_0	be_prop_1	be_prop_2	be_prop_3	be_prop_4	finger_index_left_0	finger_index_right_0	toe_left_0	toe_right_0	True	False	False	be_prop_5	False	False	False	biped			45	spine_2									toe_left_0;toe_right_0	0.02			cape_, hand_, skirt_, arm_tentacle_	
head	root	upperarm_left	foot_left	hand_left	lowerleg_left	clav_left	upperleg_left		humanoid01d	neck_0	upperarm_right	foot_right	hand_right	lowerleg_right	clav_right	upperleg_right		animRoot	1	0	spine_0	be_prop_0	be_prop_1	be_prop_2	be_prop_3	be_prop_4	finger_index_left_0	finger_index_right_0	toe_left_0	toe_right_0	True	False	False	be_prop_5	False	False	False	biped			45	spine_2									toe_left_0;toe_right_0	0.02			cape_, shoulder_, hand_, skirt_	
head	root	upperarm_left	foot_left	hand_left	lowerleg_left	clav_left	upperleg_left		humanoid02	neck_0	upperarm_right	foot_right	hand_right	lowerleg_right	clav_right	upperleg_right		animRoot	1	0	spine_0	be_prop_0	be_prop_1	be_prop_2	be_prop_3	be_prop_4			toe_left_0	toe_right_0	True	False	False	be_prop_5	False	False	False	biped			45	spine_2									toe_left_0;toe_right_0	0.02			hand_, headdress_, cape_, cingulum_	
head	root	upperarm_left	foot_left	hand_left	lowerleg_left	clav_left	upperleg_left		humanoid03	neck_0	upperarm_right	foot_right	hand_right	lowerleg_right	clav_right	upperleg_right		animRoot	1	0	spine_0	be_prop_0	be_prop_1	be_prop_2	be_prop_3	be_prop_4	finger_index_left_0	finger_index_right_0	toe_left_0	toe_right_0	True	False	False	be_prop_5	False	False	False	biped			45	spine_2									toe_left_0;toe_right_0	0.02			cape_, hand_, skirt_, beard_	
head_0	root	arm_left_0	leg_left_2	arm_left_2	leg_left_1	clav_left_0	leg_left_0		humanoid04	neck_0	arm_right_0	leg_right_2	arm_right_2	leg_right_1	clav_right_0	leg_right_0		animRoot	1	0	spine_0	be_prop_0	be_prop_1	be_prop_2	be_prop_3	be_prop_4	finger_index_left_0	finger_index_right_0	toe_left_0	toe_right_0	True	False	False	be_prop_5	False	False	False	biped			10	spine_2									toe_left_0;toe_right_0	0.02			thumb_, finger_, cage_, sack_, necklace_, moustache_	
head_0	root	arm_left_0	leg_left_2	arm_left_2	leg_left_1	clav_left_0	leg_left_0		humanoid04b	neck_0	arm_right_0	leg_right_2	arm_right_2	leg_right_1	clav_right_0	leg_right_0		animRoot	1	0	spine_0	be_prop_0	be_prop_1			be_prop_4	finger_index_left_0	finger_index_right_0	toe_left_0	toe_right_0	True	False	False		False	False	False	biped			10	spine_2									toe_left_0;toe_right_0	0.02			thumb_, finger_, cingulum_, ear_	
head_0	root	upperarm_left	foot_left	hand_left	lowerleg_left	clav_left	upperleg_left		humanoid05	neck_0	upperarm_right	foot_right	hand_right	lowerleg_right	clav_right	upperleg_right		animRoot	1	0	spine_0	be_prop_0	be_prop_1	be_prop_2	be_prop_3	be_prop_4	finger_index_left_0	finger_index_right_0	toe_left_0	toe_right_0	True	False	False	be_prop_5	False	False	False	biped			45	spine_2									toe_left_0;toe_right_0	0.02			skirt_, loincloth_, hand_, hat_, ear_	
head_0	root	upperarm_left	foot_left	hand_left	lowerleg_left	clav_left	upperleg_left		humanoid06	neck_0	upperarm_right	foot_right	hand_right	lowerleg_right	clav_right	upperleg_right		animRoot	1	0	spine_0	be_prop_0	be_prop_1	be_prop_2	be_prop_3	be_prop_4			foot_left	foot_right	True	False	False	be_prop_5	False	False	False	winged_biped	wing_shoulder_left_0	wing_shoulder_right_0	45	spine_2									foot_left;foot_right	0.02		spine_2	hand_, loincloth_, wing_	
head_0	root	upperarm_left	foot_left	hand_left	lowerleg_left	clav_left	upperleg_left		humanoid06b	neck_0	upperarm_right	foot_right	hand_right	lowerleg_right	clav_right	upperleg_right		animRoot	1	0	spine_0	be_prop_0	be_prop_1	be_prop_2	be_prop_3	be_prop_4			foot_left	foot_right	True	False	False	be_prop_5	False	False	False	biped			45	spine_2									foot_left;foot_right	0.02			hand_, loincloth_	
