campaign_mounts_tables
8
model	animation_set	variant	scale	actor	ignore_rider_variant_scale	vfx_filter	banner_relative_to_mount
cam_hr1_warhorse	wh_main_cam_mnt_chs_dorghar	wh_chs_dorghar_campaign	1	wh_main_vo_culture_Horse	True	0	False
cam_bc3_manticore	wh_main_cam_mnt_chs_manticore	wh_chs_manticore	0.65	wh_main_vo_culture_Manticore	False	0	False
cam_hr1_warhorse	wh_main_cam_mnt_emp_barded_warhorse	wh_emp_warhorse_armoured_campaign	1	wh_main_vo_culture_Horse	True	0	False
cam_bc2_griffon	wh_main_cam_mnt_emp_deathclaw	wh_emp_deathclaw	0.5	wh_main_vo_culture_Griffin_DemiGryph_Hippogryph	False	0	False
cam_bc2_griffon	wh_main_cam_mnt_emp_imperial_griffon	wh_emp_imperial_griffon	0.5	wh_main_vo_culture_Griffin_DemiGryph_Hippogryph	False	0	False
cam_hr1_pegasus	wh_main_cam_mnt_emp_imperial_pegasus	wh_emp_pegasus_campaign	1	wh_main_vo_culture_Pegasus	False	0	False
cam_hr1_warhorse	wh_main_cam_mnt_emp_warhorse	wh_emp_warhorse_campaign	1	wh_main_vo_culture_Horse	True	0	False
cam_sp1_giant_spider	wh_main_cam_mnt_grn_giant_spider	wh_grn_giant_spider	0.7	wh_main_vo_culture_Spider_Large	False	0	False
cam_wf1_giant_wolf	wh_main_cam_mnt_grn_giant_wolf	wh_grn_giant_wolf	1	wh_main_vo_culture_Wolf	False	0	False
cam_wf1_giant_wolf	wh_main_cam_mnt_grn_giant_wolf_armoured	wh_grn_giant_wolf_armoured	1	wh_main_vo_culture_Wolf	False	0	False
cam_bi2_wyvern	wh_main_cam_mnt_grn_skullmuncha	wh_grn_skullmuncha	0.7	wh_main_vo_culture_Wyvern	False	0	False
cam_bo1_warboar	wh_main_cam_mnt_grn_warboar	wh_grn_warboar_big_uns	1	wh_dlc03_vo_culture_Boar	True	0	False
cam_bo1_warboar	wh_main_cam_mnt_grn_warboar_armoured	wh_grn_warboar_warboss	1	wh_dlc03_vo_culture_Boar	True	0	False
cam_bi2_wyvern	wh_main_cam_mnt_grn_wyvern	wh_grn_wyvern	0.7	wh_main_vo_culture_Wyvern	False	0	False
cam_hr1_warhorse	wh_main_cam_mnt_nor_warhorse	wh_nor_warhorse_campaign	1	wh_main_vo_culture_Horse	True	0	False
cam_hr1_warhorse	wh_main_cam_mnt_vmp_barded_nightmare	wh_vmp_barded_nightmare_campaign	1	wh_main_vo_culture_Horse	True	0	False
cam_hr1_warhorse	wh_main_cam_mnt_vmp_barded_skeletal_steed	wh_vmp_barded_skeletal_steed_campaign	1	wh_main_vo_culture_Skeletal_horse	True	0	False
cam_hr1_pegasus	wh_main_cam_mnt_vmp_hellsteed	wh_vmp_hellsteed_campaign	1	wh_main_vo_culture_Pegasus	False	0	False
cam_hr1_warhorse	wh_main_cam_mnt_vmp_nightmare	wh_vmp_nightmare_campaign	1	wh_main_vo_culture_Horse	True	0	False
cam_hr1_warhorse	wh_main_cam_mnt_vmp_skeletal_steed	wh_vmp_skeletal_steed_campaign	1	wh_main_vo_culture_Horse	True	0	False
cam_dr1_dragon	wh_main_cam_mnt_vmp_zombie_dragon	wh_vmp_dragon_zombie	0.55	wh_main_vo_culture_Dragon_Large	False	0	False
