projectiles_explosions_tables
18
key	detonator_type	detonation_type	detonation_radius	detonation_duration	detonation_speed	detonation_damage	projectile_name	explosion_particle_effect	distance_from_target	explosion_particle_effect_on_ground	explosion_audio	contact_phase_effect	ignition_amount	is_magical	detonation_damage_ap	shrapnel	fuse_distance_from_target	fuse_fixed_time	affects_allies
wh2_main_skv_plagueclaw	percussive	shockwave	5	0	11	35		wh2_main_machine_plagueclaw_catapult_impact	0		wh2_plagueclaw_catapult	wh2_main_unit_contact_plague_monk_censer_morale	0	True	70	wh_main_unit_explosion_medium	180	-1	True
wh2_main_skv_smoke_bomb	percussive	shockwave	4	0	8	10		wh2_main_noxious_cloud_impact	0	empty	wh_bomb	wh_main_unit_contact_poison	0	False	5	wh_main_unit_explosion_light	10	-1	True
wh2_main_skv_warlock_doomrocket	percussive	shockwave	7	0	11	70		wh_main_generic_spherical_explosion_large	0		wh_rocket		0	False	35	wh_main_unit_explosion_medium	200	-1	True
wh2_main_skv_warp_lightning	percussive	shockwave	2	0	12	20		wh2_main_machine_warp_lightning_cannon_explosion	0		wh_lord_of_the_storm		0	True	40	wh_main_unit_explosion_medium	70	-1	True
wh2_main_skv_warpfire	percussive	shockwave	3	0	12	35		wh2_main_weapon_warpfire_thrower_explosion	0				1	True	20	wh_main_unit_explosion_medium	40	-1	True
wh2_main_spell_dark_magic_doombolt	percussive	shockwave	10	1	11	0		wh2_main_dark_doombolt_impact	0		wh_main_spell_dark_magic_doombolt		1	True	250	wh_main_unit_explosion_light	450	-1	True
wh2_main_spell_dark_magic_soul_stealer_miscast	percussive	shockwave	2	1	20	0		wh2_main_dark_soul_stealer_entity_miscast	0			wh2_main_spell_dark_magic_soul_stealer_miscast	0	False	0		1	-1	True
wh2_main_spell_high_magic_soul_quench	percussive	shockwave	5	1	5	300		wh2_main_high_soul_quench_explosion	0		wh2_main_spell_high_magic_soul_quench		1	True	0	wh_main_unit_explosion_light	70	-1	True
wh2_main_spell_high_magic_soul_quench_upgraded	percussive	shockwave	8	1	5	400		wh2_main_high_soul_quench_explosion	0		wh2_main_spell_high_magic_soul_quench		1	True	0	wh_main_unit_explosion_light	90	-1	True
wh2_main_spell_plague_the_dreaded_thirteenth_spell	percussive	shockwave	20	1	12	60	dreaded_fireworks	wh2_main_plague_dreaded_thirteenth_spell	0				1	False	12	wh_main_unit_explosion_heavy	170	-1	False
wh2_main_spell_plague_the_dreaded_thirteenth_spell_shrapnel	percussive	shockwave	6	1	5	40		wh2_main_abilities_doomrocket_shrapnel_impact	-1		wh_rocket		1	True	0	wh_main_unit_explosion_light	170	0.5	True
wh2_main_spell_plague_vermintide	percussive	shockwave	8	1	14	0			0				1	False	0	wh_main_unit_explosion_heavy	170	-1	False
wh2_main_spell_ruin_warp_lightning	percussive	shockwave	6	0	12	0		wh2_main_ruin_warp_lightning_impact	0		wh_main_spell_ruin_warp_lightning		0	False	30	wh_main_unit_explosion_medium	400	-1	True
wh2_main_unit_abilities_drop_rocks	percussive	shockwave	5	0	11	36		wh2_main_weapon_lzd_drop_rocks_explosion	0		wh2_terradon_bomb		0	False	18	wh_main_unit_explosion_medium	450	-1	True
wh2_main_unit_abilities_wake_of_fire	percussive	shockwave	6	0	11	160		wh2_main_abilities_wake_of_fire_explosion	0		wh_bomb		1	False	0	wh_main_unit_explosion_medium	450	-1	True
wh2_main_unit_lzd_terradon_fireleech_bola_explosion	percussive	shockwave	4	0	11	27		wh_main_generic_spherical_explosion_small	0		wh_grenade		25	False	11	wh_main_unit_explosion_light	120	-1	True
wh2_main_vmp_terrorgheist_breath_explosion	percussive	shockwave	10	0	11	25			0		none	wh_main_unit_contact_overhead_morale	1	True	50	wh_main_unit_explosion_medium	100	-1	True
wh2_main_vmp_zombie_dragon_explosion	percussive	shockwave	10	0	11	25			0		none	wh2_main_unit_contact_noxious_breath	0	False	40	wh_main_unit_explosion_medium	50	-1	True
wh2_main_weapon_abilities_bow_of_the_seafarer	percussive	shockwave	4	1	10	0		wh2_main_abilities_bow_of_the_seafarer_explosion	0		wh_generic_small		0	True	26	wh_main_unit_explosion_light	150	-1	True
wh2_main_weapon_bound_reaver_bow	percussive	shockwave	6	0	13	0		wh_dlc05_abilities_hail_of_doom_explosion	0		wh_main_spell_fire_fireball		0	True	45	wh_main_unit_explosion_medium	70	-1	True
wh2_main_wef_forest_dragon_explosion	percussive	shockwave	10	0	11	40			0		none	wh2_main_unit_contact_noxious_breath	0	False	25	wh_main_unit_explosion_medium	50	-1	True
wh2_main_tower_def_fireball_explosion_1	percussive	shockwave	4	0	7	65		wh_main_generic_spherical_explosion_large	0		wh_main_spell_fire_fireball		1	True	35	wh_main_unit_explosion_light	100	-1	True
wh2_main_tower_def_fireball_explosion_2	percussive	shockwave	5	0	7	70		wh_main_generic_spherical_explosion_large	0		wh_main_spell_fire_fireball		1	True	50	wh_main_unit_explosion_light	150	-1	True
wh2_main_tower_hef_quench_explosion_1	percussive	shockwave	4	0	7	65		wh2_main_high_soul_quench_explosion	0		wh2_main_spell_high_magic_soul_quench		0	True	35	wh_main_unit_explosion_light	100	-1	True
wh2_main_tower_hef_quench_explosion_2	percussive	shockwave	5	0	7	70		wh2_main_high_soul_quench_explosion	0		wh2_main_spell_high_magic_soul_quench		0	True	50	wh_main_unit_explosion_light	150	-1	True
wh2_main_tower_lzd_shems_explosion_1	percussive	shockwave	4	0	7	65		wh_main_light_shems_burning_gaze_explosion	0		wh_generic_small		1	True	35	wh_main_unit_explosion_light	100	-1	True
wh2_main_tower_lzd_solar_explosion	percussive	shockwave	5	0	7	70		wh2_main_weapon_solar_engine_explosion	0				1	True	50	wh_main_unit_explosion_medium	150	-1	True
wh2_main_tower_skv_doomrocket	percussive	shockwave	5	0	7	70		wh2_main_abilities_doomrocket_shrapnel_impact	0		wh_rocket		1	True	50	wh_main_unit_explosion_light	150	-1	True
wh2_main_tower_skv_warp_lightning	percussive	shockwave	4	0	7	65		wh2_main_ruin_warp_lightning_impact	0		wh_main_spell_ruin_warp_lightning		0	True	35	wh_main_unit_explosion_medium	100	-1	True
