cai_personality_deal_evaluation_deal_component_values_tables
4
best_friends_value	bitter_enemies_value	deal_component	friendly_value	neutral_value	personality_component	total_war_balance_factor	last_stand_balance_factor	unfriendly_value	very_friendly_value	very_unfriendly_value	war_balance_factor	tension_balance_factor	peace_balance_factor	treachery_value	unknown15	unknown16	unknown17	unknown18	unknown19	unknown20	unknown21
-25	-300	DEFENSIVE_ALLIANCE	-29	-30	aggressive_straightforward_unfriendly	25	25	-49	-27	-60	25	20	20	1	1	1	1	1	1	1	1
-21	-300	MILITARY_ACCESS	-25	-26	aggressive_straightforward_unfriendly	25	25	-39	-23	-60	25	20	20	1	1	1	1	1	1	1	1
-35	-500	MILITARY_ALLIANCE	-43	-50	aggressive_straightforward_unfriendly	32	35	-65	-37	-200	23	23	23	1	1	1	1	1	1	1	1
-4	-40	NON_AGGRESSION_PACT	-5	-6	aggressive_straightforward_unfriendly	8	9	-8	-4	-14	5	5	5	0.25	1	1	1	1	1	1	1
-90	-145	OFFER_JOIN_CONFEDERATION	-110	-115	aggressive_straightforward_unfriendly	45	50	-145	-110	-145	40	35	35	0	1	1	1	1	1	1	1
-18	-300	DEFENSIVE_ALLIANCE	-29	-40	aggressive_unfriendly	25	25	-50	-22	-60	25	20	20	1	1	1	1	1	1	1	1
-14	-300	MILITARY_ACCESS	-23	-34	aggressive_unfriendly	25	25	-40	-18	-60	25	15	15	1	1	1	1	1	1	1	1
-28	-500	MILITARY_ALLIANCE	-42	-58	aggressive_unfriendly	32	35	-65	-33	-200	23	23	23	1	1	1	1	1	1	1	1
-4	-40	NON_AGGRESSION_PACT	-5	-6	aggressive_unfriendly	8	8	-10	-4	-14	8	8	8	0.25	1	1	1	1	1	1	1
-70	-145	OFFER_JOIN_CONFEDERATION	-110	-115	aggressive_unfriendly	45	50	-145	-110	-145	40	35	35	0	1	1	1	1	1	1	1
-5	-70	TRADE_AGREEMENT	-8	-13	aggressive_unfriendly	9	9	-25	-6	-55	9	10	10	1	1	1	1	1	1	1	1
-5	-40	PEACE	-9	-16	aggressive_unreliable	40	50	-25	-7	-35	17	10	5	2	1	1	1	1	1	1	1
-30	10	WAR	-12	-5	aggressive_unreliable	-30	-35	0	-18	5	10	20	65	-0.5	1	1	1	1	1	1	1
-105	-90	OFFER_JOIN_CONFEDERATION	-105	-105	aggressive_unreliable_joins_strong	90	95	-105	-105	-95	60	35	35	0	1	1	1	1	1	1	1
-5	-55	PEACE	-9	-16	aggressive_unreliable_joins_strong_lategame	40	50	-25	-7	-35	17	10	5	2	1	1	1	1	1	1	1
-30	10	WAR	-12	-5	aggressive_unreliable_joins_strong_lategame	-5	-15	0	-18	5	10	20	65	-0.5	1	1	1	1	1	1	1
-60	-85	OFFER_JOIN_CONFEDERATION	-100	-100	aggressive_unreliable_joins_strong_subordinate	90	95	-100	-85	-90	60	35	35	0	1	1	1	1	1	1	1
-75	-55	OFFER_VASSALAGE	-65	-65	aggressive_unreliable_joins_strong_subordinate	45	50	-65	-70	-60	40	35	35	0	1	1	1	1	1	1	1
-18	-300	DEFENSIVE_ALLIANCE	-29	-40	aggressive_unreliable_joins_strong_unfriendly	25	25	-50	-22	-60	25	20	20	1	1	1	1	1	1	1	1
-14	-300	MILITARY_ACCESS	-23	-34	aggressive_unreliable_joins_strong_unfriendly	25	25	-40	-18	-60	25	15	15	1	1	1	1	1	1	1	1
-28	-500	MILITARY_ALLIANCE	-42	-58	aggressive_unreliable_joins_strong_unfriendly	32	35	-65	-33	-200	23	23	23	1	1	1	1	1	1	1	1
-4	-40	NON_AGGRESSION_PACT	-5	-6	aggressive_unreliable_joins_strong_unfriendly	8	8	-10	-4	-14	8	8	8	0.25	1	1	1	1	1	1	1
-115	-100	OFFER_JOIN_CONFEDERATION	-115	-115	aggressive_unreliable_joins_strong_unfriendly	90	95	-115	-115	-105	60	35	35	0	1	1	1	1	1	1	1
-5	-70	TRADE_AGREEMENT	-8	-13	aggressive_unreliable_joins_strong_unfriendly	9	9	-25	-6	-55	9	10	10	1	1	1	1	1	1	1	1
-5	-55	PEACE	-9	-16	aggressive_unreliable_joins_strong_unfriendly_lategame	40	50	-25	-7	-35	17	10	5	2	1	1	1	1	1	1	1
-30	12	WAR	-12	-3	aggressive_unreliable_joins_strong_unfriendly_lategame	-5	-15	2	-18	7	10	20	65	-0.5	1	1	1	1	1	1	1
-5	-55	PEACE	-9	-16	aggressive_unreliable_lategame	40	50	-25	-7	-35	17	10	5	2	1	1	1	1	1	1	1
-30	10	WAR	-12	-5	aggressive_unreliable_lategame	-5	-15	0	-18	5	10	20	65	-0.5	1	1	1	1	1	1	1
-55	35	BREAK_DEFENSIVE_ALLIANCE	-5	10	aggressive_unreliable_repulsive	25	35	20	-30	25	15	15	10	-0.5	1	1	1	1	1	1	1
-55	35	BREAK_MILITARY_ALLIANCE	-5	10	aggressive_unreliable_repulsive	25	35	20	-30	25	15	15	10	-0.5	1	1	1	1	1	1	1
-40	25	BREAK_NON_AGGRESSION_PACT	-2	5	aggressive_unreliable_repulsive	9	12	15	-15	20	7	5	4	-0.5	1	1	1	1	1	1	1
-55	25	CANCEL_CLIENT_STATE	-30	-15	aggressive_unreliable_repulsive	25	30	5	-35	10	15	15	15	-0.5	1	1	1	1	1	1	1
-50	15	CANCEL_MILITARY_ACCESS	-25	0	aggressive_unreliable_repulsive	8	10	5	-30	10	6	5	4	-0.5	1	1	1	1	1	1	1
-35	30	CANCEL_TRADE_AGREEMENT	-10	5	aggressive_unreliable_repulsive	8	10	12	-20	25	6	5	4	-0.5	1	1	1	1	1	1	1
-200	-200	CANCEL_VASSALAGE	-200	-200	aggressive_unreliable_repulsive	25	30	-200	-200	-200	15	15	15	-0.5	1	1	1	1	1	1	1
-55	35	OFFER_BREAK_DEFENSIVE_ALLIANCE	-5	10	aggressive_unreliable_repulsive	20	20	20	-30	25	15	15	15	2	1	1	1	1	1	1	1
-55	35	OFFER_BREAK_MILITARY_ALLIANCE	-5	10	aggressive_unreliable_repulsive	20	20	20	-30	25	15	15	15	2	1	1	1	1	1	1	1
-40	25	OFFER_BREAK_NON_AGGRESSION_PACT	-2	5	aggressive_unreliable_repulsive	5	5	15	-15	20	5	5	5	1	1	1	1	1	1	1	1
-55	25	OFFER_CANCEL_CLIENT_STATE	-30	-15	aggressive_unreliable_repulsive	20	20	5	-35	10	15	15	15	1	1	1	1	1	1	1	1
-50	15	OFFER_CANCEL_MILITARY_ACCESS	-25	-20	aggressive_unreliable_repulsive	5	5	-5	-30	10	5	5	5	1	1	1	1	1	1	1	1
-35	30	OFFER_CANCEL_TRADE_AGREEMENT	-10	5	aggressive_unreliable_repulsive	5	5	18	-20	25	5	5	5	1	1	1	1	1	1	1	1
-40	25	OFFER_CANCEL_VASSALAGE	-20	-10	aggressive_unreliable_repulsive	20	20	0	-30	15	15	15	15	0	1	1	1	1	1	1	1
-5	-55	PEACE	-9	-16	aggressive_unreliable_schemer_lategame	40	50	-25	-7	-35	17	10	5	2	1	1	1	1	1	1	1
-12	16	REQUEST_BREAK_DEFENSIVE_ALLIANCE	-3	0	aggressive_unreliable_schemer_lategame	40	50	4	-6	8	30	20	10	0	1	1	1	1	1	1	1
-12	20	REQUEST_BREAK_MILITARY_ALLIANCE	-3	0	aggressive_unreliable_schemer_lategame	40	50	5	-6	10	30	20	10	0	1	1	1	1	1	1	1
-12	10	REQUEST_BREAK_NON_AGGRESSION_PACT	-3	0	aggressive_unreliable_schemer_lategame	65	75	2	-6	5	40	20	10	0	1	1	1	1	1	1	1
-12	16	REQUEST_CANCEL_CLIENT_STATE	-3	0	aggressive_unreliable_schemer_lategame	40	50	4	-6	8	30	20	10	0	1	1	1	1	1	1	1
-12	14	REQUEST_CANCEL_MILITARY_ACCESS	-3	0	aggressive_unreliable_schemer_lategame	40	50	3	-6	7	30	20	10	0	1	1	1	1	1	1	1
-12	14	REQUEST_CANCEL_TRADE_AGREEMENT	-3	0	aggressive_unreliable_schemer_lategame	8	10	3	-6	7	6	5	5	0	1	1	1	1	1	1	1
-12	20	REQUEST_CANCEL_VASSALAGE	-3	0	aggressive_unreliable_schemer_lategame	40	50	5	-6	10	30	20	10	0	1	1	1	1	1	1	1
-30	10	WAR	-12	-5	aggressive_unreliable_schemer_lategame	-5	-15	0	-18	5	10	20	65	-0.5	1	1	1	1	1	1	1
-5	-55	PEACE	-9	-16	aggressive_unreliable_schemer_unfriendly_lategame	40	50	-25	-7	-35	17	10	5	2	1	1	1	1	1	1	1
-12	16	REQUEST_BREAK_DEFENSIVE_ALLIANCE	-3	0	aggressive_unreliable_schemer_unfriendly_lategame	40	50	4	-6	8	30	20	10	0	1	1	1	1	1	1	1
-12	20	REQUEST_BREAK_MILITARY_ALLIANCE	-3	0	aggressive_unreliable_schemer_unfriendly_lategame	40	50	5	-6	10	30	20	10	0	1	1	1	1	1	1	1
-12	10	REQUEST_BREAK_NON_AGGRESSION_PACT	-3	0	aggressive_unreliable_schemer_unfriendly_lategame	65	75	2	-6	5	40	20	10	0	1	1	1	1	1	1	1
-12	16	REQUEST_CANCEL_CLIENT_STATE	-3	0	aggressive_unreliable_schemer_unfriendly_lategame	40	50	4	-6	8	30	20	10	0	1	1	1	1	1	1	1
-12	14	REQUEST_CANCEL_MILITARY_ACCESS	-3	0	aggressive_unreliable_schemer_unfriendly_lategame	40	50	3	-6	7	30	20	10	0	1	1	1	1	1	1	1
-12	14	REQUEST_CANCEL_TRADE_AGREEMENT	-3	0	aggressive_unreliable_schemer_unfriendly_lategame	8	10	3	-6	7	6	5	5	0	1	1	1	1	1	1	1
-12	20	REQUEST_CANCEL_VASSALAGE	-3	0	aggressive_unreliable_schemer_unfriendly_lategame	40	50	5	-6	10	30	20	10	0	1	1	1	1	1	1	1
-30	12	WAR	-12	-3	aggressive_unreliable_schemer_unfriendly_lategame	-5	-15	2	-18	7	10	20	65	-0.5	1	1	1	1	1	1	1
-18	-300	DEFENSIVE_ALLIANCE	-29	-40	aggressive_unreliable_unfriendly	25	25	-50	-22	-60	25	20	20	1	1	1	1	1	1	1	1
-14	-300	MILITARY_ACCESS	-23	-34	aggressive_unreliable_unfriendly	25	25	-40	-18	-60	25	15	15	1	1	1	1	1	1	1	1
-28	-500	MILITARY_ALLIANCE	-42	-58	aggressive_unreliable_unfriendly	32	35	-65	-33	-200	23	23	23	1	1	1	1	1	1	1	1
-4	-40	NON_AGGRESSION_PACT	-5	-6	aggressive_unreliable_unfriendly	8	8	-10	-4	-14	8	8	8	0.25	1	1	1	1	1	1	1
-70	-145	OFFER_JOIN_CONFEDERATION	-110	-115	aggressive_unreliable_unfriendly	45	50	-145	-110	-145	40	35	35	0	1	1	1	1	1	1	1
-5	-70	TRADE_AGREEMENT	-8	-13	aggressive_unreliable_unfriendly	9	9	-25	-6	-55	9	10	10	1	1	1	1	1	1	1	1
-5	-55	PEACE	-9	-16	aggressive_unreliable_unfriendly_lategame	40	50	-25	-7	-35	17	10	5	2	1	1	1	1	1	1	1
-30	12	WAR	-12	-3	aggressive_unreliable_unfriendly_lategame	-5	-15	2	-18	7	10	20	65	-0.5	1	1	1	1	1	1	1
-75	25	BREAK_DEFENSIVE_ALLIANCE	-15	7	default	25	35	15	-45	20	15	15	10	-1	1	1	1	1	1	1	1
-75	25	BREAK_MILITARY_ALLIANCE	-15	7	default	25	35	15	-45	20	15	15	10	-1	1	1	1	1	1	1	1
-50	19	BREAK_NON_AGGRESSION_PACT	-10	0	default	9	12	5	-25	15	7	5	4	-1	1	1	1	1	1	1	1
-75	20	CANCEL_CLIENT_STATE	-35	-20	default	25	30	0	-45	2	15	15	15	-1	1	1	1	1	1	1	1
-50	15	CANCEL_MILITARY_ACCESS	-25	-8	default	8	10	0	-30	10	6	5	4	-1	1	1	1	1	1	1	1
-40	25	CANCEL_TRADE_AGREEMENT	-20	-5	default	8	10	9	-30	20	6	5	4	-1	1	1	1	1	1	1	1
-200	-200	CANCEL_VASSALAGE	-200	-200	default	25	30	-200	-200	-200	15	15	15	-1	1	1	1	1	1	1	1
-11	-300	DEFENSIVE_ALLIANCE	-23	-35	default	25	25	-45	-15	-60	25	20	20	1	1	1	1	1	1	1	1
-10	-300	MILITARY_ACCESS	-19	-30	default	25	25	-40	-14	-60	25	15	15	1	1	1	1	1	1	1	1
-22	-500	MILITARY_ALLIANCE	-36	-58	default	32	35	-65	-27	-200	23	23	23	1	1	1	1	1	1	1	1
-2	-40	NON_AGGRESSION_PACT	-3	-4	default	12	14	-7	-2	-14	8	8	8	0.25	1	1	1	1	1	1	1
-75	25	OFFER_BREAK_DEFENSIVE_ALLIANCE	-15	7	default	20	20	15	-45	20	15	15	15	2	1	1	1	1	1	1	1
-100	25	OFFER_BREAK_MILITARY_ALLIANCE	-15	7	default	20	20	15	-60	20	15	15	15	2	1	1	1	1	1	1	1
-50	19	OFFER_BREAK_NON_AGGRESSION_PACT	-10	0	default	5	5	10	-25	15	5	5	5	1	1	1	1	1	1	1	1
-75	20	OFFER_CANCEL_CLIENT_STATE	-35	-20	default	20	20	0	-45	2	15	15	15	1	1	1	1	1	1	1	1
-50	15	OFFER_CANCEL_MILITARY_ACCESS	-25	-20	default	5	5	-5	-30	10	5	5	5	1	1	1	1	1	1	1	1
-40	25	OFFER_CANCEL_TRADE_AGREEMENT	-20	-5	default	5	5	12	-30	20	5	5	5	1	1	1	1	1	1	1	1
-100	15	OFFER_CANCEL_VASSALAGE	-40	-25	default	20	20	-20	-60	0	15	15	15	0	1	1	1	1	1	1	1
-80	-65	OFFER_CLIENT_STATE	-70	-65	default	20	30	-65	-75	-65	10	5	0	3	1	1	1	1	1	1	1
-45	-2	OFFER_DECLARE_WAR	-25	-19	default	-30	-35	-14	-30	-9	-14	15	65	-0.5	1	1	1	1	1	1	1
-3	-40	OFFER_DIPLOMATIC_MARRIAGE	-5	-10	default	4	5	-15	-5	-25	3	3	2	1	1	1	1	1	1	1	1
3	-50	OFFER_GIFT	1	-7	default	1	1	-10	2	-20	1	1	1	1	1	1	1	1	1	1	1
-60	-145	OFFER_JOIN_CONFEDERATION	-110	-115	default	45	50	-145	-100	-145	40	35	35	0	1	1	1	1	1	1	1
-45	-2	OFFER_JOIN_WAR	-25	-19	default	-30	-35	-14	-30	-9	-14	15	65	-0.5	1	1	1	1	1	1	1
-75	-60	OFFER_VASSALAGE	-70	-70	default	45	50	-70	-75	-65	40	35	35	0	1	1	1	1	1	1	1
-5	-28	PEACE	-9	-13	default	50	50	-19	-7	-23	33	20	15	2	1	1	1	1	1	1	1
-12	4	REQUEST_BREAK_DEFENSIVE_ALLIANCE	-3	0	default	40	50	1	-6	2	30	20	10	0	1	1	1	1	1	1	1
-12	4	REQUEST_BREAK_MILITARY_ALLIANCE	-3	0	default	40	50	1	-6	2	30	20	10	0	1	1	1	1	1	1	1
-12	4	REQUEST_BREAK_NON_AGGRESSION_PACT	-3	0	default	65	75	1	-6	2	40	20	10	0	1	1	1	1	1	1	1
-12	4	REQUEST_CANCEL_CLIENT_STATE	-3	0	default	40	50	1	-6	2	30	20	10	0	1	1	1	1	1	1	1
-12	4	REQUEST_CANCEL_MILITARY_ACCESS	-3	0	default	40	50	1	-6	2	30	20	10	0	1	1	1	1	1	1	1
-12	4	REQUEST_CANCEL_TRADE_AGREEMENT	-3	0	default	8	10	1	-6	2	6	5	5	0	1	1	1	1	1	1	1
-12	8	REQUEST_CANCEL_VASSALAGE	-3	0	default	40	50	2	-6	4	30	20	10	0	1	1	1	1	1	1	1
-10	-10	REQUEST_CLIENT_STATE	-10	-10	default	40	50	-10	-10	-10	30	20	10	1	1	1	1	1	1	1	1
-3	-1	REQUEST_DECLARE_WAR	-3	-2	default	10	10	-2	-3	-1	8	6	5	0	1	1	1	1	1	1	1
-1	-40	REQUEST_DIPLOMATIC_MARRIAGE	-2	-6	default	5	5	-15	-2	-25	5	5	5	1	1	1	1	1	1	1	1
2	5	REQUEST_GIFT	1	1	default	1	1	3	1	4	1	1	1	0	1	1	1	1	1	1	1
10	10	REQUEST_JOIN_CONFEDERATION	10	10	default	30	30	10	10	10	30	30	30	0	1	1	1	1	1	1	1
-5	-2	REQUEST_JOIN_WAR	-5	-5	default	8	10	-4	-5	-2	7	6	5	0	1	1	1	1	1	1	1
-10	-10	REQUEST_VASSALAGE	-10	-10	default	40	50	-10	-10	-10	30	20	10	1	1	1	1	1	1	1	1
0	0	STRATEGIC_BALANCE_CHANGE	0	0	default	70	90	0	0	0	55	40	35	0	1	1	1	1	1	1	1
-3	-70	TRADE_AGREEMENT	-6	-11	default	9	9	-25	-4	-55	9	10	10	1	1	1	1	1	1	1	1
-40	3	WAR	-20	-14	default	-30	-35	-9	-25	-5	0	15	65	-0.5	1	1	1	1	1	1	1
-10	-135	OFFER_JOIN_CONFEDERATION	-80	-105	default_subordinate	20	25	-135	-45	-135	20	20	20	0	1	1	1	1	1	1	1
-75	-55	OFFER_VASSALAGE	-65	-65	default_subordinate	45	50	-65	-70	-60	40	35	35	0	1	1	1	1	1	1	1
-70	25	CANCEL_TRADE_AGREEMENT	-30	-16	default_trader	8	10	-2	-50	15	6	5	4	-1	1	1	1	1	1	1	1
-70	25	OFFER_CANCEL_TRADE_AGREEMENT	-30	-16	default_trader	5	5	-2	-50	15	5	5	5	1	1	1	1	1	1	1	1
0	-70	TRADE_AGREEMENT	-2	-5	default_trader	9	9	-15	0	-55	9	10	10	1	1	1	1	1	1	1	1
-18	-300	DEFENSIVE_ALLIANCE	-29	-40	default_trader_unfriendly	25	25	-50	-22	-60	25	20	20	1	1	1	1	1	1	1	1
-14	-300	MILITARY_ACCESS	-23	-34	default_trader_unfriendly	25	25	-40	-18	-60	25	15	15	1	1	1	1	1	1	1	1
-28	-500	MILITARY_ALLIANCE	-42	-58	default_trader_unfriendly	32	35	-65	-33	-200	23	23	23	1	1	1	1	1	1	1	1
-4	-40	NON_AGGRESSION_PACT	-5	-6	default_trader_unfriendly	8	8	-10	-4	-14	8	8	8	0.25	1	1	1	1	1	1	1
-70	-145	OFFER_JOIN_CONFEDERATION	-110	-115	default_trader_unfriendly	45	50	-145	-110	-145	40	35	35	0	1	1	1	1	1	1	1
-2	-70	TRADE_AGREEMENT	-4	-7	default_trader_unfriendly	9	9	-17	-2	-55	9	10	10	1	1	1	1	1	1	1	1
-18	-300	DEFENSIVE_ALLIANCE	-29	-40	default_unfriendly	25	25	-50	-22	-60	25	20	20	1	1	1	1	1	1	1	1
-14	-300	MILITARY_ACCESS	-23	-34	default_unfriendly	25	25	-40	-18	-60	25	15	15	1	1	1	1	1	1	1	1
-28	-500	MILITARY_ALLIANCE	-42	-58	default_unfriendly	32	35	-65	-33	-200	23	23	23	1	1	1	1	1	1	1	1
-4	-40	NON_AGGRESSION_PACT	-5	-6	default_unfriendly	8	8	-10	-4	-14	8	8	8	0.25	1	1	1	1	1	1	1
-70	-145	OFFER_JOIN_CONFEDERATION	-110	-115	default_unfriendly	45	50	-145	-110	-145	40	35	35	0	1	1	1	1	1	1	1
-5	-70	TRADE_AGREEMENT	-8	-13	default_unfriendly	9	9	-25	-6	-55	9	10	10	1	1	1	1	1	1	1	1
-50	-12	OFFER_DECLARE_WAR	-35	-30	defensive	-35	-40	-25	-40	-19	-25	0	45	-0.5	1	1	1	1	1	1	1
-50	-12	OFFER_JOIN_WAR	-35	-30	defensive	-35	-40	-25	-40	-19	-25	0	45	-0.5	1	1	1	1	1	1	1
-5	-28	PEACE	-9	-13	defensive	50	50	-19	-7	-23	33	20	15	2	1	1	1	1	1	1	1
0	0	STRATEGIC_BALANCE_CHANGE	0	0	defensive	80	100	0	0	0	70	55	45	0	1	1	1	1	1	1	1
-45	-7	WAR	-30	-25	defensive	-40	-45	-20	-35	-14	-20	-10	65	-0.5	1	1	1	1	1	1	1
-100	1	OFFER_DECLARE_WAR	-100	-100	defensive_diplomat	0	0	-10	-100	-5	0	0	0	-0.5	1	1	1	1	1	1	1
-100	1	OFFER_JOIN_WAR	-100	-100	defensive_diplomat	0	0	-10	-100	-5	0	0	0	-0.5	1	1	1	1	1	1	1
-100	1	WAR	-100	-100	defensive_diplomat	0	0	-10	-100	-5	0	0	0	-0.5	1	1	1	1	1	1	1
1	-100	MILITARY_ACCESS	-5	-10	defensive_diplomat_unfriendly	0	0	-100	1	-100	0	0	0	1	1	1	1	1	1	1	1
1	-100	TRADE_AGREEMENT	1	-5	defensive_diplomat_unfriendly	0	0	-10	1	-100	0	0	0	1	1	1	1	1	1	1	1
-5	-40	PEACE	-9	-16	defensive_passive_nopeace	40	50	-25	-7	-35	17	10	5	2	1	1	1	1	1	1	1
-10	-135	OFFER_JOIN_CONFEDERATION	-80	-105	defensive_reliable_subordinate	20	25	-135	-45	-135	20	20	20	0	1	1	1	1	1	1	1
-75	-55	OFFER_VASSALAGE	-65	-65	defensive_reliable_subordinate	45	50	-65	-70	-60	40	35	35	0	1	1	1	1	1	1	1
-70	25	CANCEL_TRADE_AGREEMENT	-30	-16	defensive_reliable_trader	8	10	-2	-50	15	6	5	4	-1	1	1	1	1	1	1	1
-70	25	OFFER_CANCEL_TRADE_AGREEMENT	-30	-16	defensive_reliable_trader	5	5	-2	-50	15	5	5	5	1	1	1	1	1	1	1	1
0	-70	TRADE_AGREEMENT	-2	-5	defensive_reliable_trader	9	9	-15	0	-55	9	10	10	1	1	1	1	1	1	1	1
-18	-300	DEFENSIVE_ALLIANCE	-29	-40	defensive_reliable_trader_unfriendly	25	25	-50	-22	-60	25	20	20	1	1	1	1	1	1	1	1
-14	-300	MILITARY_ACCESS	-23	-34	defensive_reliable_trader_unfriendly	25	25	-40	-18	-60	25	15	15	1	1	1	1	1	1	1	1
-28	-500	MILITARY_ALLIANCE	-42	-58	defensive_reliable_trader_unfriendly	32	35	-65	-33	-200	23	23	23	1	1	1	1	1	1	1	1
-4	-40	NON_AGGRESSION_PACT	-5	-6	defensive_reliable_trader_unfriendly	8	8	-10	-4	-14	8	8	8	0.25	1	1	1	1	1	1	1
-70	-145	OFFER_JOIN_CONFEDERATION	-110	-115	defensive_reliable_trader_unfriendly	45	50	-145	-110	-145	40	35	35	0	1	1	1	1	1	1	1
