cdir_military_generator_template_priorities_tables
0
config_key	priority	template_key
WH_mp_Skaven_land	1	WH_Skaven_land
WH_mp_Skaven_land	1	WH_Skaven_land_2
WH_mp_Skaven_land	1	WH_Skaven_land_3
WH_mp_Skaven_land	1	WH_Skaven_land_rare
WH_mp_Skaven_siege_attack	1	WH_mp_Skaven_siege_attack
WH_mp_Skaven_siege_defence	1	WH_mp_Skaven_siege_defence
WH_mp_TEB_land	1	WH_TEB_land
WH_mp_TEB_siege_attack	1	WH_mp_TEB_siege_attack
WH_mp_TEB_siege_defence	1	WH_mp_TEB_siege_defence
WH_mp_Vampire_Counts_land	1	WH_Vampire_Counts_land
WH_mp_Vampire_Counts_land	1	WH_Vampire_Counts_land_2
WH_mp_Vampire_Counts_siege_attack	1	WH_mp_Vampire_Counts_siege_attack
WH_mp_Vampire_Counts_siege_defence	1	WH_mp_Vampire_Counts_siege_defence
WH_mp_Wood_Elves_land	1	WH_Wood_Elves_land
WH_mp_Wood_Elves_siege_attack	1	WH_mp_Wood_Elves_siege_attack
WH_mp_Wood_Elves_siege_defence	1	WH_mp_Wood_Elves_siege_defence
default	1	default_land
default	1	default_naval
