battle_entities_tables
32
key	type	walk_speed	run_speed	acceleration	deceleration	charge_speed	crawl_speed	charge_distance_commence_run	charge_distance_adopt_charge_pose	charge_distance_pick_target	shape	radius	mass	height	fire_arc_close	turn_speed	hit_points	allow_turn_to_move_anim	allow_static_turn_anim	min_turning_speed	fly_speed	flying_charge_speed	size	strafe_speed	gradient_strategy	audio_entity_type	combat_reaction_radius	entity_effects	hit_reactions_ignore_chance	knock_interrupts_ignore_chance	soft_collision_offset_z	can_climb_ladder_and_stair_pipes	projectile_intersection_radius_ratio	projectile_penetration_speed_change	projectile_penetration_resistance	aura_vfx	porthole_camera	min_tracking_ratio	max_tracking_ratio	vfx_filter_id	can_cast_projectile	porthole_composite_scene	has_blood	can_dismember	combat_camera_shake_type	dismember_head_alive_hp_ratio	dismember_arms_hp_ratio	jump_attack_chance
wh_main_dwf_inf_giant_slayers	man	1.5	4	3	4	4.8	35	30	30	0.6	circle	1	300	1.5	60	165	8	True	True	0	0	0	small	1.3	ignore	wh_dwarf_default	0	infantry_light_effects	55	55	0	True	1	0.9	2			0.5	1.45	0	False		True	True	wh_main_unit_combat	-1	-1	30
wh_main_dwf_inf_engineers	man	1.4	3.5	2.5	2.8	3.7	30	25	25	0.6	circle	1	180	1.4	100	120	8	True	True	0	0	0	small	1.3	ignore	wh_dwarf_default	0	infantry_light_effects	10	30	0	True	1	0.9	2			0.5	1.45	0	False		True	True	wh_main_unit_combat	-1	-1	30
wh_emp_huntsmen_fast	man	1.4	4.1	3.2	3.9	4.5	30	30	25	0.6	circle	1	100	1.8	80	185	8	True	True	0	0	0	small	1	ignore	wh_human_male	0	infantry_light_effects	0	0	0	True	1	0.9	2			0.5	1.45	0	False		True	True	wh_main_unit_combat	-1	-1	30
wh_emp_imperial_guard	man	1.4	3.2	2	3	3.5	30	25	25	0.6	circle	1	200	2	60	115	8	True	True	0	0	0	small	1	ignore	wh_human_male	0	infantry_light_effects	40	65	0	True	1	0.9	2			0.5	1.45	0	False		True	True	wh_main_unit_combat	-1	-1	30
wh_emp_witch_hunters	man	1.4	4	3.1	3.8	4.6	35	30	30	0.7	circle	1	200	2	80	180	8	True	True	0	0	0	small	1	ignore	wh_human_male	2	infantry_light_effects	60	60	0	True	1	0.9	2			0.5	1.45	1	False		True	True	wh_main_unit_combat	-1	-1	30
wh_emp_sigmarite_warriors	man	1.4	3.4	2.4	3.2	4	30	35	30	0.6	circle	1	150	2	60	140	8	True	True	0	0	0	small	1	ignore	wh_human_male	0	infantry_light_effects	25	50	0	True	1	0.9	2			0.5	1.45	0	False		True	True	wh_main_unit_combat	-1	-1	30
wh_emp_knights_panther_horse	horse	1.6	7.4	6.2	6.1	11.1	35	35	30	1.4	ellipse	0.5	900	2	360	60	8	True	True	1	0	0	medium	1	rotation_x	wh_horse_normal	0	cavalry_effects	10	0	0	False	1	0.85	3			0.5	1.45	0	False		True	False	wh_main_unit_combat	-1	-1	30
wh_emp_nuln_ironsides	man	1.4	3.3	2	3	4.3	30	25	25	0.6	circle	1	150	2	80	120	8	True	True	0	0	0	small	1	ignore	wh_human_male	0	infantry_light_effects	10	25	0	True	1	0.9	2			0.5	1.45	0	False		True	True	wh_main_unit_combat	-1	-1	30
wh_main_grn_inf_savage_orc_morboyz	man	1.5	4.2	3.5	4	5	35	35	30	0.89	circle	1	250	1.9	60	120	8	True	True	0	0	0	small	1	ignore	wh_orc	4	infantry_light_effects	25	40	0	True	1	0.9	2			0.5	1.45	0	False		True	True	wh_main_unit_combat	-1	-1	30
wh_main_grn_inf_black_orcs_bosses	man	1.4	3.4	2.4	3.1	4.1	30	30	25	0.89	circle	1	350	2	60	120	8	True	True	0	0	0	small	1	ignore	wh_orc	0	infantry_light_effects	75	90	0	True	1	0.9	2			0.5	1.45	0	False		True	True	wh_main_unit_combat	-1	-1	30
wh_main_grn_inf_forest_goblin	man	1.5	4.1	3.6	4	4.6	35	30	30	0.5	circle	1	80	1.2	80	180	8	True	True	0	0	0	small	1	ignore	wh_goblin	0	infantry_light_effects	0	0	0	True	1	0.95	1			0.5	1.45	0	False		True	True	wh_main_unit_combat	-1	-1	30
vmp_zombie_dragon	giant	3	7	6	10	9.5	35	35	35	5	capsule	0.45	2100	4.5	120	100	10642	True	True	0	7.8	10.6	very_large	1.5	rotation	wh_dragon_large_default	6	ethereal_effects	55	50	0	False	1	0.75	5			0	1.45	0	False		False	False	wh_main_unit_combat	-1	-1	30
vmp_blood_dragons	man	1.5	6.2	5.2	6	7.4	40	30	25	0.7	circle	1	200	2.2	60	200	8	True	True	0	0	0	small	1	ignore	wh_human_male	2	infantry_light_effects	55	70	0	True	1	0.9	2			0.5	1.45	2	False		True	True	wh_main_unit_combat	-1	-1	30
wef_shadowdancer	man	1.5	5.5	4.7	5.4	6.4	35	35	35	0.7	circle	1	200	1.8	60	140	8	True	True	0	0	0	small	1	ignore	none	2	infantry_light_effects	55	60	0	True	1	0.95	2			0.5	1.45	0	False		True	True	wh_main_unit_combat	-1	-1	30
wef_eternal_sword	man	1.5	4	3.9	4.6	4.9	35	30	30	0.7	circle	1	200	1.8	60	130	8	True	True	0	0	0	small	1	ignore	none	0	infantry_light_effects	25	60	0	True	1	0.95	2			0.5	1.45	0	False		True	True	wh_main_unit_combat	-1	-1	30
wef_wildwood_warden	man	1.5	4.5	4.2	5.3	5.6	35	30	30	0.7	circle	1	200	1.8	60	130	8	True	True	0	0	0	small	1	ignore	none	2	infantry_light_effects	30	45	0	True	1	0.95	2			0.5	1.45	0	False		True	True	wh_main_unit_combat	-1	-1	30
