ui_unit_bullet_point_unit_overrides_tables
0
bullet_point	unit_key
armoured	wh2_main_def_mon_black_dragon
dragon_breath_noxious	wh2_main_def_mon_black_dragon
scaly_skin	wh2_main_def_mon_black_dragon
dragon_breath_hydra	wh2_main_def_mon_war_hydra
regeneration	wh2_main_def_mon_war_hydra
scaly_skin	wh2_main_def_mon_war_hydra
terror	wh2_main_def_mon_war_hydra
armour_piercing_ranged	wh2_main_hef_art_eagle_claw_bolt_thrower
multishot	wh2_main_hef_art_eagle_claw_bolt_thrower
armoured_and_shielded	wh2_main_hef_cav_dragon_princes
dragon_armour	wh2_main_hef_cav_dragon_princes
martial_mastery	wh2_main_hef_cav_dragon_princes
vanguard_deployment	wh2_main_hef_cav_ellyrian_reavers_0
very_fast	wh2_main_hef_cav_ellyrian_reavers_0
fire_whilst_moving	wh2_main_hef_cav_ellyrian_reavers_1
vanguard_deployment	wh2_main_hef_cav_ellyrian_reavers_1
very_fast	wh2_main_hef_cav_ellyrian_reavers_1
anti_infantry	wh2_main_hef_cav_ithilmar_chariot
armoured	wh2_main_hef_cav_ithilmar_chariot
anti_infantry	wh2_main_hef_cav_silver_helms_0
armoured	wh2_main_hef_cav_silver_helms_0
anti_infantry	wh2_main_hef_cav_silver_helms_1
armoured_and_shielded	wh2_main_hef_cav_silver_helms_1
anti_infantry	wh2_main_hef_cav_tiranoc_chariot
fire_whilst_moving	wh2_main_hef_cav_tiranoc_chariot
reaver_bows	wh2_main_hef_cav_tiranoc_chariot
armour_piercing	wh2_main_hef_cha_alastair_0
armoured	wh2_main_hef_cha_alastair_0
lion_cloak	wh2_main_hef_cha_alastair_0
melee_expert	wh2_main_hef_cha_alastair_0
melee_expert	wh2_main_hef_cha_alastair_3
very_fast	wh2_main_hef_cha_alastair_3
armour_piercing	wh2_main_hef_cha_alastair_4
dragon_breath_sun	wh2_main_hef_cha_alastair_4
terror	wh2_main_hef_cha_alastair_4
armour_piercing	wh2_main_hef_cha_alastair_5
armoured	wh2_main_hef_cha_alastair_5
dragon_breath_star	wh2_main_hef_cha_alastair_5
terror	wh2_main_hef_cha_alastair_5
anti_infantry	wh2_main_hef_cha_loremaster_of_hoeth_0
armour_piercing	wh2_main_hef_cha_loremaster_of_hoeth_0
armoured	wh2_main_hef_cha_loremaster_of_hoeth_0
spellcaster	wh2_main_hef_cha_loremaster_of_hoeth_0
spellcaster	wh2_main_hef_cha_mage_high_0
spellcaster	wh2_main_hef_cha_mage_high_1
very_fast	wh2_main_hef_cha_mage_high_1
anti_infantry	wh2_main_hef_cha_mage_high_4
spellcaster	wh2_main_hef_cha_mage_high_4
spellcaster	wh2_main_hef_cha_mage_life_0
spellcaster	wh2_main_hef_cha_mage_life_1
very_fast	wh2_main_hef_cha_mage_life_1
anti_infantry	wh2_main_hef_cha_mage_life_4
spellcaster	wh2_main_hef_cha_mage_life_4
spellcaster	wh2_main_hef_cha_mage_light_0
spellcaster	wh2_main_hef_cha_mage_light_1
very_fast	wh2_main_hef_cha_mage_light_1
anti_infantry	wh2_main_hef_cha_mage_light_4
spellcaster	wh2_main_hef_cha_mage_light_4
anti_large	wh2_main_hef_cha_noble_0
armour_piercing	wh2_main_hef_cha_noble_0
armoured	wh2_main_hef_cha_noble_0
charge_reflector_vs_large	wh2_main_hef_cha_noble_0
anti_large	wh2_main_hef_cha_noble_2
armour_piercing	wh2_main_hef_cha_noble_2
armoured	wh2_main_hef_cha_noble_2
very_fast	wh2_main_hef_cha_noble_3
anti_infantry	wh2_main_hef_cha_noble_4
armour_piercing	wh2_main_hef_cha_noble_4
armoured	wh2_main_hef_cha_noble_4
armoured_and_shielded	wh2_main_hef_cha_prince_0
melee_expert	wh2_main_hef_cha_prince_0
armoured_and_shielded	wh2_main_hef_cha_prince_2
melee_expert	wh2_main_hef_cha_prince_2
melee_expert	wh2_main_hef_cha_prince_3
very_fast	wh2_main_hef_cha_prince_3
armour_piercing	wh2_main_hef_cha_prince_4
armoured	wh2_main_hef_cha_prince_4
dragon_breath_sun	wh2_main_hef_cha_prince_4
terror	wh2_main_hef_cha_prince_4
armour_piercing	wh2_main_hef_cha_prince_5
armoured	wh2_main_hef_cha_prince_5
dragon_breath_star	wh2_main_hef_cha_prince_5
terror	wh2_main_hef_cha_prince_5
anti_infantry	wh2_main_hef_cha_princess_0
melee_expert	wh2_main_hef_cha_princess_0
melee_expert	wh2_main_hef_cha_princess_1
very_fast	wh2_main_hef_cha_princess_1
melee_expert	wh2_main_hef_cha_princess_3
very_fast	wh2_main_hef_cha_princess_3
armour_piercing_melee	wh2_main_hef_cha_princess_4
dragon_breath_moon	wh2_main_hef_cha_princess_4
terror	wh2_main_hef_cha_princess_4
armour_piercing_melee	wh2_main_hef_cha_princess_5
armoured	wh2_main_hef_cha_princess_5
dragon_breath_star	wh2_main_hef_cha_princess_5
terror	wh2_main_hef_cha_princess_5
spellcaster	wh2_main_hef_cha_teclis_0
armoured	wh2_main_hef_cha_teclis_1
spellcaster	wh2_main_hef_cha_teclis_1
armoured	wh2_main_hef_cha_tyrion_0
duellist	wh2_main_hef_cha_tyrion_0
melee_expert	wh2_main_hef_cha_tyrion_0
armoured	wh2_main_hef_cha_tyrion_1
duellist	wh2_main_hef_cha_tyrion_1
melee_expert	wh2_main_hef_cha_tyrion_1
very_fast	wh2_main_hef_cha_tyrion_1
good_range	wh2_main_hef_inf_archers_0
good_range	wh2_main_hef_inf_archers_1
anti_large	wh2_main_hef_inf_gate_guard
charge_reflector_vs_large	wh2_main_hef_inf_gate_guard
anti_large	wh2_main_hef_inf_lothern_sea_guard_0
charge_reflector_vs_large	wh2_main_hef_inf_lothern_sea_guard_0
anti_large	wh2_main_hef_inf_lothern_sea_guard_1
charge_reflector_vs_large	wh2_main_hef_inf_lothern_sea_guard_1
shielded	wh2_main_hef_inf_lothern_sea_guard_1
anti_large	wh2_main_hef_inf_phoenix_guard
armour_piercing	wh2_main_hef_inf_phoenix_guard
charge_reflector	wh2_main_hef_inf_phoenix_guard
anti_large	wh2_main_hef_inf_spearmen_0
charge_reflector_vs_large	wh2_main_hef_inf_spearmen_0
shielded	wh2_main_hef_inf_spearmen_0
anti_infantry	wh2_main_hef_inf_swordmasters_of_hoeth_0
armour_piercing	wh2_main_hef_inf_swordmasters_of_hoeth_0
armoured	wh2_main_hef_inf_swordmasters_of_hoeth_0
deflect_shots	wh2_main_hef_inf_swordmasters_of_hoeth_0
armour_piercing	wh2_main_hef_inf_white_lions_of_chrace_0
armoured	wh2_main_hef_inf_white_lions_of_chrace_0
forest_strider	wh2_main_hef_inf_white_lions_of_chrace_0
lion_cloak	wh2_main_hef_inf_white_lions_of_chrace_0
very_fast	wh2_main_hef_mon_great_eagle_summoned
very_fast	wh2_main_hef_mon_great_eagle
armour_piercing	wh2_main_hef_mon_moon_dragon
dragon_breath_moon	wh2_main_hef_mon_moon_dragon
scaly_skin	wh2_main_hef_mon_moon_dragon
terror	wh2_main_hef_mon_moon_dragon
armour_piercing	wh2_main_hef_mon_phoenix_flamespyre
attuned_to_magic	wh2_main_hef_mon_phoenix_flamespyre
death_from_above	wh2_main_hef_mon_phoenix_flamespyre
rebirth	wh2_main_hef_mon_phoenix_flamespyre
armour_piercing	wh2_main_hef_mon_phoenix_frostheart
armoured	wh2_main_hef_mon_phoenix_frostheart
attuned_to_magic	wh2_main_hef_mon_phoenix_frostheart
magical_aura	wh2_main_hef_mon_phoenix_frostheart
armour_piercing	wh2_main_hef_mon_star_dragon
armoured	wh2_main_hef_mon_star_dragon
dragon_breath_star	wh2_main_hef_mon_star_dragon
scaly_skin	wh2_main_hef_mon_star_dragon
armour_piercing	wh2_main_hef_mon_sun_dragon
dragon_breath_sun	wh2_main_hef_mon_sun_dragon
scaly_skin	wh2_main_hef_mon_sun_dragon
terror	wh2_main_hef_mon_sun_dragon
anti_large	wh2_main_lzd_cav_cold_one_spearmen_1
armour_piercing	wh2_main_lzd_cav_cold_one_spearmen_1
armoured_and_shielded	wh2_main_lzd_cav_cold_one_spearmen_1
predatory_senses	wh2_main_lzd_cav_cold_one_spearmen_1
anti_large	wh2_main_lzd_cav_cold_one_spearriders_blessed_0
armour_piercing	wh2_main_lzd_cav_cold_one_spearriders_blessed_0
armoured_and_shielded	wh2_main_lzd_cav_cold_one_spearriders_blessed_0
predatory_senses	wh2_main_lzd_cav_cold_one_spearriders_blessed_0
armour_piercing	wh2_main_lzd_cav_cold_ones_1
armoured_and_shielded	wh2_main_lzd_cav_cold_ones_1
predatory_senses	wh2_main_lzd_cav_cold_ones_1
armour_piercing	wh2_main_lzd_cav_cold_ones_feral_0_summoned
armoured	wh2_main_lzd_cav_cold_ones_feral_0_summoned
rampage	wh2_main_lzd_cav_cold_ones_feral_0_summoned
armour_piercing	wh2_main_lzd_cav_cold_ones_feral_0
armoured	wh2_main_lzd_cav_cold_ones_feral_0
rampage	wh2_main_lzd_cav_cold_ones_feral_0
armour_piercing	wh2_main_lzd_cav_horned_ones_0
armoured_and_shielded	wh2_main_lzd_cav_horned_ones_0
predatory_senses	wh2_main_lzd_cav_horned_ones_0
armour_piercing	wh2_main_lzd_cav_horned_ones_blessed_0
armoured_and_shielded	wh2_main_lzd_cav_horned_ones_blessed_0
predatory_senses	wh2_main_lzd_cav_horned_ones_blessed_0
death_from_above	wh2_main_lzd_cav_terradon_riders_0
fire_whilst_moving	wh2_main_lzd_cav_terradon_riders_0
poison	wh2_main_lzd_cav_terradon_riders_0
vanguard_deployment	wh2_main_lzd_cav_terradon_riders_0
anti_infantry	wh2_main_lzd_cav_terradon_riders_1
death_from_above	wh2_main_lzd_cav_terradon_riders_1
fire_whilst_moving	wh2_main_lzd_cav_terradon_riders_1
vanguard_deployment	wh2_main_lzd_cav_terradon_riders_1
anti_infantry	wh2_main_lzd_cav_terradon_riders_blessed_1
death_from_above	wh2_main_lzd_cav_terradon_riders_blessed_1
fire_whilst_moving	wh2_main_lzd_cav_terradon_riders_blessed_1
vanguard_deployment	wh2_main_lzd_cav_terradon_riders_blessed_1
anti_large	wh2_main_lzd_cha_kroq_gar_0
armour_piercing	wh2_main_lzd_cha_kroq_gar_0
armoured	wh2_main_lzd_cha_kroq_gar_0
predatory_senses	wh2_main_lzd_cha_kroq_gar_0
anti_large	wh2_main_lzd_cha_kroq_gar_1
armour_piercing	wh2_main_lzd_cha_kroq_gar_1
armoured	wh2_main_lzd_cha_kroq_gar_1
predatory_senses	wh2_main_lzd_cha_kroq_gar_1
terror	wh2_main_lzd_cha_kroq_gar_1
anti_large	wh2_main_lzd_cha_kroq_gar_2
armour_piercing	wh2_main_lzd_cha_kroq_gar_2
armoured	wh2_main_lzd_cha_kroq_gar_2
predatory_senses	wh2_main_lzd_cha_kroq_gar_2
anti_large	wh2_main_lzd_cha_kroq_gar_3
armour_piercing	wh2_main_lzd_cha_kroq_gar_3
armoured	wh2_main_lzd_cha_kroq_gar_3
predatory_senses	wh2_main_lzd_cha_kroq_gar_3
spellcaster	wh2_main_lzd_cha_lord_mazdamundi_0
armour_piercing_melee	wh2_main_lzd_cha_lord_mazdamundi_1
armoured	wh2_main_lzd_cha_lord_mazdamundi_1
spellcaster	wh2_main_lzd_cha_lord_mazdamundi_1
armour_piercing	wh2_main_lzd_cha_saurus_old_blood_0
armoured_and_shielded	wh2_main_lzd_cha_saurus_old_blood_0
predatory_senses	wh2_main_lzd_cha_saurus_old_blood_0
armour_piercing	wh2_main_lzd_cha_saurus_old_blood_1
armoured_and_shielded	wh2_main_lzd_cha_saurus_old_blood_1
predatory_senses	wh2_main_lzd_cha_saurus_old_blood_1
armour_piercing	wh2_main_lzd_cha_saurus_old_blood_2
armoured	wh2_main_lzd_cha_saurus_old_blood_2
predatory_senses	wh2_main_lzd_cha_saurus_old_blood_2
terror	wh2_main_lzd_cha_saurus_old_blood_2
anti_large	wh2_main_lzd_cha_saurus_scar_veteran_0
armoured_and_shielded	wh2_main_lzd_cha_saurus_scar_veteran_0
charge_reflector_vs_large	wh2_main_lzd_cha_saurus_scar_veteran_0
predatory_senses	wh2_main_lzd_cha_saurus_scar_veteran_0
anti_large	wh2_main_lzd_cha_saurus_scar_veteran_1
armour_piercing	wh2_main_lzd_cha_saurus_scar_veteran_1
armoured_and_shielded	wh2_main_lzd_cha_saurus_scar_veteran_1
predatory_senses	wh2_main_lzd_cha_saurus_scar_veteran_1
armour_piercing	wh2_main_lzd_cha_saurus_scar_veteran_2
armoured	wh2_main_lzd_cha_saurus_scar_veteran_2
predatory_senses	wh2_main_lzd_cha_saurus_scar_veteran_2
terror	wh2_main_lzd_cha_saurus_scar_veteran_2
aquatic	wh2_main_lzd_cha_skink_chief_0
fire_whilst_moving	wh2_main_lzd_cha_skink_chief_0
poison	wh2_main_lzd_cha_skink_chief_0
death_from_above	wh2_main_lzd_cha_skink_chief_1
fire_whilst_moving	wh2_main_lzd_cha_skink_chief_1
poison	wh2_main_lzd_cha_skink_chief_1
anti_infantry	wh2_main_lzd_cha_skink_chief_2
armour_piercing	wh2_main_lzd_cha_skink_chief_2
armoured	wh2_main_lzd_cha_skink_chief_2
poison	wh2_main_lzd_cha_skink_chief_2
terror	wh2_main_lzd_cha_skink_chief_2
anti_infantry	wh2_main_lzd_cha_skink_chief_3
armour_piercing	wh2_main_lzd_cha_skink_chief_3
armoured	wh2_main_lzd_cha_skink_chief_3
poison	wh2_main_lzd_cha_skink_chief_3
terror	wh2_main_lzd_cha_skink_chief_3
aquatic	wh2_main_lzd_cha_skink_priest_0_summoned
ethereal	wh2_main_lzd_cha_skink_priest_0_summoned
spellcaster	wh2_main_lzd_cha_skink_priest_0_summoned
aquatic	wh2_main_lzd_cha_skink_priest_beasts_0
spellcaster	wh2_main_lzd_cha_skink_priest_beasts_0
death_from_above	wh2_main_lzd_cha_skink_priest_beasts_1
spellcaster	wh2_main_lzd_cha_skink_priest_beasts_1
armour_piercing	wh2_main_lzd_cha_skink_priest_beasts_2
armoured	wh2_main_lzd_cha_skink_priest_beasts_2
spellcaster	wh2_main_lzd_cha_skink_priest_beasts_2
terror	wh2_main_lzd_cha_skink_priest_beasts_2
armour_piercing	wh2_main_lzd_cha_skink_priest_beasts_3
armoured	wh2_main_lzd_cha_skink_priest_beasts_3
spellcaster	wh2_main_lzd_cha_skink_priest_beasts_3
terror	wh2_main_lzd_cha_skink_priest_beasts_3
aquatic	wh2_main_lzd_cha_skink_priest_heavens_0
spellcaster	wh2_main_lzd_cha_skink_priest_heavens_0
death_from_above	wh2_main_lzd_cha_skink_priest_heavens_1
spellcaster	wh2_main_lzd_cha_skink_priest_heavens_1
armour_piercing	wh2_main_lzd_cha_skink_priest_heavens_2
armoured	wh2_main_lzd_cha_skink_priest_heavens_2
spellcaster	wh2_main_lzd_cha_skink_priest_heavens_2
terror	wh2_main_lzd_cha_skink_priest_heavens_2
armour_piercing	wh2_main_lzd_cha_skink_priest_heavens_3
armoured	wh2_main_lzd_cha_skink_priest_heavens_3
spellcaster	wh2_main_lzd_cha_skink_priest_heavens_3
terror	wh2_main_lzd_cha_skink_priest_heavens_3
spellcaster	wh2_main_lzd_cha_slann_mage_priest_campaign_0
spellcaster	wh2_main_lzd_cha_slann_mage_priest_heavens_0
spellcaster	wh2_main_lzd_cha_slann_mage_priest_high_0
spellcaster	wh2_main_lzd_cha_slann_mage_priest_light_0
aquatic	wh2_main_lzd_inf_chameleon_skinks_0
chameleon	wh2_main_lzd_inf_chameleon_skinks_0
fire_whilst_moving	wh2_main_lzd_inf_chameleon_skinks_0
vanguard_deployment	wh2_main_lzd_inf_chameleon_skinks_0
aquatic	wh2_main_lzd_inf_chameleon_skinks_blessed_0
chameleon	wh2_main_lzd_inf_chameleon_skinks_blessed_0
fire_whilst_moving	wh2_main_lzd_inf_chameleon_skinks_blessed_0
vanguard_deployment	wh2_main_lzd_inf_chameleon_skinks_blessed_0
anti_large	wh2_main_lzd_inf_saurus_spearmen_0
charge_reflector_vs_large	wh2_main_lzd_inf_saurus_spearmen_0
predatory_senses	wh2_main_lzd_inf_saurus_spearmen_0
primal_instincts	wh2_main_lzd_inf_saurus_spearmen_0
anti_large	wh2_main_lzd_inf_saurus_spearmen_1
charge_reflector_vs_large	wh2_main_lzd_inf_saurus_spearmen_1
predatory_senses	wh2_main_lzd_inf_saurus_spearmen_1
shielded	wh2_main_lzd_inf_saurus_spearmen_1
anti_large	wh2_main_lzd_inf_saurus_spearmen_blessed_1
charge_reflector_vs_large	wh2_main_lzd_inf_saurus_spearmen_blessed_1
forest_strider	wh2_main_lzd_inf_saurus_spearmen_blessed_1
shielded	wh2_main_lzd_inf_saurus_spearmen_blessed_1
predatory_senses	wh2_main_lzd_inf_saurus_warriors_0
primal_instincts	wh2_main_lzd_inf_saurus_warriors_0
predatory_senses	wh2_main_lzd_inf_saurus_warriors_1
primal_instincts	wh2_main_lzd_inf_saurus_warriors_1
shielded	wh2_main_lzd_inf_saurus_warriors_1
perfect_vigour	wh2_main_lzd_inf_saurus_warriors_blessed_1
predatory_senses	wh2_main_lzd_inf_saurus_warriors_blessed_1
primal_instincts	wh2_main_lzd_inf_saurus_warriors_blessed_1
shielded	wh2_main_lzd_inf_saurus_warriors_blessed_1
aquatic	wh2_main_lzd_inf_skink_cohort_0
shielded	wh2_main_lzd_inf_skink_cohort_0
aquatic	wh2_main_lzd_inf_skink_cohort_1
poison	wh2_main_lzd_inf_skink_cohort_1
shielded	wh2_main_lzd_inf_skink_cohort_1
aquatic	wh2_main_lzd_inf_skink_skirmishers_0
fire_whilst_moving	wh2_main_lzd_inf_skink_skirmishers_0
poison	wh2_main_lzd_inf_skink_skirmishers_0
vanguard_deployment	wh2_main_lzd_inf_skink_skirmishers_0
aquatic	wh2_main_lzd_inf_skink_skirmishers_blessed_0
fire_whilst_moving	wh2_main_lzd_inf_skink_skirmishers_blessed_0
poison	wh2_main_lzd_inf_skink_skirmishers_blessed_0
vanguard_deployment	wh2_main_lzd_inf_skink_skirmishers_blessed_0
armour_piercing	wh2_main_lzd_inf_temple_guards_blessed
armoured_and_shielded	wh2_main_lzd_inf_temple_guards_blessed
charge_reflector_vs_large	wh2_main_lzd_inf_temple_guards_blessed
predatory_senses	wh2_main_lzd_inf_temple_guards_blessed
armour_piercing	wh2_main_lzd_inf_temple_guards
armoured_and_shielded	wh2_main_lzd_inf_temple_guards
charge_reflector_vs_large	wh2_main_lzd_inf_temple_guards
predatory_senses	wh2_main_lzd_inf_temple_guards
armour_piercing_melee	wh2_main_lzd_mon_ancient_stegadon
armoured	wh2_main_lzd_mon_ancient_stegadon
fire_whilst_moving	wh2_main_lzd_mon_ancient_stegadon
terror	wh2_main_lzd_mon_ancient_stegadon
armour_piercing_melee	wh2_main_lzd_mon_bastiladon_0
armoured	wh2_main_lzd_mon_bastiladon_0
rampage	wh2_main_lzd_mon_bastiladon_0
terror	wh2_main_lzd_mon_bastiladon_0
armour_piercing_melee	wh2_main_lzd_mon_bastiladon_1
armoured	wh2_main_lzd_mon_bastiladon_1
revivification_crystal	wh2_main_lzd_mon_bastiladon_1
terror	wh2_main_lzd_mon_bastiladon_1
armour_piercing_melee	wh2_main_lzd_mon_bastiladon_2
armoured	wh2_main_lzd_mon_bastiladon_2
beam_of_chotec	wh2_main_lzd_mon_bastiladon_2
terror	wh2_main_lzd_mon_bastiladon_2
armour_piercing_melee	wh2_main_lzd_mon_bastiladon_blessed_2
armoured	wh2_main_lzd_mon_bastiladon_blessed_2
beam_of_chotec	wh2_main_lzd_mon_bastiladon_blessed_2
perfect_vigour	wh2_main_lzd_mon_bastiladon_blessed_2
anti_large	wh2_main_lzd_mon_carnosaur_0
armour_piercing	wh2_main_lzd_mon_carnosaur_0
armoured	wh2_main_lzd_mon_carnosaur_0
rampage	wh2_main_lzd_mon_carnosaur_0
armour_piercing	wh2_main_lzd_mon_carnosaur_blessed_0
armoured	wh2_main_lzd_mon_carnosaur_blessed_0
rampage	wh2_main_lzd_mon_carnosaur_blessed_0
very_fast	wh2_main_lzd_mon_carnosaur_blessed_0
armour_piercing	wh2_main_lzd_mon_kroxigors_blessed
armoured	wh2_main_lzd_mon_kroxigors_blessed
predatory_senses	wh2_main_lzd_mon_kroxigors_blessed
primal_instincts	wh2_main_lzd_mon_kroxigors_blessed
armour_piercing	wh2_main_lzd_mon_kroxigors
armoured	wh2_main_lzd_mon_kroxigors
predatory_senses	wh2_main_lzd_mon_kroxigors
