campaign_difficulty_handicap_effects_tables
1
campaign_difficulty_handicap	human	effect	effect_scope	effect_value	optional_campaign_key
2	False	wh_main_effect_building_construction_cost_mod	faction_to_region_own	-60	
3	False	wh_main_effect_building_construction_cost_mod	faction_to_region_own	-75	
-1	False	wh_main_effect_force_all_campaign_recruitment_cost_all	faction_to_force_own	-5	
0	False	wh_main_effect_force_all_campaign_recruitment_cost_all	faction_to_force_own	-10	
1	False	wh_main_effect_force_all_campaign_recruitment_cost_all	faction_to_force_own	-15	
2	False	wh_main_effect_force_all_campaign_recruitment_cost_all	faction_to_force_own	-20	
3	False	wh_main_effect_force_all_campaign_recruitment_cost_all	faction_to_force_own	-25	
-1	True	wh_main_effect_force_all_campaign_upkeep	faction_to_force_own	0	
-2	True	wh_main_effect_force_all_campaign_upkeep	faction_to_force_own	0	
-3	True	wh_main_effect_force_all_campaign_upkeep	faction_to_force_own	0	
0	True	wh_main_effect_force_all_campaign_upkeep	faction_to_force_own	0	
1	False	wh_main_effect_force_all_campaign_upkeep	faction_to_force_own	-15	
1	True	wh_main_effect_force_all_campaign_upkeep	faction_to_force_own	0	
2	False	wh_main_effect_force_all_campaign_upkeep	faction_to_force_own	-20	
3	False	wh_main_effect_force_all_campaign_upkeep	faction_to_force_own	-25	
-1	False	wh_main_effect_growth_all	faction_to_province_own	15	
0	False	wh_main_effect_growth_all	faction_to_province_own	30	
1	False	wh_main_effect_growth_all	faction_to_province_own	45	
2	False	wh_main_effect_growth_all	faction_to_province_own	60	
3	False	wh_main_effect_growth_all	faction_to_province_own	75	
-1	False	wh_main_effect_hordebuilding_growth_core	faction_to_force_own	2	
0	False	wh_main_effect_hordebuilding_growth_core	faction_to_force_own	4	
1	False	wh_main_effect_hordebuilding_growth_core	faction_to_force_own	6	
2	False	wh_main_effect_hordebuilding_growth_core	faction_to_force_own	8	
3	False	wh_main_effect_hordebuilding_growth_core	faction_to_force_own	10	
0	False	wh_main_effect_force_all_campaign_upkeep	faction_to_force_own	-10	
-1	False	wh_main_effect_force_all_campaign_upkeep	faction_to_force_own	-5	
-1	False	wh_main_effect_economy_tax_mod	faction_to_faction_own	5	
0	False	wh_main_effect_economy_tax_mod	faction_to_faction_own	10	
1	False	wh_main_effect_economy_tax_mod	faction_to_faction_own	15	
2	False	wh_main_effect_economy_tax_mod	faction_to_faction_own	20	
3	False	wh_main_effect_economy_tax_mod	faction_to_faction_own	25	
0	False	wh_main_effect_force_all_campaign_experience_base_all	faction_to_force_own	1	
-1	False	wh_main_effect_force_army_campaign_military_morale_add_enemy_territory	faction_to_force_own	1	
0	False	wh_main_effect_force_army_campaign_military_morale_add_enemy_territory	faction_to_force_own	1	
1	False	wh_main_effect_force_army_campaign_military_morale_add_enemy_territory	faction_to_force_own	1	
2	False	wh_main_effect_force_army_campaign_military_morale_add_enemy_territory	faction_to_force_own	1	
3	False	wh_main_effect_force_army_campaign_military_morale_add_enemy_territory	faction_to_force_own	1	
-1	False	wh_dlc03_effect_bloodlust_modifier	faction_to_force_own	1	
0	False	wh_dlc03_effect_bloodlust_modifier	faction_to_force_own	1	
1	False	wh_dlc03_effect_bloodlust_modifier	faction_to_force_own	1	
2	False	wh_dlc03_effect_bloodlust_modifier	faction_to_force_own	1	
3	False	wh_dlc03_effect_bloodlust_modifier	faction_to_force_own	1	
0	False	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	10	
1	False	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	20	
2	False	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	30	
3	False	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	40	
-1	False	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	0	
-1	False	wh_main_effect_force_army_campaign_siege_defend_attrition	faction_to_force_own	-25	
0	False	wh_main_effect_force_army_campaign_siege_defend_attrition	faction_to_force_own	-25	
1	False	wh_main_effect_force_army_campaign_siege_defend_attrition	faction_to_force_own	-25	
2	False	wh_main_effect_force_army_campaign_siege_defend_attrition	faction_to_force_own	-25	
3	False	wh_main_effect_force_army_campaign_siege_defend_attrition	faction_to_force_own	-25	
1	True	wh_main_effect_force_army_campaign_siege_defend_attrition	faction_to_force_own	-25	
0	True	wh_main_effect_force_army_campaign_siege_defend_attrition	faction_to_force_own	-25	
-1	True	wh_main_effect_force_army_campaign_siege_defend_attrition	faction_to_force_own	-25	
-2	True	wh_main_effect_force_army_campaign_siege_defend_attrition	faction_to_force_own	-25	
-3	True	wh_main_effect_force_army_campaign_siege_defend_attrition	faction_to_force_own	-25	
-1	False	wh_main_effect_force_all_campaign_raid_income	faction_to_force_own_unseen	5	
0	False	wh_main_effect_force_all_campaign_raid_income	faction_to_force_own_unseen	10	
1	False	wh_main_effect_force_all_campaign_raid_income	faction_to_force_own_unseen	15	
2	False	wh_main_effect_force_all_campaign_raid_income	faction_to_force_own_unseen	20	
3	False	wh_main_effect_force_all_campaign_raid_income	faction_to_force_own_unseen	25	
