ui_unit_stat_to_classes_tables
4
stat_key	unit_class	list_order	filter	unknown4
stat_melee_attack	inf_spr	5	none	100
stat_melee_attack	shp_art	1	none	28
stat_melee_attack	shp_mel	1	none	28
stat_melee_attack	shp_mis	1	none	28
stat_melee_attack	shp_trn	1	none	28
stat_melee_attack	spcl	5	none	100
stat_melee_defence	art_fix	6	none	100
stat_melee_defence	art_fld	6	none	100
stat_melee_defence	art_siege	6	none	100
stat_melee_defence	cav_mel	6	none	100
stat_melee_defence	cav_mis	6	none	100
stat_melee_defence	cav_shk	6	none	100
stat_melee_defence	chariot	6	none	100
stat_melee_defence	com	6	none	100
stat_melee_defence	inf_mel	6	none	100
stat_melee_defence	inf_mis	6	none	100
stat_melee_defence	inf_spr	6	none	100
stat_melee_defence	shp_art	2	none	32
stat_melee_defence	shp_mel	2	none	32
stat_melee_defence	shp_mis	2	none	32
stat_melee_defence	shp_trn	2	none	32
stat_melee_defence	spcl	6	none	100
stat_missile_damage_over_time	art_fix	11	none	400
stat_missile_damage_over_time	art_fld	11	none	400
stat_missile_damage_over_time	art_siege	11	none	350
stat_missile_damage_over_time	cav_mel	11	none	350
stat_missile_damage_over_time	cav_mis	11	none	350
stat_missile_damage_over_time	cav_shk	11	none	350
stat_missile_damage_over_time	chariot	11	none	350
stat_missile_damage_over_time	com	11	none	350
stat_missile_damage_over_time	inf_mel	11	none	350
stat_missile_damage_over_time	inf_mis	11	none	400
stat_missile_damage_over_time	inf_spr	11	none	350
stat_missile_damage_over_time	shp_art	12	none	350
stat_missile_damage_over_time	shp_mel	12	none	350
stat_missile_damage_over_time	shp_mis	12	none	350
stat_missile_damage_over_time	shp_trn	12	none	350
stat_missile_damage_over_time	spcl	11	none	350
stat_morale	art_fix	3	none	100
stat_morale	art_fld	3	none	100
stat_morale	art_siege	3	none	100
stat_morale	cav_mel	3	none	100
stat_morale	cav_mis	3	none	100
stat_morale	cav_shk	3	none	100
stat_morale	chariot	3	none	100
stat_morale	com	3	none	100
stat_morale	inf_mel	3	none	100
stat_morale	inf_mis	3	none	100
stat_morale	inf_spr	3	none	100
stat_morale	shp_art	9	none	50
stat_morale	shp_mel	9	none	50
stat_morale	shp_mis	9	none	50
stat_morale	shp_trn	9	none	50
stat_morale	spcl	3	none	100
stat_ship_health	shp_art	8	none	2500
stat_ship_health	shp_mel	8	none	2500
stat_ship_health	shp_mis	8	none	2500
stat_ship_health	shp_trn	8	none	2500
stat_weapon_damage	art_fix	7	none	100
stat_weapon_damage	art_fld	7	none	100
stat_weapon_damage	art_siege	7	none	100
stat_weapon_damage	cav_mel	7	none	100
stat_weapon_damage	cav_mis	7	none	100
stat_weapon_damage	cav_shk	7	none	100
stat_weapon_damage	chariot	7	none	100
stat_weapon_damage	com	7	none	100
stat_weapon_damage	inf_mel	7	none	100
stat_weapon_damage	inf_mis	7	none	100
stat_weapon_damage	inf_spr	7	none	100
stat_weapon_damage	shp_art	3	none	31
stat_weapon_damage	shp_mel	3	none	31
stat_weapon_damage	shp_mis	3	none	31
stat_weapon_damage	shp_trn	3	none	31
stat_weapon_damage	spcl	7	none	100
