intrigue_actions_incidents_junctions_tables
0
culture	incident	unknown2	unknown2	unknown3	unknown4
wh_dlc03_bst_beastmen	wh2_main_incident_intrigue_any_negative_1b	-456472064	78	False	5
wh_main_grn_greenskins	wh2_main_incident_intrigue_any_negative_1c	161446144	79	False	5
wh2_main_rogue	wh2_main_incident_intrigue_any_negative_2b	1983694080	79	False	6
wh2_main_lzd_lizardmen	wh2_main_incident_intrigue_any_negative_1d	-1327666176	79	False	5
wh2_main_hef_high_elves	wh2_main_incident_intrigue_any_positive_2a	-897539327	79	False	6
wh_dlc03_bst_beastmen	wh2_main_incident_intrigue_any_negative_2a	-598689792	79	False	6
wh2_main_skv_skaven	wh2_main_incident_intrigue_any_positive_1d	-277527807	79	False	5
wh2_main_hef_high_elves	wh2_main_incident_intrigue_any_positive_3b	-1667619583	80	False	3
wh_main_grn_greenskins	wh2_main_incident_intrigue_any_positive_1b	-61093119	80	False	5
wh2_main_rogue	wh2_main_incident_intrigue_any_negative_1a	183526400	81	False	5
wh_main_brt_bretonnia	wh2_main_incident_intrigue_any_negative_1a	-1357360896	81	False	5
wh2_main_skv_skaven	wh2_main_incident_intrigue_any_positive_2b	973411073	82	False	6
wh2_main_hef_high_elves	wh2_main_incident_intrigue_any_positive_1a	-1989106687	82	False	5
wh_main_grn_greenskins	wh2_main_incident_intrigue_any_negative_3a	-1563155200	82	False	3
wh2_main_hef_high_elves	wh2_main_incident_intrigue_any_positive_1c	-1774749183	84	False	5
wh_main_grn_greenskins	wh2_main_incident_intrigue_any_positive_1d	-1860526079	85	False	5
wh2_main_lzd_lizardmen	wh2_main_incident_intrigue_lzd_positive_1c	-1188639999	85	False	10
wh_main_grn_greenskins	wh2_main_incident_intrigue_any_positive_3b	-494970111	85	False	3
wh2_main_rogue	wh2_main_incident_intrigue_any_positive_1c	-1588660735	8	False	5
wh2_main_skv_skaven	wh2_main_incident_intrigue_skv_negative_3a	1405775104	86	False	10
wh2_main_hef_high_elves	wh2_main_incident_intrigue_hef_negative_3b	276474880	87	False	8
wh2_main_def_dark_elves	wh2_main_incident_intrigue_any_positive_2b	-1624153599	87	False	6
wh_main_brt_bretonnia	wh2_main_incident_intrigue_any_negative_2a	-919948544	87	False	6
wh_main_grn_greenskins	wh2_main_incident_intrigue_any_positive_2a	1845457153	88	False	6
wh2_main_hef_high_elves	wh2_main_incident_intrigue_hef_negative_3a	-1698450688	88	False	8
wh_dlc03_bst_beastmen	wh2_main_incident_intrigue_any_positive_1c	-187801599	88	False	5
wh_main_grn_greenskins	wh2_main_incident_intrigue_any_negative_2a	-328346112	8	False	6
wh2_main_hef_high_elves	wh2_main_incident_intrigue_hef_negative_2a	-1875059200	89	False	12
wh2_main_skv_skaven	wh2_main_incident_intrigue_skv_negative_1c	629302016	90	False	10
wh_main_chs_chaos	wh2_main_incident_intrigue_any_positive_1c	828774401	90	False	5
wh2_main_hef_high_elves	wh2_main_incident_intrigue_any_positive_3a	-1413314559	90	False	3
wh_main_brt_bretonnia	wh2_main_incident_intrigue_any_negative_3a	-129356032	90	False	3
wh2_main_lzd_lizardmen	wh2_main_incident_intrigue_lzd_positive_2a	986674177	91	False	15
wh_main_emp_empire	wh2_main_incident_intrigue_any_positive_1b	-834276351	92	False	5
wh_main_chs_chaos	wh2_main_incident_intrigue_any_negative_2b	-600587520	92	False	6
wh2_main_hef_high_elves	wh2_main_incident_intrigue_hef_negative_1a	1386701312	93	False	10
wh_main_emp_empire	wh2_main_incident_intrigue_any_positive_1d	-1403289855	93	False	5
wh2_main_skv_skaven	wh2_main_incident_intrigue_skv_negative_2a	-1013796096	93	False	15
wh_main_emp_empire	wh2_main_incident_intrigue_any_negative_1d	2039550208	94	False	5
wh_main_vmp_vampire_counts	wh2_main_incident_intrigue_any_negative_2a	-335425536	94	False	6
wh_main_dwf_dwarfs	wh2_main_incident_intrigue_any_positive_1d	721079297	95	False	5
wh_main_emp_empire	wh2_main_incident_intrigue_any_positive_2b	-878687487	95	False	6
wh_dlc05_wef_wood_elves	wh2_main_incident_intrigue_any_positive_2b	375600641	96	False	6
wh_main_brt_bretonnia	wh2_main_incident_intrigue_any_negative_1b	391044864	96	False	5
wh_main_chs_chaos	wh2_main_incident_intrigue_any_positive_1a	-163942143	0	False	5
wh2_main_lzd_lizardmen	wh2_main_incident_intrigue_any_positive_3a	-1030517247	9	False	3
wh2_main_def_dark_elves	wh2_main_incident_intrigue_any_negative_1d	-867077888	97	False	5
wh2_main_hef_high_elves	wh2_main_incident_intrigue_hef_positive_1b	-569592831	97	False	10
wh_dlc05_wef_wood_elves	wh2_main_incident_intrigue_any_positive_1a	-909311487	9	False	5
wh_main_vmp_vampire_counts	wh2_main_incident_intrigue_any_positive_1c	587496705	98	False	5
wh_main_vmp_vampire_counts	wh2_main_incident_intrigue_any_positive_1a	744224257	98	False	5
wh_dlc05_wef_wood_elves	wh2_main_incident_intrigue_any_negative_2a	-791512576	98	False	6
wh_dlc05_wef_wood_elves	wh2_main_incident_intrigue_any_positive_1c	408173313	99	False	5
wh2_main_hef_high_elves	wh2_main_incident_intrigue_hef_positive_1a	-1326329599	99	False	10
wh_main_chs_chaos	wh2_main_incident_intrigue_any_negative_2a	1228504064	100	False	6
wh2_main_hef_high_elves	wh2_main_incident_intrigue_any_negative_1c	-1895362816	100	False	5
wh_dlc03_bst_beastmen	wh2_main_incident_intrigue_any_positive_1b	-1293982975	100	False	5
wh_main_chs_chaos	wh2_main_incident_intrigue_any_positive_1b	-1228467967	100	False	5
wh_main_brt_bretonnia	wh2_main_incident_intrigue_any_negative_2b	64894464	101	False	6
wh_main_dwf_dwarfs	wh2_main_incident_intrigue_any_positive_2a	610137857	101	False	6
wh_dlc03_bst_beastmen	wh2_main_incident_intrigue_any_positive_2a	180781057	102	False	6
wh2_main_def_dark_elves	wh2_main_incident_intrigue_any_positive_3b	431424513	102	False	3
wh2_main_def_dark_elves	wh2_main_incident_intrigue_any_negative_3a	655603968	102	False	3
wh2_main_def_dark_elves	wh2_main_incident_intrigue_def_negative_3a	1050254848	102	False	10
wh_main_vmp_vampire_counts	wh2_main_incident_intrigue_any_positive_1b	1124291585	102	False	5
wh2_main_lzd_lizardmen	wh2_main_incident_intrigue_lzd_negative_3a	-1444081920	102	False	10
wh_dlc05_wef_wood_elves	wh2_main_incident_intrigue_any_positive_2a	1412731649	105	False	6
wh2_main_hef_high_elves	wh2_main_incident_intrigue_hef_positive_2b	-385647871	105	False	17
wh2_main_rogue	wh2_main_incident_intrigue_any_positive_1a	812899329	106	False	5
wh_main_brt_bretonnia	wh2_main_incident_intrigue_any_positive_2b	-1431099391	10	False	6
wh2_main_hef_high_elves	wh2_main_incident_intrigue_hef_negative_1c	-1054008576	106	False	10
wh_dlc03_bst_beastmen	wh2_main_incident_intrigue_any_positive_3a	167007489	107	False	3
wh_dlc05_wef_wood_elves	wh2_main_incident_intrigue_any_negative_1b	605325824	107	False	5
wh_main_chs_chaos	wh2_main_incident_intrigue_any_positive_2a	1973524225	107	False	6
wh2_main_def_dark_elves	wh2_main_incident_intrigue_def_positive_1a	2145256961	107	False	10
wh_main_vmp_vampire_counts	wh2_main_incident_intrigue_any_negative_1d	-1195968000	107	False	5
wh2_main_lzd_lizardmen	wh2_main_incident_intrigue_lzd_negative_1b	1404640256	108	False	15
wh_main_dwf_dwarfs	wh2_main_incident_intrigue_any_negative_2b	282119168	110	False	6
wh2_main_lzd_lizardmen	wh2_main_incident_intrigue_lzd_positive_3a	738383873	110	False	10
wh_main_brt_bretonnia	wh2_main_incident_intrigue_any_positive_1c	134164225	111	False	5
wh_main_emp_empire	wh2_main_incident_intrigue_any_negative_3b	1658277888	111	False	3
wh2_main_def_dark_elves	wh2_main_incident_intrigue_any_positive_1a	1804420353	111	False	5
wh_main_emp_empire	wh2_main_incident_intrigue_any_negative_2b	-223205376	111	False	6
wh2_main_def_dark_elves	wh2_main_incident_intrigue_any_positive_2a	-2006954495	112	False	6
wh2_main_def_dark_elves	wh2_main_incident_intrigue_def_positive_2a	-1823073791	113	False	15
wh2_main_skv_skaven	wh2_main_incident_intrigue_any_positive_2a	-1690956543	113	False	6
wh2_main_skv_skaven	wh2_main_incident_intrigue_skv_positive_1a	484489729	114	False	15
wh2_main_lzd_lizardmen	wh2_main_incident_intrigue_any_positive_1c	1283267841	115	False	5
wh2_main_lzd_lizardmen	wh2_main_incident_intrigue_any_positive_2a	-472987135	116	False	6
wh2_main_def_dark_elves	wh2_main_incident_intrigue_any_negative_3b	1066840832	117	False	3
wh_main_brt_bretonnia	wh2_main_incident_intrigue_any_positive_1a	-1762970879	117	False	5
wh2_main_hef_high_elves	wh2_main_incident_intrigue_any_negative_1a	1409200896	118	False	5
wh2_main_lzd_lizardmen	wh2_main_incident_intrigue_lzd_positive_1a	-511173119	118	False	10
wh2_main_skv_skaven	wh2_main_incident_intrigue_skv_negative_1b	-1573891584	119	False	10
wh_main_brt_bretonnia	wh2_main_incident_intrigue_any_negative_1c	514487808	0	False	5
wh2_main_def_dark_elves	wh2_main_incident_intrigue_def_negative_1b	758593792	121	False	10
wh2_main_lzd_lizardmen	wh2_main_incident_intrigue_any_negative_1a	1539070208	121	False	5
wh_main_grn_greenskins	wh2_main_incident_intrigue_any_negative_1b	-1599583232	121	False	5
wh_dlc05_wef_wood_elves	wh2_main_incident_intrigue_any_positive_1b	600055041	122	False	5
wh2_main_lzd_lizardmen	wh2_main_incident_intrigue_any_negative_3b	990263552	122	False	3
wh_dlc05_wef_wood_elves	wh2_main_incident_intrigue_any_negative_2b	-2016732416	122	False	6
wh_main_vmp_vampire_counts	wh2_main_incident_intrigue_any_negative_1a	1273559040	12	False	5
wh_main_dwf_dwarfs	wh2_main_incident_intrigue_any_negative_2a	1290196992	12	False	6
wh2_main_def_dark_elves	wh2_main_incident_intrigue_any_positive_1b	1903021825	123	False	5
wh_main_chs_chaos	wh2_main_incident_intrigue_any_positive_3a	-1550079231	123	False	3
wh2_main_rogue	wh2_main_incident_intrigue_any_positive_1d	-654953471	123	False	5
wh_main_emp_empire	wh2_main_incident_intrigue_any_positive_1a	294472705	124	False	5
wh2_main_rogue	wh2_main_incident_intrigue_any_negative_1d	957012224	124	False	5
wh2_main_hef_high_elves	wh2_main_incident_intrigue_hef_negative_1b	-426147584	124	False	10
wh2_main_rogue	wh2_main_incident_intrigue_any_negative_3a	1044744192	125	False	3
wh2_main_def_dark_elves	wh2_main_incident_intrigue_any_negative_1c	1498816768	125	False	5
wh_main_chs_chaos	wh2_main_incident_intrigue_any_positive_3b	1526472449	125	False	3
wh_main_dwf_dwarfs	wh2_main_incident_intrigue_any_positive_1a	-1627218431	12	False	5
wh2_main_hef_high_elves	wh2_main_incident_intrigue_any_negative_2a	1507660032	127	False	6
wh_dlc05_wef_wood_elves	wh2_main_incident_intrigue_any_negative_1d	-673983744	127	False	5
wh2_main_hef_high_elves	wh2_main_incident_intrigue_hef_positive_1c	27189505	13	False	10
wh_main_emp_empire	wh2_main_incident_intrigue_any_positive_1c	1054842369	13	False	5
wh2_main_skv_skaven	wh2_main_incident_intrigue_any_negative_1b	-1207319808	13	False	5
wh_main_vmp_vampire_counts	wh2_main_incident_intrigue_any_positive_3a	-888067327	13	False	3
wh_dlc03_bst_beastmen	wh2_main_incident_intrigue_any_negative_1d	1946405632	15	False	5
wh_dlc03_bst_beastmen	wh2_main_incident_intrigue_any_negative_3a	-991866368	15	False	3
wh_dlc05_wef_wood_elves	wh2_main_incident_intrigue_any_positive_3a	-983341567	15	False	3
wh_main_dwf_dwarfs	wh2_main_incident_intrigue_any_positive_3b	1778668033	16	False	3
wh2_main_lzd_lizardmen	wh2_main_incident_intrigue_lzd_positive_1b	-1890632959	16	False	10
wh_main_emp_empire	wh2_main_incident_intrigue_any_positive_3a	-1779788287	16	False	3
wh2_main_def_dark_elves	wh2_main_incident_intrigue_any_negative_2b	-254541824	16	False	6
wh_dlc03_bst_beastmen	wh2_main_incident_intrigue_any_negative_1a	1130618880	17	False	5
wh2_main_def_dark_elves	wh2_main_incident_intrigue_def_positive_1b	699117569	18	False	10
wh2_main_def_dark_elves	wh2_main_incident_intrigue_any_negative_2a	703102208	18	False	6
wh_main_grn_greenskins	wh2_main_incident_intrigue_any_positive_3a	816343553	18	False	3
wh2_main_rogue	wh2_main_incident_intrigue_any_negative_1c	-535007232	1	False	5
wh2_main_hef_high_elves	wh2_main_incident_intrigue_hef_negative_2b	-1577412864	20	False	12
wh2_main_def_dark_elves	wh2_main_incident_intrigue_def_negative_1c	-802516480	20	False	10
wh2_main_rogue	wh2_main_incident_intrigue_any_positive_2b	-497336831	20	False	6
wh2_main_skv_skaven	wh2_main_incident_intrigue_any_positive_1a	1552369665	21	False	5
wh_main_vmp_vampire_counts	wh2_main_incident_intrigue_any_positive_2a	1490251521	2	False	6
wh_main_emp_empire	wh2_main_incident_intrigue_any_negative_1a	-599225856	23	False	5
wh2_main_skv_skaven	wh2_main_incident_intrigue_any_negative_3a	46110464	24	False	3
wh_main_brt_bretonnia	wh2_main_incident_intrigue_any_positive_1d	1777508609	24	False	5
wh_dlc05_wef_wood_elves	wh2_main_incident_intrigue_any_negative_3a	-2111586048	25	False	3
wh2_main_lzd_lizardmen	wh2_main_incident_intrigue_any_negative_3a	-366412544	25	False	3
wh2_main_skv_skaven	wh2_main_incident_intrigue_any_negative_2a	1321865216	26	False	6
wh2_main_skv_skaven	wh2_main_incident_intrigue_skv_positive_3a	1393499393	26	False	10
wh_main_dwf_dwarfs	wh2_main_incident_intrigue_any_negative_1d	-1540548864	2	False	5
wh_main_dwf_dwarfs	wh2_main_incident_intrigue_any_negative_3a	1844544768	26	False	3
wh2_main_rogue	wh2_main_incident_intrigue_any_positive_3a	-641504255	26	False	3
wh_main_vmp_vampire_counts	wh2_main_incident_intrigue_any_negative_1c	-778904832	2	False	5
wh_dlc03_bst_beastmen	wh2_main_incident_intrigue_any_positive_2b	-774447871	2	False	6
wh_main_chs_chaos	wh2_main_incident_intrigue_any_negative_3b	1124492288	28	False	3
wh2_main_skv_skaven	wh2_main_incident_intrigue_skv_positive_2a	-1721277183	28	False	15
wh_main_vmp_vampire_counts	wh2_main_incident_intrigue_any_positive_3b	1222127617	29	False	3
wh_main_brt_bretonnia	wh2_main_incident_intrigue_any_positive_2a	1568300545	29	False	6
wh_main_vmp_vampire_counts	wh2_main_incident_intrigue_any_negative_3a	1639739392	29	False	3
wh_main_vmp_vampire_counts	wh2_main_incident_intrigue_any_positive_2b	-1992293887	29	False	6
wh_main_dwf_dwarfs	wh2_main_incident_intrigue_any_negative_1a	-1139003392	29	False	5
wh2_main_skv_skaven	wh2_main_incident_intrigue_any_negative_1d	-875711232	29	False	5
wh_main_emp_empire	wh2_main_incident_intrigue_any_negative_2a	1188911360	30	False	6
wh_main_vmp_vampire_counts	wh2_main_incident_intrigue_any_negative_3b	-438073088	30	False	3
wh2_main_lzd_lizardmen	wh2_main_incident_intrigue_any_negative_1b	240571904	31	False	5
wh2_main_lzd_lizardmen	wh2_main_incident_intrigue_any_positive_2b	1532275457	31	False	6
wh2_main_def_dark_elves	wh2_main_incident_intrigue_any_positive_3a	1988770561	31	False	3
wh2_main_rogue	wh2_main_incident_intrigue_any_positive_1b	-152300799	31	False	5
wh2_main_skv_skaven	wh2_main_incident_intrigue_any_positive_1c	1838293249	32	False	5
wh_dlc05_wef_wood_elves	wh2_main_incident_intrigue_any_negative_1a	-1394305280	32	False	5
wh_main_grn_greenskins	wh2_main_incident_intrigue_any_positive_1c	60311297	33	False	5
wh2_main_hef_high_elves	wh2_main_incident_intrigue_any_negative_1d	775511552	33	False	5
wh2_main_def_dark_elves	wh2_main_incident_intrigue_any_positive_1c	1465589505	3	False	5
wh_main_emp_empire	wh2_main_incident_intrigue_any_negative_1b	1574050560	3	False	5
wh2_main_lzd_lizardmen	wh2_main_incident_intrigue_any_negative_1c	1566831104	34	False	5
wh_main_emp_empire	wh2_main_incident_intrigue_any_negative_3a	435221760	36	False	3
wh_dlc05_wef_wood_elves	wh2_main_incident_intrigue_any_negative_1c	1216620544	36	False	5
wh_main_chs_chaos	wh2_main_incident_intrigue_any_negative_1b	1651048448	36	False	5
wh_main_chs_chaos	wh2_main_incident_intrigue_any_negative_1d	-1495380736	3	False	5
wh_dlc03_bst_beastmen	wh2_main_incident_intrigue_any_positive_1d	925610753	37	False	5
wh2_main_hef_high_elves	wh2_main_incident_intrigue_any_negative_2b	1310930176	37	False	6
wh_dlc03_bst_beastmen	wh2_main_incident_intrigue_any_positive_1a	1474119937	37	False	5
wh_main_chs_chaos	wh2_main_incident_intrigue_any_positive_1d	-1332377343	38	False	5
wh2_main_def_dark_elves	wh2_main_incident_intrigue_def_negative_2a	-28324096	39	False	15
wh2_main_hef_high_elves	wh2_main_incident_intrigue_any_negative_3b	67872768	40	False	3
wh_dlc05_wef_wood_elves	wh2_main_incident_intrigue_any_negative_3b	1322047744	40	False	3
wh_main_brt_bretonnia	wh2_main_incident_intrigue_any_positive_3b	-1611628543	40	False	3
wh_main_chs_chaos	wh2_main_incident_intrigue_any_negative_1a	1455759872	41	False	5
wh2_main_skv_skaven	wh2_main_incident_intrigue_skv_positive_1b	-558204927	41	False	15
wh2_main_def_dark_elves	wh2_main_incident_intrigue_any_negative_1a	-819447808	42	False	5
wh2_main_rogue	wh2_main_incident_intrigue_any_positive_3b	663227393	43	False	3
wh2_main_rogue	wh2_main_incident_intrigue_any_negative_1b	1878652928	0	False	5
wh2_main_skv_skaven	wh2_main_incident_intrigue_any_negative_3b	19577856	44	False	3
wh2_main_def_dark_elves	wh2_main_incident_intrigue_def_negative_1a	-10872320	45	False	10
wh2_main_hef_high_elves	wh2_main_incident_intrigue_any_negative_1b	1893017344	46	False	5
wh_main_dwf_dwarfs	wh2_main_incident_intrigue_any_positive_1c	-1882486527	46	False	5
wh2_main_hef_high_elves	wh2_main_incident_intrigue_hef_negative_1d	-1800090112	46	False	10
wh_main_dwf_dwarfs	wh2_main_incident_intrigue_any_positive_1b	-515191295	46	False	5
wh2_main_lzd_lizardmen	wh2_main_incident_intrigue_lzd_negative_1a	1803738880	47	False	15
wh_main_dwf_dwarfs	wh2_main_incident_intrigue_any_positive_2b	1981513985	47	False	6
wh_dlc05_wef_wood_elves	wh2_main_incident_intrigue_any_positive_1d	-1565047551	47	False	5
wh2_main_lzd_lizardmen	wh2_main_incident_intrigue_any_positive_1b	721769473	48	False	5
wh2_main_def_dark_elves	wh2_main_incident_intrigue_def_positive_1c	860303873	48	False	10
wh_main_grn_greenskins	wh2_main_incident_intrigue_any_negative_1a	1567058944	48	False	5
wh_main_emp_empire	wh2_main_incident_intrigue_any_negative_1c	-744756224	48	False	5
wh2_main_rogue	wh2_main_incident_intrigue_any_negative_2a	839168000	49	False	6
wh2_main_skv_skaven	wh2_main_incident_intrigue_any_positive_1b	-241805823	4	False	5
wh2_main_lzd_lizardmen	wh2_main_incident_intrigue_any_positive_1d	-1815057407	49	False	5
wh_main_grn_greenskins	wh2_main_incident_intrigue_any_positive_1a	261353473	5	False	5
wh2_main_hef_high_elves	wh2_main_incident_intrigue_hef_positive_3a	546400001	51	False	13
wh2_main_hef_high_elves	wh2_main_incident_intrigue_any_positive_1d	-1219006719	51	False	5
wh_dlc03_bst_beastmen	wh2_main_incident_intrigue_any_negative_3b	-986416640	51	False	3
wh_main_vmp_vampire_counts	wh2_main_incident_intrigue_any_negative_2b	1851682560	52	False	6
wh_main_brt_bretonnia	wh2_main_incident_intrigue_any_negative_3b	-2050294016	52	False	3
wh2_main_lzd_lizardmen	wh2_main_incident_intrigue_any_positive_1a	-1983603967	0	False	5
wh2_main_skv_skaven	wh2_main_incident_intrigue_any_positive_3b	1077325569	54	False	3
wh_main_dwf_dwarfs	wh2_main_incident_intrigue_any_positive_3a	2097932801	5	False	3
wh2_main_def_dark_elves	wh2_main_incident_intrigue_any_positive_1d	1000873473	56	False	5
wh2_main_skv_skaven	wh2_main_incident_intrigue_any_positive_3a	-1628886783	56	False	3
wh2_main_rogue	wh2_main_incident_intrigue_any_positive_2a	1449806081	57	False	6
wh_main_chs_chaos	wh2_main_incident_intrigue_any_positive_2b	-1204899071	57	False	6
wh2_main_rogue	wh2_main_incident_intrigue_any_negative_3b	1683242496	59	False	3
wh2_main_hef_high_elves	wh2_main_incident_intrigue_hef_positive_1d	2067931137	59	False	10
