projectile_impacts_tables
11
key	water	sails	mud	grass	road	rock	sand	cloth	snow	leather	wood	foliage
wh2_main_abilities_khaines_scourge_bolt	wh_main_impact_medium_water		wh2_main_abilities_khaines_scourge_impact	wh2_main_abilities_khaines_scourge_impact	wh2_main_abilities_khaines_scourge_impact	wh2_main_abilities_khaines_scourge_impact	wh2_main_abilities_khaines_scourge_impact	wh2_main_abilities_khaines_scourge_impact	wh2_main_abilities_khaines_scourge_impact	wh2_main_abilities_khaines_scourge_impact		wh_main_unit_impact_medium
wh2_main_abilities_sky_cauldron	wh_main_impact_large_water		wh2_main_abilities_sky_cauldron_impact	wh2_main_abilities_sky_cauldron_impact	wh2_main_abilities_sky_cauldron_impact	wh2_main_abilities_sky_cauldron_impact	wh2_main_abilities_sky_cauldron_impact	wh2_main_abilities_sky_cauldron_impact	wh2_main_abilities_sky_cauldron_impact	wh2_main_abilities_sky_cauldron_impact		wh_main_unit_impact_heavy
wh2_main_abilities_soul_rain_impact	wh_main_impact_medium_water		wh2_main_abilities_soul_rain_impact	wh2_main_abilities_soul_rain_impact	wh2_main_abilities_soul_rain_impact	wh2_main_abilities_soul_rain_impact	wh2_main_abilities_soul_rain_impact	wh2_main_abilities_soul_rain_impact	wh2_main_abilities_soul_rain_impact	wh2_main_abilities_soul_rain_impact		wh_main_unit_impact_light
wh2_main_abilities_soul_storm_impact	wh_main_impact_medium_water		wh2_main_abilities_soul_storm_impact	wh2_main_abilities_soul_storm_impact	wh2_main_abilities_soul_storm_impact	wh2_main_abilities_soul_storm_impact	wh2_main_abilities_soul_storm_impact	wh2_main_abilities_soul_storm_impact	wh2_main_abilities_soul_storm_impact	wh2_main_abilities_soul_storm_impact		wh_main_unit_impact_light
wh2_main_abilities_soul_torrent_impact	wh_main_impact_medium_water		wh2_main_abilities_soul_torrent_impact	wh2_main_abilities_soul_torrent_impact	wh2_main_abilities_soul_torrent_impact	wh2_main_abilities_soul_torrent_impact	wh2_main_abilities_soul_torrent_impact	wh2_main_abilities_soul_torrent_impact	wh2_main_abilities_soul_torrent_impact	wh2_main_abilities_soul_torrent_impact		wh_main_unit_impact_light
wh2_main_abilities_vauls_hammer	wh2_main_abilities_vauls_hammer		wh2_main_abilities_vauls_hammer	wh2_main_abilities_vauls_hammer	wh2_main_abilities_vauls_hammer	wh2_main_abilities_vauls_hammer	wh2_main_abilities_vauls_hammer	wh2_main_abilities_vauls_hammer	wh2_main_abilities_vauls_hammer	wh2_main_abilities_vauls_hammer	wh_dlc02_arrow_impact_blood_medium	wh_main_unit_impact_medium
wh2_main_army_abilities_vortic_blast_shrapnel	wh_main_impact_medium_water		wh2_main_abilities_vortic_blast_shrapnel_impact	wh2_main_abilities_vortic_blast_shrapnel_impact	wh2_main_abilities_vortic_blast_shrapnel_impact	wh2_main_abilities_vortic_blast_shrapnel_impact	wh2_main_abilities_vortic_blast_shrapnel_impact	wh2_main_abilities_vortic_blast_shrapnel_impact	wh2_main_abilities_vortic_blast_shrapnel_impact	wh2_main_abilities_vortic_blast_shrapnel_impact		wh_main_unit_impact_medium
wh2_main_army_abilities_vortic_enrichment_shrapnel	wh_main_impact_medium_water		wh2_main_abilities_vortic_enrichment_shrapnel_impact	wh2_main_abilities_vortic_enrichment_shrapnel_impact	wh2_main_abilities_vortic_enrichment_shrapnel_impact	wh2_main_abilities_vortic_enrichment_shrapnel_impact	wh2_main_abilities_vortic_enrichment_shrapnel_impact	wh2_main_abilities_vortic_enrichment_shrapnel_impact	wh2_main_abilities_vortic_enrichment_shrapnel_impact	wh2_main_abilities_vortic_enrichment_shrapnel_impact		wh_main_unit_impact_medium
wh2_main_black_dragon_breath_impact	wh2_main_black_dragon_breath_impact		wh2_main_black_dragon_breath_impact	wh2_main_black_dragon_breath_impact	wh2_main_black_dragon_breath_impact	wh2_main_black_dragon_breath_impact	wh2_main_black_dragon_breath_impact	wh2_main_black_dragon_breath_impact	wh2_main_black_dragon_breath_impact_spherical	wh2_main_black_dragon_breath_impact		wh_main_unit_impact_heavy
wh2_main_chaos_dragon_breath_impact	wh_main_steam_explosion_medium		wh2_main_chaos_dragon_breath_impact	wh2_main_chaos_dragon_breath_impact	wh2_main_chaos_dragon_breath_impact	wh2_main_chaos_dragon_breath_impact	wh2_main_chaos_dragon_breath_impact	wh2_main_chaos_dragon_breath_impact	wh2_main_chaos_dragon_breath_impact_spherical	wh2_main_chaos_dragon_breath_impact		wh_main_unit_impact_heavy
wh2_main_character_abilities_volley_arrows_def	wh_main_impact_medium_water		wh2_main_volley_def_impact	wh2_main_volley_def_impact	wh2_main_volley_def_impact	wh2_main_volley_def_impact	wh2_main_volley_def_impact	wh2_main_volley_def_impact	wh2_main_volley_def_impact	wh2_main_volley_def_impact		wh_main_unit_impact_medium
wh2_main_character_abilities_volley_arrows_hef	wh_main_impact_medium_water		wh2_main_volley_hef_impact	wh2_main_volley_hef_impact	wh2_main_volley_hef_impact	wh2_main_volley_hef_impact	wh2_main_volley_hef_impact	wh2_main_volley_hef_impact	wh2_main_volley_hef_impact	wh2_main_volley_hef_impact		wh_main_unit_impact_medium
wh2_main_eagleclaw_bolt	wh2_main_weapon_eagleclaw_bolt_impact		wh2_main_weapon_eagleclaw_bolt_impact	wh2_main_weapon_eagleclaw_bolt_impact	wh2_main_weapon_eagleclaw_bolt_impact	wh2_main_weapon_eagleclaw_bolt_impact	wh2_main_weapon_eagleclaw_bolt_impact	wh2_main_weapon_eagleclaw_bolt_impact	wh2_main_weapon_eagleclaw_bolt_impact	wh2_main_weapon_eagleclaw_bolt_impact	wh_dlc02_arrow_impact_blood_medium	
wh2_main_eagleclaw_spread	wh2_main_weapon_eagleclaw_spread_impact		wh2_main_weapon_eagleclaw_spread_impact	wh2_main_weapon_eagleclaw_spread_impact	wh2_main_weapon_eagleclaw_spread_impact	wh2_main_weapon_eagleclaw_spread_impact	wh2_main_weapon_eagleclaw_spread_impact	wh2_main_weapon_eagleclaw_spread_impact	wh2_main_weapon_eagleclaw_spread_impact	wh2_main_weapon_eagleclaw_spread_impact	wh_dlc02_arrow_impact_blood_medium	
wh2_main_forest_dragon_breath_impact	wh2_main_forest_dragon_breath_impact		wh2_main_forest_dragon_breath_impact	wh2_main_forest_dragon_breath_impact	wh2_main_forest_dragon_breath_impact	wh2_main_forest_dragon_breath_impact	wh2_main_forest_dragon_breath_impact	wh2_main_forest_dragon_breath_impact	wh2_main_forest_dragon_breath_impact_spherical	wh2_main_forest_dragon_breath_impact		wh_main_unit_impact_heavy
wh2_main_hero_abilities_doomrocket_impact	wh_main_impact_medium_water		wh2_main_abilities_doomrocket_shrapnel_impact	wh2_main_abilities_doomrocket_shrapnel_impact	wh2_main_abilities_doomrocket_shrapnel_impact	wh2_main_abilities_doomrocket_shrapnel_impact	wh2_main_abilities_doomrocket_shrapnel_impact	wh2_main_abilities_doomrocket_shrapnel_impact	wh2_main_abilities_doomrocket_shrapnel_impact	wh2_main_abilities_doomrocket_shrapnel_impact		wh_main_unit_impact_medium
wh2_main_hydra_dragon_breath_impact	wh2_main_hydra_breath_impact		wh2_main_hydra_breath_impact	wh2_main_hydra_breath_impact	wh2_main_hydra_breath_impact	wh2_main_hydra_breath_impact	wh2_main_hydra_breath_impact	wh2_main_hydra_breath_impact	wh2_main_hydra_breath_impact_spherical	wh2_main_hydra_breath_impact		wh_main_unit_impact_heavy
wh2_main_lzd_bastiladon_solar_engine	wh_main_impact_medium_water		wh2_main_weapon_solar_engine_impact	wh2_main_weapon_solar_engine_impact	wh2_main_weapon_solar_engine_impact	wh2_main_weapon_solar_engine_impact	wh2_main_weapon_solar_engine_impact	wh2_main_weapon_solar_engine_impact	wh2_main_weapon_solar_engine_impact	wh2_main_weapon_solar_engine_impact		wh_main_unit_impact_medium
wh2_main_lzd_fire_leech_bola	wh_main_impact_vsmall_water		wh2_main_weapon_fireleech_bolas_impact	wh2_main_weapon_fireleech_bolas_impact	wh2_main_weapon_fireleech_bolas_impact	wh2_main_weapon_fireleech_bolas_impact	wh2_main_weapon_fireleech_bolas_impact	wh2_main_weapon_fireleech_bolas_impact	wh2_main_weapon_fireleech_bolas_impact	wh2_main_weapon_fireleech_bolas_impact		
wh2_main_moon_dragon_breath_impact	wh2_main_moon_dragon_breath_impact		wh2_main_moon_dragon_breath_impact	wh2_main_moon_dragon_breath_impact	wh2_main_moon_dragon_breath_impact	wh2_main_moon_dragon_breath_impact	wh2_main_moon_dragon_breath_impact	wh2_main_moon_dragon_breath_impact	wh2_main_moon_dragon_breath_impact_spherical	wh2_main_moon_dragon_breath_impact		wh_main_unit_impact_heavy
wh2_main_skv_plagueclaw	wh2_main_machine_plagueclaw_catapult_impact		wh2_main_machine_plagueclaw_catapult_impact	wh2_main_machine_plagueclaw_catapult_impact	wh2_main_machine_plagueclaw_catapult_impact	wh2_main_machine_plagueclaw_catapult_impact	wh2_main_machine_plagueclaw_catapult_impact	wh2_main_machine_plagueclaw_catapult_impact	wh2_main_machine_plagueclaw_catapult_impact	wh2_main_machine_plagueclaw_catapult_impact		wh_main_unit_impact_heavy
wh2_main_skv_warp_lightning	wh_main_impact_medium_water		wh2_main_machine_warp_lightning_cannon_impact	wh2_main_machine_warp_lightning_cannon_impact	wh2_main_machine_warp_lightning_cannon_impact	wh2_main_machine_warp_lightning_cannon_impact	wh2_main_machine_warp_lightning_cannon_impact	wh2_main_machine_warp_lightning_cannon_impact	wh2_main_machine_warp_lightning_cannon_impact	wh2_main_machine_warp_lightning_cannon_impact		wh_main_unit_impact_medium
wh2_main_skv_warp_lightning_doomwheel	wh_main_impact_medium_water		wh2_main_machine_warp_lightning_doomwheel_impact	wh2_main_machine_warp_lightning_doomwheel_impact	wh2_main_machine_warp_lightning_doomwheel_impact	wh2_main_machine_warp_lightning_doomwheel_impact	wh2_main_machine_warp_lightning_doomwheel_impact	wh2_main_machine_warp_lightning_doomwheel_impact	wh2_main_machine_warp_lightning_doomwheel_impact	wh2_main_machine_warp_lightning_doomwheel_impact		wh_main_unit_impact_light
wh2_main_skv_warpfire_impact	wh_main_impact_medium_water		wh2_main_weapon_warpfire_thrower_impact	wh2_main_weapon_warpfire_thrower_impact	wh2_main_weapon_warpfire_thrower_impact	wh2_main_weapon_warpfire_thrower_impact	wh2_main_weapon_warpfire_thrower_impact	wh2_main_weapon_warpfire_thrower_impact	wh2_main_weapon_warpfire_thrower_impact	wh2_main_weapon_warpfire_thrower_impact		wh_main_unit_impact_light
wh2_main_spell_dark_magic_doombolt	wh_main_impact_medium_water		wh2_main_dark_doombolt_impact	wh2_main_dark_doombolt_impact	wh2_main_dark_doombolt_impact	wh2_main_dark_doombolt_impact	wh2_main_dark_doombolt_impact	wh2_main_dark_doombolt_impact	wh2_main_dark_doombolt_impact	wh2_main_dark_doombolt_impact		wh_main_unit_impact_light
wh2_main_spell_high_magic_soul_quench	wh_main_impact_medium_water		wh2_main_high_soul_quench_impact	wh2_main_high_soul_quench_impact	wh2_main_high_soul_quench_impact	wh2_main_high_soul_quench_impact	wh2_main_high_soul_quench_impact	wh2_main_high_soul_quench_impact	wh2_main_high_soul_quench_impact	wh2_main_high_soul_quench_impact		wh_main_unit_impact_light
wh2_main_spell_ruin_warp_lightning_impact	wh_main_impact_medium_water		wh2_main_ruin_warp_lightning_impact	wh2_main_ruin_warp_lightning_impact	wh2_main_ruin_warp_lightning_impact	wh2_main_ruin_warp_lightning_impact	wh2_main_ruin_warp_lightning_impact	wh2_main_ruin_warp_lightning_impact	wh2_main_ruin_warp_lightning_impact	wh2_main_ruin_warp_lightning_impact		
wh2_main_star_dragon_breath_impact	wh2_main_star_dragon_breath_impact		wh2_main_star_dragon_breath_impact	wh2_main_star_dragon_breath_impact	wh2_main_star_dragon_breath_impact	wh2_main_star_dragon_breath_impact	wh2_main_star_dragon_breath_impact	wh2_main_star_dragon_breath_impact	wh2_main_star_dragon_breath_impact_spherical	wh2_main_star_dragon_breath_impact		wh_main_unit_impact_heavy
wh2_main_sun_dragon_breath_impact	wh_main_steam_explosion_medium		wh2_main_sun_dragon_breath_impact	wh2_main_sun_dragon_breath_impact	wh2_main_sun_dragon_breath_impact	wh2_main_sun_dragon_breath_impact	wh2_main_sun_dragon_breath_impact	wh2_main_sun_dragon_breath_impact	wh2_main_sun_dragon_breath_impact_spherical	wh2_main_sun_dragon_breath_impact		wh_main_unit_impact_heavy
wh2_main_terrorgheist_dragon_breath_impact	wh2_main_terrorgheist_breath_impact		wh2_main_terrorgheist_breath_impact	wh2_main_terrorgheist_breath_impact	wh2_main_terrorgheist_breath_impact	wh2_main_terrorgheist_breath_impact	wh2_main_terrorgheist_breath_impact	wh2_main_terrorgheist_breath_impact	wh2_main_terrorgheist_breath_impact_spherical	wh2_main_terrorgheist_breath_impact		wh_main_unit_impact_heavy
wh2_main_unit_abilities_drop_rocks	wh_main_impact_large_water		wh2_main_weapon_lzd_drop_rocks_impact	wh2_main_weapon_lzd_drop_rocks_impact	wh2_main_weapon_lzd_drop_rocks_impact	wh2_main_weapon_lzd_drop_rocks_impact	wh2_main_weapon_lzd_drop_rocks_impact	wh2_main_weapon_lzd_drop_rocks_impact	wh_main_projectile_penetration_impact	wh2_main_weapon_lzd_drop_rocks_impact	wh_dlc02_arrow_impact_blood_medium	wh_main_unit_impact_medium
wh2_main_unit_abilities_wake_of_fire_impact	wh_main_impact_large_water		wh2_main_abilities_wake_of_fire_impact	wh2_main_abilities_wake_of_fire_impact	wh2_main_abilities_wake_of_fire_impact	wh2_main_abilities_wake_of_fire_impact	wh2_main_abilities_wake_of_fire_impact	wh2_main_abilities_wake_of_fire_impact	wh_main_projectile_penetration_impact	wh2_main_abilities_wake_of_fire_impact	wh_dlc02_arrow_impact_blood_medium	wh_main_unit_impact_medium
wh2_main_weapon_abilities_bow_of_the_seafarer	wh2_main_abilities_bow_of_the_seafarer_impact		wh2_main_abilities_bow_of_the_seafarer_impact	wh2_main_abilities_bow_of_the_seafarer_impact	wh2_main_abilities_bow_of_the_seafarer_impact	wh2_main_abilities_bow_of_the_seafarer_impact	wh2_main_abilities_bow_of_the_seafarer_impact	wh2_main_abilities_bow_of_the_seafarer_impact	wh2_main_abilities_bow_of_the_seafarer_impact	wh2_main_abilities_bow_of_the_seafarer_impact		wh_main_unit_artillery_footstep
wh2_main_zombie_dragon_breath_impact	wh2_main_zombie_dragon_breath_impact		wh2_main_zombie_dragon_breath_impact	wh2_main_zombie_dragon_breath_impact	wh2_main_zombie_dragon_breath_impact	wh2_main_zombie_dragon_breath_impact	wh2_main_zombie_dragon_breath_impact	wh2_main_zombie_dragon_breath_impact	wh2_main_zombie_dragon_breath_impact_spherical	wh2_main_zombie_dragon_breath_impact		wh_main_unit_impact_heavy
wh_dlc03_beasts_amber_spear_impact	wh_dlc03_amber_spear_impact		wh_dlc03_amber_spear_impact	wh_dlc03_amber_spear_impact	wh_dlc03_amber_spear_impact	wh_dlc03_amber_spear_impact	wh_dlc03_amber_spear_impact	wh_dlc03_amber_spear_impact	wh_main_metal_searing_doom_impact	wh_dlc03_amber_spear_impact		wh_main_unit_artillery_footstep
wh_dlc05_impact_wef_arrow	wh_main_impact_vsmall_water		wh_dlc05_impact_vsmall_wef_arrow	wh_dlc05_impact_vsmall_wef_arrow	wh_dlc05_impact_vsmall_wef_arrow	wh_dlc05_impact_vsmall_wef_arrow	wh_dlc05_impact_vsmall_wef_arrow	wh_dlc05_impact_vsmall_wef_arrow	wh_dlc05_impact_vsmall_wef_arrow	wh_dlc05_impact_vsmall_wef_arrow	wh_dlc02_arrow_impact_blood_medium	
wh_dlc05_impact_wef_arrow_starfire	wh_main_impact_vsmall_water		wh_dlc05_impact_vsmall_wef_arrow_starfire	wh_dlc05_impact_vsmall_wef_arrow_starfire	wh_dlc05_impact_vsmall_wef_arrow_starfire	wh_dlc05_impact_vsmall_wef_arrow_starfire	wh_dlc05_impact_vsmall_wef_arrow_starfire	wh_dlc05_impact_vsmall_wef_arrow_starfire	wh_dlc05_impact_vsmall_wef_arrow_starfire	wh_dlc05_impact_vsmall_wef_arrow_starfire		
wh_dlc05_impact_wef_arrow_swiftshiver	wh_main_impact_vsmall_water		wh_dlc05_impact_vsmall_wef_arrow_swiftshiver	wh_dlc05_impact_vsmall_wef_arrow_swiftshiver	wh_dlc05_impact_vsmall_wef_arrow_swiftshiver	wh_dlc05_impact_vsmall_wef_arrow_swiftshiver	wh_dlc05_impact_vsmall_wef_arrow_swiftshiver	wh_dlc05_impact_vsmall_wef_arrow_swiftshiver	wh_dlc05_impact_vsmall_wef_arrow_swiftshiver	wh_dlc05_impact_vsmall_wef_arrow_swiftshiver		
wh_dlc05_impact_wef_arrow_trueflight	wh_main_impact_vsmall_water		wh_dlc05_impact_vsmall_wef_arrow_trueflight	wh_dlc05_impact_vsmall_wef_arrow_trueflight	wh_dlc05_impact_vsmall_wef_arrow_trueflight	wh_dlc05_impact_vsmall_wef_arrow_trueflight	wh_dlc05_impact_vsmall_wef_arrow_trueflight	wh_dlc05_impact_vsmall_wef_arrow_trueflight	wh_dlc05_impact_vsmall_wef_arrow_trueflight	wh_dlc05_impact_vsmall_wef_arrow_trueflight		
wh_dlc05_lamentation_of_despair_impact	wh_dlc05_ability_lamentation_of_despair_impact		wh_dlc05_ability_lamentation_of_despair_impact	wh_dlc05_ability_lamentation_of_despair_impact	wh_dlc05_ability_lamentation_of_despair_impact	wh_dlc05_ability_lamentation_of_despair_impact	wh_dlc05_ability_lamentation_of_despair_impact	wh_dlc05_ability_lamentation_of_despair_impact	wh_dlc05_ability_lamentation_of_despair_impact	wh_dlc05_ability_lamentation_of_despair_impact		wh_main_unit_artillery_footstep
wh_dlc05_wef_arrow_of_kurnous_impact	wh_dlc05_ability_arrow_of_kurnous_impact		wh_dlc05_ability_arrow_of_kurnous_impact	wh_dlc05_ability_arrow_of_kurnous_impact	wh_dlc05_ability_arrow_of_kurnous_impact	wh_dlc05_ability_arrow_of_kurnous_impact	wh_dlc05_ability_arrow_of_kurnous_impact	wh_dlc05_ability_arrow_of_kurnous_impact	wh_dlc05_ability_arrow_of_kurnous_impact	wh_dlc05_ability_arrow_of_kurnous_impact		wh_main_unit_artillery_footstep
wh_dlc05_wef_hawks_talon	wh_main_impact_medium_water		wh_dlc05_wef_magic_explosion	wh_dlc05_wef_magic_explosion	wh_dlc05_wef_magic_explosion	wh_dlc05_wef_magic_explosion	wh_dlc05_wef_magic_explosion	wh_dlc05_wef_magic_explosion	wh_dlc05_wef_magic_explosion	wh_dlc05_wef_magic_explosion		wh_main_unit_impact_light
wh_dlc06_dwf_gob_lobber_impact	wh_main_weapon_gob_lobber_impact		wh_main_weapon_gob_lobber_impact	wh_main_weapon_gob_lobber_impact	wh_main_weapon_gob_lobber_impact	wh_main_weapon_gob_lobber_impact	wh_main_weapon_gob_lobber_impact	wh_main_weapon_gob_lobber_impact	wh_main_weapon_gob_lobber_impact	wh_main_weapon_gob_lobber_impact		wh_main_unit_impact_medium
wh_dlc07_blessed_stone_trebuchet	wh_dlc07_blessed_stone_impact_water		wh_dlc07_blessed_stone_impact_water	wh_dlc07_blessed_stone_impact_water	wh_dlc07_blessed_stone_impact_water	wh_dlc07_blessed_stone_impact_water	wh_dlc07_blessed_stone_impact_water	wh_dlc07_blessed_stone_impact_water	wh_dlc07_blessed_stone_impact_water	wh_dlc07_blessed_stone_impact_water		wh_main_unit_impact_medium
wh_dlc07_weapon_burning_arrow	wh_dlc07_impact_burning_arrow		wh_dlc07_impact_burning_arrow	wh_dlc07_impact_burning_arrow	wh_dlc07_impact_burning_arrow	wh_dlc07_impact_burning_arrow	wh_dlc07_impact_burning_arrow	wh_dlc07_impact_burning_arrow	wh_dlc07_impact_burning_arrow	wh_dlc07_impact_burning_arrow		
wh_dlc07_weapon_pox_arrow	wh_dlc07_impact_poison_arrow		wh_dlc07_impact_poison_arrow	wh_dlc07_impact_poison_arrow	wh_dlc07_impact_poison_arrow	wh_dlc07_impact_poison_arrow	wh_dlc07_impact_poison_arrow	wh_dlc07_impact_poison_arrow	wh_dlc07_impact_poison_arrow	wh_dlc07_impact_poison_arrow		
wh_grn_doomdiver_goblin	wh_main_impact_medium_water		wh_main_weapon_doomdiver_impact	wh_main_weapon_doomdiver_impact	wh_main_weapon_doomdiver_impact	wh_main_weapon_doomdiver_impact	wh_main_weapon_doomdiver_impact	wh_main_weapon_doomdiver_impact	wh_main_weapon_doomdiver_impact	wh_main_weapon_doomdiver_impact	wh_main_weapon_doomdiver_impact	wh_main_unit_impact_medium
wh_grn_doomdiver_goblin_blood	wh_main_impact_medium_water		wh_dlc02_weapon_doomdiver_impact	wh_dlc02_weapon_doomdiver_impact	wh_dlc02_weapon_doomdiver_impact	wh_dlc02_weapon_doomdiver_impact	wh_dlc02_weapon_doomdiver_impact	wh_dlc02_weapon_doomdiver_impact	wh_dlc02_weapon_doomdiver_entity_impact	wh_dlc02_weapon_doomdiver_impact	wh_dlc02_weapon_doomdiver_entity_impact	wh_main_unit_impact_medium
wh_main_abilities_lord_of_the_storm_impact	wh_main_impact_medium_water		wh_main_impact_mortar_mud	wh_main_impact_mortar_grass	wh_main_impact_mortar_rock	wh_main_impact_mortar_rock	wh_main_impact_mortar_sand	wh_main_impact_mortar_snow	wh_main_impact_large_leather	wh_main_impact_mortar_wood		
wh_main_bounce_impact	wh_main_impact_vsmall_water		wh_main_impact_vsmall_mud_bounce	wh_main_impact_vsmall_grass_bounce	wh_main_impact_vsmall_rock_bounce	wh_main_impact_vsmall_rock_bounce	wh_main_impact_vsmall_sand_bounce	wh_main_impact_vsmall_snow_bounce	wh_main_impact_vsmall_leather_bounce	wh_main_impact_vsmall_wood_bounce	wh_dlc02_arrow_impact_blood_medium	
wh_main_bound_spell_solheims_bolt_of_illumination	wh_main_impact_medium_water		wh_main_bolt_of_illumination_impact	wh_main_bolt_of_illumination_impact	wh_main_bolt_of_illumination_impact	wh_main_bolt_of_illumination_impact	wh_main_bolt_of_illumination_impact	wh_main_bolt_of_illumination_impact	wh_main_bolt_of_illumination_hit	wh_main_bolt_of_illumination_impact		wh_main_unit_impact_medium
wh_main_chs_hellcannon	wh_main_impact_large_water		wh_main_weapon_hell_cannon_impact	wh_main_weapon_hell_cannon_impact	wh_main_weapon_hell_cannon_impact	wh_main_weapon_hell_cannon_impact	wh_main_weapon_hell_cannon_impact	wh_main_weapon_hell_cannon_impact		wh_main_weapon_hell_cannon_impact		wh_main_unit_impact_medium
wh_main_emp_mortar_impact	wh_main_impact_large_water		wh_main_impact_mortar_mud	wh_main_impact_mortar_grass	wh_main_impact_mortar_rock	wh_main_impact_mortar_rock	wh_main_impact_mortar_sand	wh_main_impact_mortar_snow	wh_main_impact_large_leather	wh_main_impact_mortar_wood	wh_dlc02_arrow_impact_blood_medium	wh_main_unit_impact_medium
wh_main_entity_impact	wh_main_projectile_penetration_impact		wh_main_projectile_penetration_impact	wh_main_projectile_penetration_impact	wh_main_projectile_penetration_impact	wh_main_projectile_penetration_impact	wh_main_projectile_penetration_impact	wh_main_projectile_penetration_impact	wh_main_projectile_penetration_impact	wh_main_projectile_penetration_impact	wh_dlc02_arrow_impact_blood_medium	
wh_main_fire_fireball_impact	wh_main_impact_medium_water		wh_main_fire_fireball_impact	wh_main_fire_fireball_impact	wh_main_fire_fireball_impact	wh_main_fire_fireball_impact	wh_main_fire_fireball_impact	wh_main_fire_fireball_impact	wh_main_fire_fireball_impact	wh_main_fire_fireball_impact		wh_main_unit_impact_light
wh_main_generic_debris_impact	wh_main_impact_medium_water		wh_main_generic_debris_impact	wh_main_generic_debris_impact	wh_main_generic_debris_impact	wh_main_generic_debris_impact	wh_main_generic_debris_impact	wh_main_generic_debris_impact	wh_main_generic_debris_impact	wh_main_generic_debris_impact	wh_dlc02_arrow_impact_blood_medium	
wh_main_impact_large	wh_main_impact_medium_water		wh_main_impact_large_mud	wh_main_impact_large_grass	wh_main_impact_large_rock	wh_main_impact_large_rock	wh_main_impact_large_sand	wh_main_impact_large_snow	wh_main_impact_large_leather	wh_main_impact_large_wood	wh_dlc02_arrow_impact_blood_medium	wh_main_unit_impact_medium
