cai_variables_tables
0
key	value	description
CAI_VARIABLE_FINANCE_CONST_BIAS_LEGENDARY_TURNS	0	(In-game) CAI Budgeting bias, legendary difficulty, rounds to apply for.
CAI_VARIABLE_FINANCE_CONST_BIAS_NORMAL_LEVEL	2	(In-game) CAI Budgeting bias, normal difficulty, levels to apply at.
CAI_VARIABLE_FINANCE_CONST_BIAS_NORMAL_TURNS	6	(In-game) CAI Budgeting bias, normal difficulty, rounds to apply for.
CAI_VARIABLE_FINANCE_CONST_BIAS_VERY_HARD_LEVEL	1	(In-game) CAI Budgeting bias, very hard difficulty, levels to apply at.
CAI_VARIABLE_FINANCE_CONST_BIAS_VERY_HARD_TURNS	0	(In-game) CAI Budgeting bias, very hard difficulty, rounds to apply for.
CAI_VARIABLE_FNCA_AID_MINOR_ALLY_PADJ	0.25	(In-game) In Gempei diplomatic adjustments the adjustment applied against the desire of a major clan to aid a minor clan ally when being attacked or attacking.
CAI_VARIABLE_FNCA_ALLY_MINOR_PADJ	0.25	(In-game) In Gempei diplomatic adjustments the adjustment applied against the desire of a major clan allying with a minor clan.
CAI_VARIABLE_FNCA_JOIN_MINOR_ALLY_WADJ	0.75	(In-game) In Gempei diplomatic adjustments the weighing multiplier applied for a major clan joining a war against a minor clan at the request of a minor clan.
CAI_VARIABLE_FOOD_CTRL_BUILDING_APPLY_BONUS_AT_OR_BELOW	50	(In-game) The point at or below which bonus will be provided to food producgin buildings.
CAI_VARIABLE_FOOD_CTRL_BUILDING_APPLY_BONUS_AT_OR_BELOW_REGION_ADJUSTMENT	1	(In-game) Adjustment to the food penalty thresholds based on number of regions owned by a faction.
CAI_VARIABLE_FOOD_CTRL_BUILDING_APPLY_PENALTY_BELOW	0	(In-game) The point below which a food penalty will be applied to a building option.
CAI_VARIABLE_FOOD_CTRL_BUILDING_APPLY_PENALTY_BELOW_REGION_ADJUSTMENT	2	(In-game) Adjustment to the food penalty thresholds based on number of regions owned by a faction.
CAI_VARIABLE_FOOD_CTRL_BUILDING_BONUS	0.9	(In-game) Bonus applied (per food point) for buildings that increase food up to the specified level.
CAI_VARIABLE_FOOD_CTRL_BUILDING_NEW_BUILDING_BONUS_SCALING	0.5	(In-game) When calculating food based building score adjustements, the discount applied for being a new building.
CAI_VARIABLE_FOOD_CTRL_BUILDING_PENALTY	3	(In-game) Penalty applied (per food point) for buildings that use food beyond the specified level.
CAI_VARIABLE_FOOD_CTRL_ONGOING_PROBLEM_CONVERSION_THRESHOLD_BASIC	160	(In-game) Score at or above which the ongoing food detection system will start allowing building conversion to solve the problem.
CAI_VARIABLE_FOOD_CTRL_ONGOING_PROBLEM_CONVERSION_THRESHOLD_REGION_ADJUSTMENT	0	(In-game) Per region based adjustment to CAI_VARIABLE_FOOD_CTRL_ONGOING_PROBLEM_CONVERSION_THRESHOLD_BASIC.
CAI_VARIABLE_FOOD_CTRL_ONGOING_PROBLEM_DEMOLITION_THRESHOLD_BASIC	310	(In-game) Score at or above which the ongoing food detection system will start allowing building demolition to solve the problem.
CAI_VARIABLE_FOOD_CTRL_ONGOING_PROBLEM_DEMOLITION_THRESHOLD_REGION_ADJUSTMENT	0	(In-game) Per region based adjustment to CAI_VARIABLE_FOOD_CTRL_ONGOING_PROBLEM_DEMOLITION_THRESHOLD_BASIC.
CAI_VARIABLE_FOOD_CTRL_ONGOING_PROBLEM_SCORE_PER_TURN_ACCUMULATION_CAP	50	(In-game) When accruing score for the ongoing food problem detection system the cap applied to the amount being added to the score.
CAI_VARIABLE_FORTIFIED_SETTLEMENT_FORTIFICATION_BONUS	300000	(In-game) AI strength bonus for fortified settlements.
CAI_VARIABLE_FORTIFIED_SETTLEMENT_FORTIFICATION_MULTIPLIER	5	(In-game) AI strength multiplier for fortified settlements, modified by Siege engines.
CAI_VARIABLE_FORTIFIED_SETTLEMENT_FORTIFICATION_MULTIPLIER_PRE_ASSAULT	1.1	(In-game) AI strength multiplier for fortified settlements, pre-assault.
CAI_VARIABLE_FORTIFIED_SETTLEMENT_FORTIFICATION_MULTIPLIER_SIEGE_ENGINE_DECREASE	1.75	(In-game) Reduction of fortification bonus for each siege engine present.
CAI_VARIABLE_FORTIFIED_SETTLEMENT_FORTIFICATION_MULTIPLIER_THREAT	1	(In-game) AI strength multiplier for fortified settlements  used for threat detection.
CAI_VARIABLE_GLOBAL_ENEMY_THREAT_MODIFIER	1	(In-game) Modifier for enemy strength in threat calculations. Cannot be 0.
CAI_VARIABLE_HORDE_GROUPING_HORDES_TO_SPLIT_FROM_GROUP_ON_OVERSIZE	1	(In-game) When adding a horde to an existing group the number of hordes to split from the group (excluding the new horde) to use in forming a new horde group.
CAI_VARIABLE_HORDE_GROUPING_MAXIMUM_GROUP_SIZE	3	(In-game) Maximum size of a horde group.
CAI_VARIABLE_HORDE_GROUPING_MAXIMUM_NEW_GROUP_MEMBERSHIP_DISTANCE	20	(In-game) Maximum acceptable distance from a horde to consider membership - multiplier on the median bordering inter-region distance.
CAI_VARIABLE_IMPERIUM_ATTITUDE_BONUS_MODIFIER_AI	1	(In-game) Modifier to imperium attitude bonus towards the AI.
CAI_VARIABLE_IMPERIUM_ATTITUDE_BONUS_MODIFIER_PLAYER	1	(In-game) Modifier to imperium attitude bonus towards the player.
CAI_VARIABLE_IMPERIUM_ATTITUDE_PENALTY_MODIFIER_AI	1	(In-game) Modifier to imperium attitude penalty towards the AI.
CAI_VARIABLE_IMPERIUM_ATTITUDE_PENALTY_MODIFIER_PLAYER	1	(In-game) Modifier to imperium attitude penalty towards the player.
CAI_VARIABLE_INVERT_INTERVENTION_CHANCES_THRESHOLD	2	(In-game) If the vortex ritual we're interrupting is lower than this level, we weight the different intervention ritual levels based on the INVERSE of their casting cost (so low level intervention will have higher chance). Note: ritual index starts from 0, so if it's set to 2 it means we'll use inverted weights at vortex ritual level 1 and 2. THE END
CAI_VARIABLE_MAX_CONFEDERATION_STRENGTH	1	(In-game) AI will receive a bonus to onfederating when the resulting faction would be under this proportion of human strength.
CAI_VARIABLE_MAX_GOAL_EVALAUTIONS_PER_FACTION	10	(In-game) Maximum number of goals evaluated by each faction per round.
CAI_VARIABLE_MAX_GOAL_EVALAUTIONS_PER_ROUND	300	(In-game) Maximum number of goals evaluated by all factions per round.
CAI_VARIABLE_MAX_REBEL_SIEGE_EQUIP	4	(In-game) Number of siege engines required before rebels assault a highest level fortified settlement.
CAI_VARIABLE_MIGRATION_ENEMY_STRENGTH_PROBABILITY_LOWER	0.01	(In-game) Probability of migration at the lower threshold.
CAI_VARIABLE_MIGRATION_ENEMY_STRENGTH_PROBABILITY_UPPER	0.15	(In-game) Probability of migration at and beyond the upper threshold.
CAI_VARIABLE_MIGRATION_ENEMY_STRENGTH_THRESHOLD_LOWER	2	(In-game) Lower threshold for enemy strength for migration. Expressed as a multiple of our strength.
CAI_VARIABLE_MIGRATION_ENEMY_STRENGTH_THRESHOLD_UPPER	5	(In-game) Upper threshold for enemy strength for migration. Expressed as a multiple of our strength.
CAI_VARIABLE_MIGRATION_FERTILITY_PROBABILITY	0.01	(In-game) Probability of migration when fertility is low.
CAI_VARIABLE_MIGRATION_FERTILITY_THRESHOLD	0.25	(In-game) Fertility level below which migration will be considered.
CAI_VARIABLE_MIGRATION_THREATENING_HORDE_ATTITUDE_THRESHOLD	-25	(In-game) Hordes below that attitude will be considered a threat when deciding whether to migrate.
CAI_VARIABLE_MINOR_SETTLEMENT_FIELD_BATTLE_PERCENT	0	(In-game) Percentage chance that the AI will choose to fight you on the field for non-port, minor settlement battles.
CAI_VARIABLE_MIN_REBEL_SIEGE_EQUIP	2	(In-game) Number of siege engines required before rebels assault a lowest level fortified settlement.
CAI_VARIABLE_MOBILE_STRENGTH_ARMY_WEIGHT	1	(In-game) Weight of army strength when analyzing strength on sea.
CAI_VARIABLE_MOBILE_STRENGTH_NAVY_WEIGHT	3	(In-game) Weight of navy strength when analyzing strength on sea.
CAI_VARIABLE_NIGHT_BATTLE_PERCENT	5	(In-game) Percentage chance that the AI will choose to fight you at night.
CAI_VARIABLE_OCCUPATION_DECISION_TIME_HORIZON	20	(In-game) Time in rounds beyond which specific occupation decisions information against a settlement will be forgotten.
CAI_VARIABLE_PLAYER_AP_ADJUSTMENT_DEADZONE_MAX	1	(In-game) Upper bound for player AP deadzone adjustment for threat detection purposes.
CAI_VARIABLE_PLAYER_AP_ADJUSTMENT_DEADZONE_MIN	1	(In-game) Lower bound for player AP deadzone adjustment for threat detection purposes.
CAI_VARIABLE_PLAYER_AP_ADJUSTMENT_MAX	1.1	(In-game) Upper bound for player AP adjustment for threat detection purposes.
CAI_VARIABLE_PLAYER_AP_ADJUSTMENT_MIN	0.9	(In-game) Lower bound for player AP adjustment for threat detection purposes.
CAI_VARIABLE_PUBLIC_ORDER_CTRL_BUILDING_APPLY_BONUS_AT_OR_BELOW	4	(In-game) The point at or below which bonus will be provided to public order improvement buildings.
CAI_VARIABLE_PUBLIC_ORDER_CTRL_BUILDING_APPLY_PENALTY_BELOW	4	(In-game) The point below which a public order penalty will be applied to a building option.
CAI_VARIABLE_PUBLIC_ORDER_CTRL_BUILDING_BONUS	2	(In-game) Bonus applied (per public order point) for buildings that increae public order up to the specified level.
CAI_VARIABLE_PUBLIC_ORDER_CTRL_BUILDING_NEW_BUILDING_BONUS_SCALING	0.5	(In-game) When calculating public order based building score adjustements, the discount applied for being a new building.
CAI_VARIABLE_PUBLIC_ORDER_CTRL_BUILDING_PENALTY	4	(In-game) Penalty applied (per public order point) for buildings that use public order beyond the specified level.
CAI_VARIABLE_PUBLIC_ORDER_CTRL_ONGOING_PROBLEM_CONVERSION_THRESHOLD_BASIC	16	(In-game) The public order problem score for a province beyond which conversion is considered as a solution.
CAI_VARIABLE_PUBLIC_ORDER_CTRL_ONGOING_PROBLEM_DEMOLITION_THRESHOLD_BASIC	31	(In-game) The public order problem score for a province beyond which demolition is considered as a solution.
CAI_VARIABLE_PUBLIC_ORDER_CTRL_ONGOING_PROBLEM_SCORE_PER_TURN_ACCUMULATION_CAP	5	(In-game) The maximum public order problem score that can be accumulated in one round for a given province.
CAI_VARIABLE_REBEL_QUALITY_MULTIPLIER	0.15	(In-game) Limits the rebel unit quality to (([sum of building levels in region] * multiplier) + offset) * [quality of best recruitable unit in faction province].
CAI_VARIABLE_REBEL_QUALITY_OFFSET	0.75	(In-game) Limits the rebel unit quality to (([sum of building levels in region] * multiplier) + offset) * [quality of best recruitable unit in faction province].
CAI_VARIABLE_REBEL_WAIT_TIMEOUT_ADJUSTMENT_ON_FURTHER_REBELLION_MAX	-1	(In-game) In the case that an additional rebellion would trigger in a region with an existing rebellion, by how much should that existing rebellions attack time out be adjusted. Maximum adjustment.
CAI_VARIABLE_REBEL_WAIT_TIMEOUT_ADJUSTMENT_ON_FURTHER_REBELLION_MIN	-1	(In-game) In the case that an additional rebellion would trigger in a region with an existing rebellion, by how much should that existing rebellions attack time out be adjusted. Minimum adjustment.
CAI_VARIABLE_REBEL_WAIT_TIMEOUT_MAXIMUM	7	(In-game) Maximum timeout used for a rebel faction before it should consider an arbitrary attack.
CAI_VARIABLE_REBEL_WAIT_TIMEOUT_MINIMUM	2	(In-game) Minimum timeout used for a rebel faction before it should consider an arbitrary attack.
CAI_VARIABLE_RFB_EASY_NO_BELOW_MIN_UNITS	5	(In-game) Below this number of defending units don't allow retreat (easy difficulty).
CAI_VARIABLE_RFB_EASY_YES_BELOW_RATIO_NO_SETT_RETREAT	0.2	(In-game) If defender can not retreat to a settlement and defender/attacker strength ratio is below this number, retreat (easy difficulty).
CAI_VARIABLE_RFB_EASY_YES_BELOW_RATIO_SETT_RETREAT	0.4	(In-game) If defender can retreat to a settlement and defender/attacker strength ratio is below this number, retreat (easy difficulty).
CAI_VARIABLE_RFB_HARD_NO_BELOW_MIN_UNITS	2	(In-game) Below this number of defending units don't allow retreat (hard difficulty).
CAI_VARIABLE_RFB_HARD_YES_BELOW_RATIO_NO_SETT_RETREAT	0.4	(In-game) If defender can not retreat to a settlement and defender/attacker strength ratio is below this number, retreat (hardl difficulty).
CAI_VARIABLE_RFB_HARD_YES_BELOW_RATIO_SETT_RETREAT	0.6	(In-game) If defender can retreat to a settlement and defender/attacker strength ratio is below this number, retreat (hard difficulty).
CAI_VARIABLE_RFB_NORMAL_NO_BELOW_MIN_UNITS	4	(In-game) Below this number of defending units don't allow retreat (normal difficulty).
CAI_VARIABLE_RFB_NORMAL_YES_BELOW_RATIO_NO_SETT_RETREAT	0.3	(In-game) If defender can not retreat to a settlement and defender/attacker strength ratio is below this number, retreat (normal difficulty).
CAI_VARIABLE_RFB_NORMAL_YES_BELOW_RATIO_SETT_RETREAT	0.5	(In-game) If defender can retreat to a settlement and defender/attacker strength ratio is below this number, retreat (normal difficulty).
CAI_VARIABLE_RFB_TEST_VERSUS_AI	1	(In-game) Above zero, allows AI to consider retreat versus another AI.
CAI_VARIABLE_RFB_VHARD_NO_BELOW_MIN_UNITS	0	(In-game) Below this number of defending units don't allow retreat (very hard difficulty).
CAI_VARIABLE_RFB_VHARD_YES_BELOW_RATIO_NO_SETT_RETREAT	0.45	(In-game) If defender can not retreat to a settlement and defender/attacker strength ratio is below this number, retreat (very hard difficulty).
CAI_VARIABLE_RFB_VHARD_YES_BELOW_RATIO_SETT_RETREAT	0.65	(In-game) If defender can retreat to a settlement and defender/attacker strength ratio is below this number, retreat (very hard difficulty).
CAI_VARIABLE_SAFE_PATH_STRENGTH_MODIFIER	1	(In-game) Modifier for own strength in safe path calculations.
CAI_VARIABLE_SETTLEMENT_NIGHT_BATTLE_PERCENT	5	(In-game) Percentage chance that the AI will choose to fight you at night for settlement battles.
CAI_VARIABLE_SETTLEMENT_STRENGTH_MODIFIER_ASSAULT	1	(In-game) Personality-based modifier for assaulting settlements.
CAI_VARIABLE_SETTLEMENT_STRENGTH_MODIFIER_DEFEND	1	(In-game) Personality-based modifier for defending settlements.
CAI_VARIABLE_SQUALOR_CTRL_BUILDING_APPLY_BONUS_AT_OR_BELOW	0	(In-game) The point at or below which bonus will be provided to squalor/sanitation improvement buildings.
CAI_VARIABLE_SQUALOR_CTRL_BUILDING_APPLY_PENALTY_BELOW	0	(In-game) The point below which a squalor/sanitation penalty will be applied to a building option.
CAI_VARIABLE_SQUALOR_CTRL_BUILDING_BONUS	2	(In-game) Bonus applied (per positive squalor/sanitation point) for buildings that increase squalor/sanitation up to the specified level.
CAI_VARIABLE_SQUALOR_CTRL_BUILDING_NEW_BUILDING_BONUS_SCALING	0.5	(In-game) When calculating squalor/sanitation based building score adjustements, the discount applied for being a new building.
CAI_VARIABLE_SQUALOR_CTRL_BUILDING_PENALTY	10	(In-game) Penalty applied (per negative squalor/sanitation point) for buildings that use squalor/sanitation beyond the specified level.
CAI_VARIABLE_SQUALOR_CTRL_ONGOING_PROBLEM_CONVERSION_THRESHOLD_BASIC	31	(In-game) The squalor/sanitation problem score for a province beyond which conversion is considered as a solution.
CAI_VARIABLE_SQUALOR_CTRL_ONGOING_PROBLEM_DEMOLITION_THRESHOLD_BASIC	61	(In-game) The squalor/sanitation problem score for a province beyond which demolition is considered as a solution.
CAI_VARIABLE_SQUALOR_CTRL_ONGOING_PROBLEM_SCORE_PER_TURN_ACCUMULATION_CAP	5	(In-game) The maximum squalor/sanitation problem score that can be accumulated in one round for a given province.
CAI_VARIABLE_STRATEGIC_BALANCE_BASE_HEX_VALUE	0.1	(In-game) Parameter for strategic balance calculation.
CAI_VARIABLE_STRATEGIC_BALANCE_BASE_VALUE	300	(In-game) Parameter for strategic balance calculation.
CAI_VARIABLE_STRATEGIC_BALANCE_HEX_VALUE_CAP	5	(In-game) Parameter for strategic balance calculation.
CAI_VARIABLE_STRATEGIC_BALANCE_HEX_VALUE_MULTIPLIER	1E-06	(In-game) Parameter for strategic balance calculation.
CAI_VARIABLE_STRATEGIC_CONTEXT_ADJUSTMENT_PER_NUM_ENEMIES	1	(In-game) Adjustment to strategic balance is applied for every X enemies.
CAI_VARIABLE_STRATEGIC_CONTEXT_ADJUSTMENT_VALUE	-0.04	(In-game) Adjustment to strategic balance applied for the purpose of strategic context calculations.
