quotes_tables
0
quote_onscreen	quote_person	key
He may not have loved me the most; that honour, I am certain, went to Isabella, but he certainly loved me the longest.	mannfred_von_carstein	3974
Konrad… is… betrayed…	konrad_von_carstein_last_words	3984
Sorry to disappoint you, but it seems I am still very much alive.	konrad_von_carstein	3992
Ah, but the truth is like an expensive whore, Jerek. She comes in many dresses and will bend over for any with the money to pamper her.	konrad_von_carstein	4002
Surrender and serve me in life, or die and slave for me in death.	vlad_von_carstein	4008
Stick 'em wiv arrers'. Stick 'em with knives an' swords an' spears. Stick 'em quick and stick 'em where it 'urts. But most of all, stick 'em when they's lookin' the other way.	gorduz_backstabber	4014
Let 'em tell da King. Da east belongs to da Orcs. Da east belongs to Morglum. Da east is green.	morglum_necksnapper	4020
There ain't nowt a cannon can do that a determined Dwarf with a hammer can't achieve.	durgrim_redman	4028
Manling coins are like their words: never trust them. Use your weighing scales and keep your axe handy!	dwarfen_saying	4038
Put your trust in stone and iron - stone and iron have always been true friends of the Dwarfs.	dwarfen_saying	4042
We are the masters of night, and humans are but our cattle. While we walk upright, they're on their knees.	mannfred_von_carstein	4045
Blood for the Blood God! And Skulls for his throne!	zalesh	4051
Fill the moat with the corpses of your comrades. Trample on their broken carcasses to reach the ramparts. Bring down the walls with the weight of the dead.	arbaal_the_undefeated	4055
Burn! Burn with the fires of Change! Scream your hymns to Tzeentch!	talgatha_the_fallen	4064
Be vigilant and strong. Who knows what evil lurks in the vacillation of a weak fool?	witch_hunter_motto	4072
I think there's too many of them this time.	kaspar_von_kelten	4079
There are no problems that cannot be solved with cannons.	boris_kraus_of_nuln	4092
All life consists of highly organised matter, governed by the laws of nature. Thus all life is a struggle against Chaos, a struggle that is ultimately destined to be lost.	albrecht_of_nuln	4096
No man can be judged until he stands alone before his god.	alaric	4103
The daemons of Chaos can be likened to hungry and rabid wolves. The shepherd should not waste his time hating the wolf that attacks his flock. He should simply kill it.	volkmar	4107
At some point in his life, every man finds himself confronted by the reality of evil. The test comes in whether he is willing to face it unflinching, or turn aside and by his inaction let that evil prosper.	captain_helmur_van_hal	4109
It is better to take your own life than to fall into the hands of the Kurgan.	karl_althaus	4115
The Chaos Wastes are bleak and barren beyond compare. But this desolate nightmare still teems with unholy life. The Dark Gods use it as a breeding ground for all that is evil and blasphemous. No matter how many abominations we destroy, the Chaos Waste spits out more than before.	ulfred_wasmeier	4122
How does an Averlander tell a difference between his woman and his cattle? He can't!	reiklander_joke	4127
Quick thinkin' makes for fast mistakes.	stirlander_proverb	4129
Why do we raid your lands? It is the will of the Gods.	zar_sezask	4135
There is nothing if there isn't war.	zar_uzelek	4137
Tradition must be respected, for it is the voice of our ancestors.	dwarf_proverb	4147
Typical Goblin weapon, a great bouncing mouth that will eat anything it happens to land on. No subtlety to it, no innovation, no invention. Still, a crossbow bolt or two will see to them alright.	gialar_kunst	4157
It's a game, yes, but there are rules. There are always rules, except for us.	isabella_von_carstein	4161
Today is a good day to be dead.	zacharias_the_everlasting	4171
I don't torture you because I enjoy it. I do it because I need you to understand what I am capable of, because I need you to be afraid.	mannfred_von_carstein	4177
This land is my home, my birthright. The wind and rain are my allies. The trees and stones are my foot soldiers. The very earth will rise up against you should you try to take it from me. And my people will feast on your bones.	mannfred_von_carstein	4184
Oi! Snebber! Woz you lookin' at my choppa? Wot? Howzabout you looks at it a bit closer eh? Yeah? Yeah? Eat dis!	gabber	4188
Gork and Mork made da Goblinz for us to kick, kill, and eat. Dey iz nothing. Dey iz less than nothing. Even dere magic iz weak an' pointless. Only use Dey got in a fight iz catchin' Humie arrows. Wiv der 'eads.	sheglak	4194
And in that time of darkness Man became Beast, and Beast became Man.	anon	4244
The Beastmen: they consume order and spit out Chaos in its place.	anon	4246
I looked up into the sky and there I saw my doom, lithesome yet dread. What creatures were these? How many tortures would I endure before peace was mine? A thousand wretched forms united only by a hatred that never ends. Malign and savage to the last, they brim with bitterness for the works of man.	bestiarie	4251
Stamp and trample! Gore and crush!	bhorgos	4255
A seething, roaring, stinking mass of hair and muscle, sprinting and bounding towards us...	eisner	4258
We heard it first. Wailing and mewling. Growling and fading. The trees bucked and cried and I thought they tried to pull up their roots and flee from what drew near. Would that we had been so wise...	reikwald	4268
Shoot it down! For the sake of Sigmar, reload, reload!	udolf	4275
Then came one they called Gibberkin. No fouler thing have I ever witnessed.	khargar	4285
Their walls will fall. Their faith will fail. Their flesh will tear.	malagor	4292
From the darking woods they come, on cloven hoof and twisted claw. The Beastmen they are called, these ones; less than human, yet also something more.	malfeasant	4297
One fell night when Morrslieb leered fat in the sky, Heinrich's body came to resemble that which festered in his soul like a rotting wound, an unhealed scar. Every beast in the village whickered and shrieked in fear that night, but Heinrich's screams were loudest of all, for Morrslieb's caress is not gentle.	onceman	4307
If we run, they will claw us into the dirt and their hounds will gnaw the gristle from our bones. If we surrender, they will bind and bleed us, and Minotaurs will feast on our flesh. If we fight, they will hack and rip and bite and butcher, and they will swallow our still-beating hearts. So many deaths. Which will we choose?	nowl	4312
And so did the fair village of Sternburg come under the hateful, greed-filled gaze of the Beast. Intent these foul Beasts were of naught but the spilling of blood, the burning of houses and the butchery of all. Mayhap they wished to gather foodstuffs and drink, but I believe this beyond their bestial intellect. A night of terrors and tragedy it was for the people of Sternburg...	reinhold	4317
Powerful was its stature, tall and curving were its horns, and filled with hatred and cunning were its eyes, glowing in the night. It lashed about with a barbed whip, the touch of which cut and tore. With a roar, it pointed, and a pack of nightmare dog-beasts turned their feral attention towards me.	renkler	4325
You may have felled the trees. You may have built a wall. But these are the blood-grounds of the Beastmen. They will not rest until your homes are ground beneath their hooves and your chewed flesh is rotting in their guts.	rittlehof	4334
Really the only question is: what gets to eat you?	rittlehof	4337
All around me, they are talking, whispering. Put out their eyes, pluck out their filthy tongues, still they talk, always taunting. Braying in the fields, they plot, they approach in the night, drawing always nearer. They come!	schwalz	4343
And then, the Beastmen were upon us - breaking apart our cannons like they were matchwood. As you can imagine, we ran, lest the disgusting mass consumed us. Only Sigmar knows how we made it to safety, but some were not so nimble in their escape, and paid - screaming - with their lives.	martin_fortberg	4352
Never have I seen such a heaving mass of tusk and flesh, appearing as if from nowhere and careening towards us with truly wild abandon. We had no chance, and I am only alive to speak of it because - to my eternal shame - I ran like a craven coward from the slavering herd.	christof_gamboldini	4354
The hellish, slavering Beastmen warherds are the very embodiment of darkness itself - the Realm of Chaos made manifest.	petrus_staveheart	4358
Within my library there is all knowledge - of gods lost and new, of tyrants and heroes, of lost cities and civilisations... and forbidden lore. Yes, there is wisdom that should not be learnt by the likes of me or you. And yet... shall we take a peek?	andreas_halldenstadt	4368
They call me mad - mad! But 'twas I who stopped those invading unicorns. None other! Mad indeed…	marius_leitdorf	4375
I realised, as my brush drifted over the canvas, that I was no longer painting the likeness of a man, of an Emperor, but of Sigmar himself - reborn!	rineheart_prinzbild	4384
The riving flow of Chaos must be met with order. The purge of heresy and the restoration of civility. Those harbouring impure thoughts must be washed away by the cleansing flame; it is the only way.	petrus_staveheart	4386
They say of Marienburg that a man can find whatever he wants amongst the madding throngs. They also say that a man will almost certainly find what he does not want as part of the bargain…	christof_gamboldini	4391
We have gazed upon the forbidden knowledge of ancient men, of wisened scribes, and powerful fools. All have a place within my library. And then, there are the… darker corners… Do we dare?	andreas_halldenstadt	4398
I have unshakeable faith in the percussive power of the Imperial battery. Yet there are things out there, dark and twisted things, that make me wish they fired just a little faster…	martin_fortberg	4408
Did you know that Sigmar himself worshipped Ulric? Yes, yes - so we're all Sons of the Wolf really. Yes, oh yes, he whispers to me, tells me these things. Secret things…	danric_hattsvainn	4410
Proud Middenheim juts out of the forest atop the Ulricsberg, a proud white lupine fang, defiant. It dares any who would denounce Ulric to try their might; it goads their inevitable failure.	ivan_steinmann	4419
A nightmare in the flesh is Helman Ghorst. I saw him once, I did. Ensconced in a cart pulled not by horses, nor demon steeds, but men. And not just any men - his own dead brothers resurrected! Makes you shudder…	eckhart_blitz	4422
Where march you, men of Reikland, where carry you halberd and sword? We march to war for our Emperor, our saviour and our lord.	empire_soldiers_song	4428
Tomorrow we go to war, to face the hosts of Chaos, Tomorrow we will be buried, in cold graves that await us.	empire_soldiers_song	4432
And when the fighting is done, and the sun goes down at night, Hear my prayer, save my soul, and take me to Sigmar's light.	empire_soldiers_song	4436
The Emperor can only see as far as his gilded throne in Averland will allow. What the Supreme Elector cannot see, cannot hurt him. Not yet, anyway…	dietrich_mirtis	4440
And I beheld a great host descending; a horde of bodies, not one of them complete. An arm missing here, a leg there, a jaw elsewhere; a desiccated mass of horror, tumbling from the mountainside…	essen_ford_survivor	4449
At the zenith of our ancient power, it was a wonder to the world; more beautiful then even Everpeak, open to the sky. A sign of our wealth and power, strong beyond the measure of all. We thought it would never fall and the mines would be ours forever...	gurnisson_glorious	4455
What fools we were. In pride we built Eight Peaks, sure of our mastery of stone and the dark beneath the world. Yet even as we built the city, the seeds of its doom were planted.	gurnisson_inhabitant	4456
We were weary of war when the Black Mountains belched forth their cloud of ash; our people had returned to the safety of their cities. Yet from the heart of our realm, from the place we imagined ourselves the strongest, the foe burst forth...	gurnisson_inhabitant	4464
From the tunnels far below any we had dug, our enemies struck into the core of the fortress. Through the mines that had been the source of our wealth poured armies of Goblins and rat-like Skaven and things far, far worse…	gurnisson_inhabitant	4473
When we first came here we numbered five hundred, with a few mannish allies. The only perils we faced were the Orcs and their followers. We cleared this keep and parts of the upper city as a prelude to reclaiming our ancient mines.	magda_freyadotter	4482
Ach, manling, you have some inkling of how far we have fallen. The days of our glory are behind us. Once we created all this. Now we huddle in a few shrunken cities and wait for the end of the world.	gurnisson_inhabitant	4491
The day of the Dwarf has gone, never to return. We crawl like maggots through the work of elder days and the glory of what once was ours mocks us today.	gurnisson_inhabitant	4499
Make sure you tell all those humies, humie, make sure you tell ’em good, make sure you tell ’em about the King in da mountain. Tell ’em all about me, Skarsnik, tell ’em all about my life, leave nuffink out.	skarsnik	4501
Dat’s what I want, a good story. 'Cos I am going to tell you a good story. An’ I want you to tell all da uvver ’umies out dere who the biggest and meanest and bestest Goblin in the world is, you got dat? And if you don’t do it in pretty words den I’ll come and eat your liver while you watches, got dat?	skarsnik_bickenstadt	4511
When da runtboss told us to work, I’d set me gang up and sneak away. We’d be down dere days, sometimes, and as long as I came back wiv da goods, it didn’t matter. I’d see fings… incredible fings.	skarsnik_life	4515
And this big Orc made of stars, he said, “You!” – ’e shouts lots. “You! Little greeny! Go home! Go home and be da biggest and bestest gobbo since Grom da Paunch flattened da pansies! Go on! Go on home now!” You might fink dat’s nonsense, but it ain’t, oh it ain’t!	skarsnik_life	4521
Down, Gobbla! Soon yoo’ll get to eat. Dere’ll be plenty of stunties to munch on. I got a plan…	skarsnik_squig	4525
I dreamed of opening up the Ungdrin again, so that armies might freely march between my, Kazador’s and Thorgrim’s realms. I dreamed of reopening the mines, of filling the coffers of our Clan with gold and jewels.	belegar_ironhammer	4534
Right, are you ready, my most courageous of kin? We're going to go in there and we're going to kill all the filthy, stinking grobi we set eyes upon, and we're going to take back the Eight Peaks for the glory of Clan Angrund and the Karaz Ankor! Now, are you with me?	belegar_preparing	4535
Some of you will, undoubtedly, die. Well, quite a lot of you, I should think, but when that happens you just make sure you take as many of those green-skinned grobi scumbags with you as you possibly can, by Valaya! Yes?	belegar_assault	4541
A year's supply of Bugman's to the Dawi who brings me Skarsnik's head! Best pick it up by the ears though, I've got a good idea where exactly it's been…	belegar_assault	4542
I hunted the interloper with the practiced gift of my people. His folly was borne in every hurried fumble, every snapped twig. I was the breath of the forest, the rustle of leaves. I was justice.	charoi	4548
All tunnels lead to Skavenblight.	skaven_phrase	4551
There are many who would defile the sanctity of the forest. Dwarfs avariciously crave our sacred timber, while wizards would siphon the energies of our life. All will be expunged. Athel Loren will be defended.	ethalin	4552
Warboss Grak Beastbasha of the Red Snakes tribe was once visited by a vision from Gork (or possibly Mork) that inspired him to lead a horde of more than five thousand sun-crazed Savage Orcs in a march through the jungle to claim the ruins of the temple-city of Itza Chiquita. On their way, they were regularly waylaid, led into the pathway of hunting monsters, and picked off mercilessly by poison darts. It took only seven Chameleon Skinks to ensure that not a single Greenskin from that formidable horde survived. Such are the dangers of Lustria....	lost_waaagh	4555
The forest speaks, to those who listen. We move and dance, anticipating the will of Athel Loren. Through us, the trees and vines talk; we paint their words onto the page.	sarathai	4560
There was once a place beneath Durthu's ancient husk where wisdom and compassion once flourished, and all were better for it. But that is gone now, purged by centuries of malice and war. What remains of Durthu's heart now beats only to avenge.	menlui	4562
In the Skaven world, not unlike our own, the strongest eats the best portion and every other rat plots to take that place for himself.	ammelie_meyer	4567
Athel Loren is at once salvation and damnation. We walk the bough betwixt greatness everlasting and complete annihilation. Only the forest has the answer, and the forest is too-oft silent to the question.	woodwhisper	4569
Please, come in and join me for dinner. I can see from the way you dress, you are a man of exquisite... taste.	isabella_von_carstein	4573
What dwells in the forest that is so 'sacred'? What says we can't have a slice too? The timber in them woods is much needed, and by Grimnir's ancient beard we shall have it…	stonesplitter	4581
Manlings don’t like it, but I find a good squeeze of rats’ blood into the hair and beard keeps the Skaven’s noses confused. Long enough for you to get your axe into their brains, anyway.	behram	4582
They say they live high above our heads, and deep beneath the ground of the forest. It's magic, you know. They weave it to make themselves homes, and to hide from us. I mean, I've never seen them, of course, but that's what they say…	fontaine	4585
Have you seen the Spellsingers move? Or the Wardancers dance? It is a sight to behold; a lesson in beauty, and poetry. And death, of course, almost always certainly death. But, my word, what wonders…	branchclimber	4586
Leave tunnels for the Dwarfs, manlings, or at least take one of us with you if you must go down below. You’ll only get lost down there alone. And there are more horrors in the dark than just the Skaven, trust me.	behram	4587
I take offence at that. Our weapons may not be quite as deadly to our enemies, but that doesn’t mean that our engineering is lesser than the Skaven's. For my money, when a weapon explodes in your hands more often than at the enemy, it’s not much of a weapon at all. Right?	behram	4592
We record the passing of the seasons, but we cannot predict them. It is simply how things are. In many ways, this is like life, no? It moves and changes, but who can say when, or how it will happen.	fleetfoot	4596
They look a lot bigger than you when you’re up close and they’ve got their claws out, especially the big fat ones. But so do Elves and Men. I tell you, Skaven go down a lot easier. All that fur is a ruse - underneath they’re as lean as a Goblin, and just as easily smashed with a good axe-blow.	behram	4598
And King Louen did wield the Sword of Couronne, and he did slay the herds of beasts and the tide of green death that threatened the fair land of Bretonnia! It is written, oh yes - it's all here in the finest scribe's hand!	andreas_halldenstadt	4606
Yes, we fought alongside the Bretonnians. One fellow insisted on calling me "serf" even though I had tactical command. Me and some of the lads unhorsed the swine while no one was looking. He probably hasn't learned his lesson though...	christof_gamboldini	4607
Apparently, we fight with "peasants' weapons" and "without honour from afar". Whatever, I say, the results speak for themselves - they got chopped up and we reduced the Greenskins to a smelly puddle on the battlefield!	martin_fortberg	4612
An army that seeks to fight without the protection of the Eagle Claws is clearly courageous or inept. Either way, I wish no part in it.	eolaran_greyhawk	4614
...And Orion is consumed by flame, only to be born anew; a cycle of regeneration without end. As he emerges once again, he bears the memories of those who have come before; branded by the flame.	silverwing	4617
Those Knights who swear fealty to the Lady, and to the King, ride to defend what was and what will be again.	celeste_verite_damsel	4622
The Lady, though we owe all to her, is ever fickle. 'Tis only to Bretonnians that she does appear, and yet to Bretonnians she will also withhold her grace, should they ever err or stumble on the path. Such is her unfaltering way.	louen_king	4624
The desire for errantry beats in the heart of every noble Bretonnian but not the peasants, you understand? We feel it in every motion, in every step, in every breath. But the peasants, of course, do not. Obviously.	gregoire	4625
I may be small, but I’m strong. Hell, ten years in a Skaven mine makes you damned strong. If I get in close, I can snap their puny necks like a twig. I could teach you Empire boys a thing or two about it, that’s as sure as mutton.	fassbinder	4626
Oh I see them, the Bretonnians. Yes, I see them. In their gilded towers with their shiny banners and their glittering horses. Tosh. Tosh and gaudy nonsense I say! Yet those horses ARE pretty…	markus_leibniz	4629
The Bretonnians? Aye, I know 'em. Arrogant lot, full of fancy ideas about valour and chivalry and what not. Yet they've no love for the grobi, mind you, so that makes 'em a firm friend to the Dawi!	darthon_ironbeard	4634
Listen up boys. In my experience, there are three types of Skaven: white ones, black ones, and everything else. Some may be big, some small, but all die covered in their own pi...	gregor_schmidt	4636
Mousillon was once ruled by a just and even-handed ruler, yet no more. Now that land is blighted; forsaken by the light and all but the most stalwart residents. Death stalks Mousillon, and they call him "My Lord".	petrus_staveheart	4638
The true power of Bretonnian martial ability is displayed in towering trebuchets. No walls, nor gate, nor city can stand against the ceaseless strength of these man-made marvels.	lafayette_taureau	4643
You suck your thumb and your teeth will stick out! And if you don’t stop, you’ll grow whiskers and a snout, too! Where do you think Skaven come from, hmm? They’re all little boys who sucked their thumbs!	frau_wilchers	4646
Many whisper that the Fay Enchantress IS the Lady herself, but she denies these rumours. All the same, she speaks the Lady's will, and knows the Lady's power. Hers is a strength that supports all of Bretonnia.	marcelle_du_nottin	4650
