faction_banners_tables
0
key	primary_blue	primary_green	primary_red	secondary_blue	secondary_green	secondary_red	symbol	tertiary_blue	tertiary_green	tertiary_red
wh2_main_skv_clan_skyre	115	163	176	39	71	38		0	0	0
wh2_main_skv_clan_spittel	110	127	58	9	209	221		0	0	0
wh2_main_skv_grey_seer_clan	134	165	171	42	151	149		0	0	0
wh2_main_skv_skaven	16	40	196	64	64	64		0	0	0
wh2_main_skv_skaven_intervention	64	64	64	23	35	222		0	0	0
wh2_main_skv_skaven_qb1	12	112	159	31	48	68		0	0	0
wh2_main_skv_skaven_qb2	12	112	159	31	48	68		0	0	0
wh2_main_skv_skaven_qb3	12	112	159	31	48	68		0	0	0
wh2_main_skv_skaven_qb4	12	112	159	31	48	68		0	0	0
wh2_main_skv_skaven_rebels	12	112	159	31	48	68		0	0	0
wh2_main_skv_unknown_clan_def	123	146	154	95	77	124		0	0	0
wh2_main_skv_unknown_clan_hef	123	146	154	126	115	68		0	0	0
wh2_main_skv_unknown_clan_lzd	123	146	154	110	127	55		0	0	0
wh2_main_skv_unknown_clan_skv	123	146	154	54	102	54		0	0	0
wh2_main_vmp_necrarch_brotherhood	121	75	105	219	180	69		121	75	105
wh2_main_vmp_strygos_empire	122	87	36	0	0	188		122	87	36
wh2_main_vmp_the_silver_host	217	217	217	71	51	21		217	217	217
wh2_main_vmp_vampire_coast	71	51	21	129	161	57		71	51	21
wh2_main_wef_bowmen_of_oreon	223	229	237	84	128	83		223	229	237
wh_dlc03_brt_bretonnia_qb1	178	50	50	50	214	243		50	50	200
wh_dlc03_brt_bretonnia_qb2	178	50	50	50	214	243		50	50	200
wh_dlc03_brt_bretonnia_qb3	178	50	50	50	214	243		50	50	200
wh_dlc03_bst_beastmen	21	149	220	29	34	101		21	149	220
wh_dlc03_bst_beastmen_ally	107	119	141	40	151	190		107	119	141
wh_dlc03_bst_beastmen_brayherd	21	149	220	29	34	101		21	149	220
wh_dlc03_bst_beastmen_chaos	25	25	25	170	198	222		25	25	25
wh_dlc03_bst_beastmen_chaos_brayherd	25	25	25	170	198	222		25	25	25
wh_dlc03_bst_beastmen_qb1	107	119	141	40	151	190		107	119	141
wh_dlc03_bst_beastmen_qb2	107	119	141	40	151	190		107	119	141
wh_dlc03_bst_beastmen_qb3	107	119	141	40	151	190		107	119	141
wh_dlc03_bst_beastmen_rebels	107	119	141	40	151	190		107	119	141
wh_dlc03_bst_beastmen_rebels_brayherd	107	119	141	40	151	190		107	119	141
wh_dlc03_bst_jagged_horn	159	167	143	90	124	130		159	167	143
wh_dlc03_bst_jagged_horn_brayherd	159	167	143	90	124	130		159	167	143
wh_dlc03_bst_mini_beastmen_rebels	107	119	141	40	151	190		107	119	141
wh_dlc03_bst_mini_beastmen_rebels_brayherd	107	119	141	40	151	190		107	119	141
wh_dlc03_bst_mini_jagged_horn	159	167	143	90	124	130		159	167	143
wh_dlc03_bst_mini_jagged_horn_brayherd	159	167	143	90	124	130		159	167	143
wh_dlc03_bst_mini_khazrak_herd	21	149	220	29	34	101		21	149	220
wh_dlc03_bst_mini_khazrak_herd_brayherd	26	122	188	29	34	101		26	122	188
wh_dlc03_bst_mini_redhorn	10	52	208	101	139	140		10	52	208
wh_dlc03_bst_mini_redhorn_brayherd	10	52	208	101	139	140		10	52	208
wh_dlc03_bst_mini_ripper_horn	124	99	112	90	124	130		124	99	112
wh_dlc03_bst_mini_ripper_horn_brayherd	124	99	112	90	124	130		124	99	112
wh_dlc03_bst_mini_shadowgor	31	59	89	113	113	113		31	59	89
wh_dlc03_bst_mini_shadowgor_brayherd	31	59	89	113	113	113		31	59	89
wh_dlc03_bst_mini_skrinderkin	0	135	225	90	124	130		0	135	225
wh_dlc03_bst_mini_skrinderkin_brayherd	0	135	225	90	124	130		0	135	225
wh_dlc03_bst_redhorn	10	52	208	101	139	140		10	52	208
wh_dlc03_bst_redhorn_brayherd	10	52	208	101	139	140		10	52	208
wh_dlc03_emp_carroburg	38	38	146	225	225	230		38	38	146
wh_dlc03_emp_cult_of_ulric	220	175	155	225	225	230		220	175	155
wh_dlc03_emp_empire_qb1	243	243	243	50	214	243		50	50	172
wh_dlc03_emp_empire_qb2	243	243	243	50	214	243		50	50	172
wh_dlc03_emp_empire_qb3	243	243	243	50	214	243		50	50	172
wh_dlc03_emp_empire_qb4	243	243	243	50	214	243		50	50	172
wh_dlc03_emp_empire_rebels	232	232	232	50	50	196		56	56	56
wh_dlc03_emp_hochland	87	126	50	188	229	241		87	126	50
wh_dlc03_emp_marienburg	49	170	219	75	218	235		180	179	179
wh_dlc03_emp_marienburg_rebels	118	118	118	180	179	179		239	239	242
wh_dlc03_emp_middenland	118	50	50	45	45	45		186	201	206
wh_dlc03_emp_middenland_qb1	118	50	50	186	201	206		118	50	50
wh_dlc03_emp_middenland_qb2	118	50	50	186	201	206		118	50	50
wh_dlc03_emp_wissenland_qb1	56	56	56	188	229	241		50	50	177
wh_dlc03_emp_wissenland_qb2	56	56	56	188	229	241		50	50	177
wh_dlc03_emp_wissenland_qb3	56	56	56	188	229	241		50	50	177
wh_dlc03_emp_wissenland_qb4	56	56	56	188	229	241		50	50	177
wh_dlc03_grn_black_pit	27	27	26	40	151	190		27	27	26
wh_dlc03_grn_black_pit_waaagh	27	27	26	40	151	190		27	27	26
wh_dlc03_grn_gloomy_woods	28	88	79	225	225	230		28	88	79
wh_dlc03_grn_gloomy_woods_waaagh	28	88	79	225	225	230		28	88	79
wh_dlc03_grn_greenskin_rebels	94	199	202	182	182	182		255	255	255
wh_dlc03_grn_greenskin_rebels_waaagh	94	199	202	182	182	182		255	255	255
wh_dlc05_brt_mini_aquitaine	48	176	220	155	90	47		48	176	220
wh_dlc05_brt_mini_bastonne	50	213	229	83	65	188		50	213	229
wh_dlc05_brt_mini_bordeleaux	154	87	73	108	184	218		154	87	73
wh_dlc05_brt_mini_bretonnia_rebels	171	81	78	102	206	226		171	81	78
wh_dlc05_brt_mini_brionne	228	244	248	50	50	50		228	244	248
wh_dlc05_brt_mini_carcassonne	196	126	50	185	235	245		16	59	218
wh_dlc05_brt_mini_gisoreux	50	42	162	183	239	241		50	50	50
wh_dlc05_brt_mini_montfort	50	50	50	183	239	241		50	50	50
wh_dlc05_brt_mini_parravon	50	50	50	111	206	229		50	50	50
wh_dlc05_brt_mini_quenelles	150	73	28	183	239	241		150	73	28
wh_dlc05_bst_mini_beastmen_rebels	107	119	141	40	151	190		107	119	141
wh_dlc05_bst_mini_beastmen_rebels_brayherd	107	119	141	40	151	190		107	119	141
wh_dlc05_bst_mini_morghur_herd	199	218	237	29	34	101		199	218	237
wh_dlc05_bst_mini_morghur_herd_brayherd	199	218	237	29	34	101		199	218	237
wh_dlc05_dwf_mini_karak_ziflin	66	93	158	243	243	243		66	93	158
wh_dlc05_grn_mini_deff_grindaz	162	69	104	7	127	255		255	255	255
wh_dlc05_grn_mini_deff_grindaz_waaagh	162	69	104	7	127	255		255	255	255
wh_dlc05_grn_mini_greenskin_rebels	94	199	202	182	182	182		255	255	255
wh_dlc05_grn_mini_greenskin_rebels_waaagh	94	199	202	182	182	182		255	255	255
wh_dlc05_grn_mini_skullsmasherz	243	243	243	52	52	176		255	255	255
wh_dlc05_grn_mini_skullsmasherz_waaagh	243	243	243	52	52	176		255	255	255
wh_dlc05_vmp_mousillon	102	220	237	75	75	75		102	220	237
wh_dlc05_wef_argwylon	63	230	130	53	83	54		255	255	255
wh_dlc05_wef_mini_anmyr	78	116	66	49	49	150		255	255	255
wh_dlc05_wef_mini_argwylon	63	230	130	53	83	54		255	255	255
wh_dlc05_wef_mini_arranoc	60	120	58	76	179	182		255	255	255
wh_dlc05_wef_mini_atylwyth	157	171	77	81	69	54		255	255	255
wh_dlc05_wef_mini_cavaroc	83	177	74	217	217	217		255	255	255
wh_dlc05_wef_mini_cythral	58	87	47	44	72	42		255	255	255
wh_dlc05_wef_mini_fyr_darric	34	28	96	55	47	106		255	255	255
wh_dlc05_wef_mini_modryn	76	70	60	198	190	170		255	255	255
wh_dlc05_wef_mini_tirsyth	16	115	202	6	32	119		255	255	255
wh_dlc05_wef_mini_torgovann	19	26	114	58	94	144		255	255	255
wh_dlc05_wef_mini_wood_elves	80	130	55	189	220	219		255	255	255
wh_dlc05_wef_mini_wydrioth	146	215	166	128	167	90		255	255	255
wh_dlc05_wef_torgovann	19	26	114	58	94	144		255	255	255
wh_dlc05_wef_wood_elves	80	130	55	189	220	219		255	255	255
wh_dlc05_wef_wood_elves_qb1	51	114	190	191	204	203		255	255	255
wh_dlc05_wef_wood_elves_qb2	51	114	190	191	204	203		255	255	255
wh_dlc05_wef_wood_elves_qb3	19	26	114	58	94	144		255	255	255
wh_dlc05_wef_wood_elves_rebels	51	114	190	191	204	203		255	255	255
wh_dlc05_wef_wydrioth	146	215	166	128	167	90		255	255	255
wh_main_brt_artois	50	69	164	200	216	225		50	69	164
wh_main_brt_bastonne	50	213	229	83	65	188		50	213	229
wh_main_brt_bordeleaux	154	87	73	108	184	218		154	87	73
wh_main_brt_bretonnia	178	50	50	50	214	243		50	50	200
wh_main_brt_bretonnia_qb1	228	244	248	50	50	50		228	244	248
wh_main_brt_bretonnia_qb2	228	244	248	50	50	50		228	244	248
wh_main_brt_bretonnia_qb3	228	244	248	50	50	50		228	244	248
wh_main_brt_bretonnia_rebels	171	81	78	102	206	226		171	81	78
wh_main_brt_carcassonne	196	126	50	185	235	245		16	59	218
wh_main_brt_lyonesse	150	191	197	87	87	162		150	191	197
wh_main_brt_parravon	50	50	50	111	206	229		50	50	50
wh_main_chs_chaos	25	25	25	170	198	222		25	25	25
wh_main_chs_chaos_qb1	91	91	111	50	58	169		91	91	111
wh_main_chs_chaos_qb2	91	91	111	50	58	169		91	91	111
wh_main_chs_chaos_qb3	91	91	111	50	58	169		91	91	111
wh_main_chs_chaos_rebels	91	91	111	50	58	169		91	91	111
wh_main_chs_chaos_separatists	182	182	182	75	75	75		182	182	182
wh_main_dwf_barak_varr	120	50	97	243	243	243		120	50	97
wh_main_dwf_dwarf_rebels	50	50	169	50	214	243		50	50	169
wh_main_dwf_dwarfs	238	159	50	50	214	243		238	159	50
wh_main_dwf_dwarfs_qb1	50	50	169	50	214	243		50	50	169
wh_main_dwf_dwarfs_qb2	50	50	169	50	214	243		50	50	169
wh_main_dwf_dwarfs_qb3	50	50	169	50	214	243		50	50	169
wh_main_dwf_dwarfs_qb4	50	50	169	50	214	243		50	50	169
wh_main_dwf_dwarfs_seperatists_qb1	243	243	243	50	50	50		243	243	243
wh_main_dwf_dwarfs_seperatists_qb2	243	243	243	50	50	50		243	243	243
wh_main_dwf_dwarfs_seperatists_qb3	243	243	243	50	50	50		243	243	243
wh_main_dwf_dwarfs_seperatists_qb4	243	243	243	50	50	50		243	243	243
wh_main_dwf_karak_azul	107	90	50	50	197	243		107	90	50
wh_main_dwf_karak_hirn	50	161	159	243	243	243		50	161	159
wh_main_dwf_karak_izor	184	54	33	33	62	184		184	54	33
wh_main_dwf_karak_kadrin	50	50	157	243	243	243		50	50	157
wh_main_dwf_karak_norn	50	56	186	75	75	75		243	243	243
wh_main_dwf_karak_ziflin	66	93	158	243	243	243		66	93	158
wh_main_dwf_kraka_drak	165	186	50	243	243	243		165	186	50
wh_main_dwf_zhufbar	167	158	50	50	197	243		167	158	50
wh_main_emp_averland	56	56	56	58	198	238		56	56	56
wh_main_emp_empire	243	243	243	50	214	243		50	50	172
wh_main_emp_empire_qb1	232	232	232	50	50	196		56	56	56
wh_main_emp_empire_qb2	232	232	232	50	50	196		56	56	56
wh_main_emp_empire_qb3	232	232	232	50	50	196		56	56	56
wh_main_emp_empire_qb4	50	50	188	188	188	188		159	73	50
wh_main_emp_empire_qb_intro	50	50	188	188	188	188		159	73	50
wh_main_emp_empire_rebels	232	232	232	50	50	196		56	56	56
wh_main_emp_empire_rebels_qb1	188	111	50	188	229	241		188	111	50
wh_main_emp_empire_separatists	188	111	50	188	229	241		188	111	50
wh_main_emp_hochland	87	126	50	188	229	241		87	126	50
wh_main_emp_marienburg	49	170	219	75	218	235		180	179	179
wh_main_emp_marienburg_rebels	118	118	118	180	179	179		239	239	242
wh_main_emp_middenland	118	50	50	186	201	206		118	50	50
wh_main_emp_nordland	116	67	50	50	170	219		116	67	50
wh_main_emp_ostermark	104	59	159	188	229	241		56	56	56
wh_main_emp_ostland	188	229	241	50	50	196		56	56	56
wh_main_emp_stirland	51	117	64	50	157	210		50	57	161
wh_main_emp_talabecland	50	50	177	188	229	241		50	50	177
wh_main_emp_wissenland	56	56	56	188	229	241		50	50	177
wh_main_grn_black_venom	106	196	185	50	50	148		255	255	255
wh_main_grn_black_venom_waaagh	106	196	185	50	50	148		255	255	255
wh_main_grn_bloody_spearz	92	109	66	52	52	176		255	255	255
wh_main_grn_bloody_spearz_waaagh	92	109	66	52	52	176		255	255	255
wh_main_grn_broken_nose	122	207	233	52	52	176		255	255	255
wh_main_grn_broken_nose_waaagh	122	207	233	52	52	176		255	255	255
wh_main_grn_crooked_moon	243	94	94	73	186	243		255	255	255
wh_main_grn_crooked_moon_waaagh	243	94	94	73	186	243		255	255	255
wh_main_grn_greenskins	63	142	115	101	132	227		255	255	255
wh_main_grn_greenskins_qb1	50	234	240	182	182	182		255	255	255
wh_main_grn_greenskins_qb2	50	234	240	182	182	182		255	255	255
wh_main_grn_greenskins_qb3	50	234	240	182	182	182		255	255	255
wh_main_grn_greenskins_qb4	50	234	240	182	182	182		255	255	255
wh_main_grn_greenskins_rebels	94	199	202	182	182	182		255	255	255
wh_main_grn_greenskins_rebels_waaagh	94	199	202	182	182	182		255	255	255
wh_main_grn_greenskins_waaagh	63	142	115	101	132	227		255	255	255
wh_main_grn_necksnappers	133	101	66	52	52	176		255	255	255
wh_main_grn_necksnappers_waaagh	133	101	66	52	52	176		255	255	255
wh_main_grn_orcs_of_the_bloody_hand	155	131	131	52	52	176		255	255	255
wh_main_grn_orcs_of_the_bloody_hand_waaagh	155	131	131	52	52	176		255	255	255
wh_main_grn_red_eye	120	236	243	50	78	90		255	255	255
wh_main_grn_red_eye_waaagh	120	236	243	50	78	90		255	255	255
wh_main_grn_red_fangs	50	50	144	102	60	78		255	255	255
wh_main_grn_red_fangs_waaagh	50	50	144	18	18	222		255	255	255
wh_main_grn_scabby_eye	50	62	164	243	243	243		255	255	255
wh_main_grn_scabby_eye_waaagh	50	62	164	243	243	243		255	255	255
wh_main_grn_skull-takerz	92	109	66	243	64	64		255	255	255
wh_main_grn_skull-takerz_waaagh	92	109	66	243	64	64		255	255	255
wh_main_grn_skullsmasherz	243	243	243	52	52	176		255	255	255
wh_main_grn_skullsmasherz_waaagh	243	243	243	52	52	176		255	255	255
wh_main_grn_teef_snatchaz	135	80	50	61	227	203		255	255	255
wh_main_grn_teef_snatchaz_waaagh	135	80	50	61	227	203		255	255	255
wh_main_grn_top_knotz	223	229	237	110	50	50		255	255	255
wh_main_grn_top_knotz_waaagh	223	229	237	110	50	50		255	255	255
wh_main_ksl_kislev	61	53	110	230	243	243		61	53	110
wh_main_ksl_kislev_rebels	197	215	215	75	75	75		197	215	215
wh_main_nor_aesling	65	65	100	243	243	243		65	65	100
wh_main_nor_baersonling	57	91	102	243	243	243		57	91	102
wh_main_nor_bjornling	86	76	104	243	243	243		86	76	104
wh_main_nor_graeling	98	113	67	243	243	243		98	113	67
wh_main_nor_norsca_qb1	185	90	165	243	243	243		95	105	160
wh_main_nor_norsca_qb2	185	90	165	243	243	243		95	105	160
wh_main_nor_norsca_qb3	185	90	165	243	243	243		95	105	160
wh_main_nor_norsca_rebels	210	182	136	243	243	243		210	182	136
wh_main_nor_sarl	139	134	117	243	243	243		139	134	117
wh_main_nor_skaeling	99	71	55	123	86	64		99	71	55
wh_main_nor_varg	88	161	145	230	243	243		88	161	145
wh_main_teb_border_princes	50	234	248	72	78	78		50	234	248
wh_main_teb_border_princes_rebels	50	52	161	75	75	75		243	243	243
wh_main_teb_estalia	86	196	242	230	243	243		50	50	120
wh_main_teb_estalia_rebels	243	243	243	75	75	75		50	50	120
wh_main_teb_tilea	222	237	242	243	99	50		222	237	242
wh_main_teb_tilea_rebels	232	229	187	50	50	120		232	229	187
wh_main_vmp_mousillon	102	220	237	75	75	75		102	220	237
wh_main_vmp_rival_sylvanian_vamps	183	216	219	75	30	78		183	216	219
wh_main_vmp_schwartzhafen	16	16	195	90	90	90		16	16	195
wh_main_vmp_vampire_counts	75	75	75	50	50	180		75	75	75
wh_main_vmp_vampire_counts_qb1	208	214	192	174	209	80		208	214	192
wh_main_vmp_vampire_counts_qb2	208	214	192	174	209	80		208	214	192
wh_main_vmp_vampire_counts_qb3	208	214	192	174	209	80		208	214	192
wh_main_vmp_vampire_rebels	208	214	192	174	209	80		208	214	192
wh_main_vmp_waldenhof	81	182	160	75	75	75		81	182	160
