battlefield_siege_vehicles_tables
18
hit_points	key	model	battle_entity	unknown4	unknown5	unknown6	unknown7	unknown8	unknown9	unknown10	unknown11	unknown12	unknown13	unknown14	unknown15	unknown16	unknown17	unknown18	unknown19	unknown20	unknown21	unknown22
12000	bst_siege_tower_15m	bst_siege_tower_15m	siege_tower	False	3.2	False	UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	False	True	False	False	False	False	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0	2	14	1	
17000	chs_battering_ram	chs_batteringram	battering_ram	False	2	False	UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	True	True	False	False	False	False	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	1500	1	1	1	
500	chs_batteringram	chs_batteringram	battering_ram	False	2	False	UI/Battle UI/siege_vehicle_icons/siege_tower.png	-1	False	False	False	False	False	False	PLACEHOLDER	0	200	0	1	0	1	
12000	chs_siege_tower_15m	chs_siege_tower_15m	siege_tower	False	3.2	False	UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	False	True	False	False	False	False	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0	2	7	1	
17000	dwf_battering_ram	dwf_batteringram	battering_ram	False	2	False	UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	True	True	False	False	False	False	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	1500	1	2	1	
2000	dwf_batteringram	dwf_batteringram	battering_ram	False	2	False	UI/Battle UI/siege_vehicle_icons/siege_tower.png	-1	False	False	False	False	False	False	PLACEHOLDER	0	200	0	1	0	1	
12000	dwf_siege_tower_15m	dwf_siege_tower_15m	siege_tower	False	3.2	False	UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	False	True	False	False	False	False	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0	2	8	1	
17000	emp_battering_ram	emp_batteringram	battering_ram	False	2	False	UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	True	True	False	False	False	False	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	1200	1	3	1	
500	emp_batteringram	emp_batteringram	battering_ram	False	2	False	UI/Battle UI/siege_vehicle_icons/siege_tower.png	-1	False	False	False	False	False	False	PLACEHOLDER	0	200	0	1	0	1	
12000	emp_siege_tower_15m	emp_siege_tower_15m	siege_tower	False	3.2	False	UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	False	True	False	False	False	False	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0	2	10	1	
17000	grn_battering_ram	grn_batteringram	battering_ram	False	2	False	UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	True	True	False	False	False	False	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	1500	1	4	1	
500	grn_batteringram	grn_batteringram	battering_ram	False	2	False	UI/Battle UI/siege_vehicle_icons/siege_tower.png	-1	False	False	False	False	False	False	PLACEHOLDER	0	200	0	1	0	1	
12000	grn_siege_tower_15m	grn_siege_tower_15m	siege_tower	False	3.2	False	UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	False	True	False	False	False	False	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0	2	11	1	
17000	vmp_battering_ram	vmp_batteringram	battering_ram	False	2	False	UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	True	True	False	False	False	False	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	1200	1	5	1	
500	vmp_batteringram	vmp_batteringram	battering_ram	False	2	False	UI/Battle UI/siege_vehicle_icons/siege_tower.png	-1	False	False	False	False	False	False	PLACEHOLDER	0	200	0	1	0	1	
12000	vmp_siege_tower_15m	vmp_siege_tower_15m	siege_tower	False	3.2	False	UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	False	True	False	False	False	False	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0	2	12	1	wh_war_machine_vampire_large
17000	wef_battering_ram	wef_batteringram	battering_ram	False	2	False	UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	True	True	False	False	False	False	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	1200	1	0	1	wh_war_machine_wef_medium
500	wef_batteringram	wef_batteringram	battering_ram	False	2	False	UI/Battle UI/siege_vehicle_icons/siege_tower.png	-1	False	False	False	False	False	False	PLACEHOLDER	0	200	0	1	0	1	wh_war_machine_wef_medium
12000	wef_siege_tower_15m	wef_siege_tower_15m	siege_tower	False	3.2	False	UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	False	True	False	False	False	False	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0	2	6	1	wh_war_machine_wef_large
17000	nor_battering_ram	nor_batteringram	nor_battering_ram	False	2	False	UI/Battle UI/siege_vehicle_icons/battering_ram_medium.png	-1	True	True	False	False	False	False	UI/Battle UI/siege_vehicle_icons/battering_ram_cat.png	0	3000	1000	1	1	1	
500	nor_batteringram	nor_batteringram	battering_ram	False	2	False	UI/Battle UI/siege_vehicle_icons/siege_tower.png	-1	False	False	False	False	False	False	PLACEHOLDER	0	100	0	1	0	1	
12000	nor_siege_tower_15m	nor_siege_tower_15m	siege_tower	False	3.2	False	UI/Battle UI/siege_vehicle_icons/siege_tower_medium.png	-1	False	True	False	False	False	False	UI/Battle UI/siege_vehicle_icons/tower_cat.png	0	2000	0	2	7	1	
