effect_bonus_value_basic_junction_tables
0
effect	bonus_value_id
wh_main_effect_force_unit_stat_melee_attack	melee_attack_mod
wh_main_effect_force_unit_stat_melee_defence	melee_defence_mod
wh_main_effect_force_unit_stat_missile_firing_rate	mod_reload_land
wh_main_effect_force_unit_stat_missile_firing_rate	mod_reload_naval
wh_main_effect_force_unit_stat_morale	morale
wh_main_effect_general_mod_tunnel_interception_chance	tunnel_interception_chance
wh_main_effect_growth_all	province_development_growth_added_building
wh_main_effect_horde_building_gdp_mod_all	gdp_mod_all
wh_main_effect_horde_unit_replenishment_hidden	unrestricted_replenishment_bonus
wh_main_effect_hordebuilding_growth_characters	military_force_development_growth_characters
wh_main_effect_hordebuilding_growth_core	military_force_development_growth_core
wh_main_effect_hordebuilding_growth_events_faction	military_force_development_growth_events
wh_main_effect_hordebuilding_growth_if_settled_stance_variant	military_force_development_growth_stance_settled
wh_main_effect_hordebuilding_growth_if_settled	military_force_development_growth_stance_settled
wh_main_effect_hordebuilding_growth_stance	military_force_development_growth_stance
wh_main_effect_hordebuilding_growth_tech	military_force_development_growth_tech
wh_main_effect_military_force_winds_of_magic_depletion_mod_agent_actions_enemy	max_winds_of_magic_depletion_mod_agent_actions
wh_main_effect_military_force_winds_of_magic_depletion_mod_agent_actions	max_winds_of_magic_depletion_mod_agent_actions
wh_main_effect_military_force_winds_of_magic_depletion_mod_character_enemy	max_winds_of_magic_depletion_mod_character
wh_main_effect_military_force_winds_of_magic_depletion_mod_character	max_winds_of_magic_depletion_mod_character
wh_main_effect_military_force_winds_of_magic_depletion_mod_events_enemy	max_winds_of_magic_depletion_mod_events
wh_main_effect_military_force_winds_of_magic_depletion_mod_events	max_winds_of_magic_depletion_mod_events
wh_main_effect_military_force_winds_of_magic_depletion_mod_items_enemy	max_winds_of_magic_depletion_mod_items
wh_main_effect_military_force_winds_of_magic_depletion_mod_items	max_winds_of_magic_depletion_mod_items
wh_main_effect_military_force_winds_of_magic_depletion_mod_other_enemy	max_winds_of_magic_depletion_mod
wh_main_effect_military_force_winds_of_magic_depletion_mod_other	max_winds_of_magic_depletion_mod
wh_main_effect_military_force_winds_of_magic_depletion_mod_region_enemy	max_winds_of_magic_depletion_mod_region
wh_main_effect_military_force_winds_of_magic_depletion_mod_region	max_winds_of_magic_depletion_mod_region
wh_main_effect_military_force_winds_of_magic_depletion_mod_stance_enemy	max_winds_of_magic_depletion_mod_stances
wh_main_effect_military_force_winds_of_magic_depletion_mod_stance	max_winds_of_magic_depletion_mod_stances
wh_main_effect_military_force_winds_of_magic_starting_mod_enemy	starting_winds_of_magic_mod
wh_main_effect_military_force_winds_of_magic_starting_mod	starting_winds_of_magic_mod
wh_main_effect_modify_vassal_income	extra_income_from_vassals
wh_main_effect_occupation_decision_colonise_cost_zero	occupation_decision_colonise_cost_mod
wh_main_effect_politics_political_action_political_support_cost_mod	political_action_power_cost_mod
wh_main_effect_politics_political_event_occurence_mod	political_event_chance_mod_overall
wh_main_effect_province_food_shortage_development_growth_penalty	province_development_growth_added_food
wh_main_effect_province_food_shortage_disable_replenishment	cancel_all_replenishment_in_region
wh_main_effect_province_food_shortage_enable_desertion_attrition_for_own_forces	enable_desertion_attrition_for_own_forces_in_region
wh_main_effect_province_food_shortage_public_order_happiness	province_public_order_happiness_food_factor
wh_main_effect_province_food_shortage_remove_all_growth	province_cancel_all_growth_in_province
wh_main_effect_province_food_surplus_development_growth_benefit	province_development_growth_added_food
wh_main_effect_province_growth_armies	province_development_growth_added_armies
wh_main_effect_province_growth_building	province_development_growth_added_building
wh_main_effect_province_growth_characters	province_development_growth_added_character
wh_main_effect_province_growth_food	province_development_growth_added_food
wh_main_effect_province_growth_other	province_development_growth_added_other
wh_main_effect_province_growth_province	province_development_growth_added_province
wh_main_effect_province_growth_taxes	province_development_growth_added_taxes
wh_main_effect_province_growth_tech	province_development_growth_added_technology
wh_main_effect_province_tax_rate	tax_bonus_building
wh_main_effect_public_order_base	province_public_order_happiness_building_positive_factor
wh_main_effect_public_order_characters_negative	province_public_order_happiness_character_factor
wh_main_effect_public_order_characters	province_public_order_happiness_character_factor
wh_main_effect_public_order_difficulty_level	province_public_order_happiness_baseline_factor
wh_main_effect_public_order_edict	province_public_order_happiness_family_power
wh_main_effect_public_order_events	province_public_order_happiness_events_factor
wh_main_effect_public_order_faction	province_public_order_happiness_faction_factor
wh_main_effect_public_order_global	province_public_order_happiness_building_positive_factor
wh_main_effect_public_order_neighbouring_wars	province_public_order_happiness_per_war_factor
wh_main_effect_public_order_osmosis	province_public_order_happiness_building_positive_factor
wh_main_effect_public_order_penalty_other_religions	happiness_mod_religious_unrest
wh_main_effect_public_order_plague	province_public_order_happiness_plague
wh_main_effect_public_order_sanitation	province_public_order_happiness_building_positive_factor
wh_main_effect_public_order_tax_rate	province_public_order_happiness_tax_factor
wh_main_effect_public_order_tech	province_public_order_happiness_technology_factor
wh_main_effect_raise_dead_recruitment_cost_mod	mercenary_cost_mod
wh_main_effect_religion_conversion_chaos_technologies	state_conversion_from_technology
wh_main_effect_religion_conversion_skaven_tech	state_conversion_from_technology
wh_main_effect_religion_conversion_state	state_religion_conversion_bonus
wh_main_effect_religion_conversion_undeath_technologies	state_conversion_from_technology
wh_main_effect_religion_conversion_untainted_technologies	state_conversion_from_technology
wh_main_effect_ror_lock	faction_mercenary_pool_cost_mod
wh_main_effect_settlement_walls_hidden	garrison_walls_15m
wh_main_effect_siege_tower_missile_attack_rate_own	tower_reload_mod
wh_main_effect_technology_economy_gdp_mod_culture_dwarfs	gdp_mod_entertainment
wh_main_effect_technology_economy_gdp_mod_livestock_dwarfs	gdp_mod_animal_husbandry
wh_main_effect_technology_economy_gdp_mod_manufacture_dwarfs	gdp_mod_manufacture
wh_main_effect_technology_economy_gdp_mod_mining_dwarfs	gdp_mod_mining
wh_main_effect_technology_economy_gdp_mod_subsistence_dwarfs	gdp_mod_subsistence
wh_main_effect_technology_research_points_mod_agent_action_hidden	research_rate_mod
wh_main_effect_technology_research_points_mod	research_rate_mod
wh_main_effect_technology_research_points	research_points
wh_main_effect_unit_recruitment_points_naval	naval_recruitment_points
wh_main_effect_unit_recruitment_points	recruitment_points
wh_main_effect_unit_stat_army_all_shield_mod	unit_stat_bonus_shield
wh_main_effects_province_growth_faction	province_development_growth_added_faction
wh_main_ignore_replenishment_cap	max_replenishment_pct_override
