special_ability_groups_to_unit_abilities_junctions_tables
1
special_ability_groups	unit_special_abilities
wh_dlc04_lore_helman_ghorst	wh_dlc04_spell_vampires_invocation_of_nehek_helman
wh_dlc04_lore_helman_ghorst	wh_dlc04_spell_vampires_raise_dead_helman
wh_dlc04_lore_helman_ghorst	wh_dlc04_spell_vampires_vanhels_danse_macabre_helman
wh_dlc04_lore_helman_ghorst	wh_dlc04_spell_vampires_wind_of_death_helman
wh_dlc04_lore_helman_ghorst	wh_main_lore_passive_the_curse_of_undeath
wh_dlc04_lore_strigoi	wh_dlc04_spell_death_doom_and_darkness_strigoi
wh_dlc04_lore_strigoi	wh_dlc04_spell_death_soulblight_strigoi
wh_dlc04_lore_strigoi	wh_dlc04_spell_death_spirit_leech_strigoi
wh_dlc04_lore_strigoi	wh_dlc04_spell_vampires_gaze_of_nagash_strigoi
wh_dlc04_lore_strigoi	wh_dlc04_spell_vampires_invocation_of_nehek_strigoi
wh_dlc04_lore_strigoi	wh_dlc04_spell_vampires_raise_dead_strigoi
wh_dlc04_lore_strigoi	wh_main_lore_passive_the_curse_of_undeath
wh_dlc05_lore_branchwraith	wh_dlc05_lore_passive_smoke_and_mirrors
wh_dlc05_lore_branchwraith	wh_dlc05_spell_life_awakening_the_wood_branchwraith
wh_dlc05_lore_branchwraith	wh_dlc05_spell_life_earth_blood_branchwraith
wh_dlc05_lore_branchwraith	wh_dlc05_spell_life_shield_of_thorns_branchwraith
wh_dlc05_lore_branchwraith	wh_dlc05_spell_shadow_melkoths_mystifying_miasma_branchwraith
wh_dlc05_lore_branchwraith	wh_dlc05_spell_shadow_the_penumbral_pendulum_branchwraith
wh_dlc05_lore_branchwraith	wh_dlc05_spell_shadow_the_withering_branchwraith
wh_dlc05_lore_life	wh_dlc05_lore_passive_life_bloom
wh_dlc05_lore_life	wh_dlc05_spell_life_awakening_of_the_wood
wh_dlc05_lore_life	wh_dlc05_spell_life_earth_blood
wh_dlc05_lore_life	wh_dlc05_spell_life_flesh_to_stone
wh_dlc05_lore_life	wh_dlc05_spell_life_regrowth
wh_dlc05_lore_life	wh_dlc05_spell_life_shield_of_thorns
wh_dlc05_lore_life	wh_dlc05_spell_life_the_dwellers_below
wh_dlc05_lore_shadows	wh_dlc05_lore_passive_smoke_and_mirrors
wh_dlc05_lore_shadows	wh_dlc05_spell_shadow_melkoths_mystifying_miasma
wh_dlc05_lore_shadows	wh_dlc05_spell_shadow_okkams_mindrazor
wh_dlc05_lore_shadows	wh_dlc05_spell_shadow_pit_of_shades
wh_dlc05_lore_shadows	wh_dlc05_spell_shadow_the_enfeebling_foe
wh_dlc05_lore_shadows	wh_dlc05_spell_shadow_the_penumbral_pendulum
wh_dlc05_lore_shadows	wh_dlc05_spell_shadow_the_withering
wh_main_lore_big_waaagh	wh_main_lore_passive_power_of_da_waaagh
wh_main_lore_big_waaagh	wh_main_spell_big_waaagh_brain_bursta
wh_main_lore_big_waaagh	wh_main_spell_big_waaagh_eadbutt
wh_main_lore_big_waaagh	wh_main_spell_big_waaagh_ere_we_go
wh_main_lore_big_waaagh	wh_main_spell_big_waaagh_fists_of_gork
wh_main_lore_big_waaagh	wh_main_spell_big_waaagh_foot_of_gork
wh_main_lore_big_waaagh	wh_main_spell_big_waaagh_gaze_of_mork
wh_main_lore_death	wh_main_lore_passive_life_leeching
wh_main_lore_death	wh_main_spell_death_aspect_of_the_dreadknight
wh_main_lore_death	wh_main_spell_death_doom_and_darkness
wh_main_lore_death	wh_main_spell_death_soulblight
wh_main_lore_death	wh_main_spell_death_spirit_leech
wh_main_lore_death	wh_main_spell_death_the_fate_of_bjuna
wh_main_lore_death	wh_main_spell_death_the_purple_sun_of_xereus
wh_main_lore_fire	wh_main_lore_passive_kindleflame
wh_main_lore_fire	wh_main_spell_fire_cascading_fire_cloak
wh_main_lore_fire	wh_main_spell_fire_fireball
wh_main_lore_fire	wh_main_spell_fire_flame_storm
wh_main_lore_fire	wh_main_spell_fire_flaming_sword_of_rhuin
wh_main_lore_fire	wh_main_spell_fire_piercing_bolts_of_burning
wh_main_lore_fire	wh_main_spell_fire_the_burning_head
wh_main_lore_heavens	wh_main_lore_passive_roiling_skies
wh_main_lore_heavens	wh_main_spell_heavens_chain_lightning
wh_main_lore_heavens	wh_main_spell_heavens_comet_of_casandora
wh_main_lore_heavens	wh_main_spell_heavens_curse_of_the_midnight_wind
wh_main_lore_heavens	wh_main_spell_heavens_harmonic_convergence
wh_main_lore_heavens	wh_main_spell_heavens_urannons_thunderbolt
wh_main_lore_heavens	wh_main_spell_heavens_wind_blast
wh_main_lore_light	wh_main_lore_passive_exorcism
wh_main_lore_light	wh_main_spell_light_banishment
wh_main_lore_light	wh_main_spell_light_bironas_timewarp
wh_main_lore_light	wh_main_spell_light_light_of_battle
wh_main_lore_light	wh_main_spell_light_net_of_amyntok
wh_main_lore_light	wh_main_spell_light_phas_protection
wh_main_lore_light	wh_main_spell_light_shems_burning_gaze
wh_main_lore_lil_waaagh	wh_main_lore_passive_sneaky_stealin
wh_main_lore_lil_waaagh	wh_main_spell_lil_waaagh_curse_of_da_bad_moon
wh_main_lore_lil_waaagh	wh_main_spell_lil_waaagh_gorkll_fix_it
wh_main_lore_lil_waaagh	wh_main_spell_lil_waaagh_itchy_nuisance
wh_main_lore_lil_waaagh	wh_main_spell_lil_waaagh_night_shroud
wh_main_lore_lil_waaagh	wh_main_spell_lil_waaagh_sneaky_stabbin
wh_main_lore_lil_waaagh	wh_main_spell_lil_waaagh_vindictive_glare
wh_main_lore_metal	wh_main_lore_passive_metalshifting
wh_main_lore_metal	wh_main_spell_metal_final_transmutation
wh_main_lore_metal	wh_main_spell_metal_gehennas_golden_hounds
wh_main_lore_metal	wh_main_spell_metal_glittering_robe
wh_main_lore_metal	wh_main_spell_metal_plague_of_rust
wh_main_lore_metal	wh_main_spell_metal_searing_doom
wh_main_lore_metal	wh_main_spell_metal_transmutation_of_lead
wh_main_lore_vampires	wh_main_lore_passive_the_curse_of_undeath
wh_main_lore_vampires	wh_main_spell_vampires_curse_of_years
wh_main_lore_vampires	wh_main_spell_vampires_gaze_of_nagash
wh_main_lore_vampires	wh_main_spell_vampires_invocation_of_nehek
wh_main_lore_vampires	wh_main_spell_vampires_raise_dead
wh_main_lore_vampires	wh_main_spell_vampires_vanhels_danse_macabre
wh_main_lore_vampires	wh_main_spell_vampires_wind_of_death
