slot_template_to_building_superchain_junctions_tables
0
building_superchain	id	slot_template
wh_main_sch_norsca_settlement_major	1070391555	wh_main_norsca_major_primary
wh_dlc05_sch_wef_eco_growth	10704	wh_dlc05_elf_minor_secondary_gold
wh2_main_sch_infrastructure6_other	1070499950	wh2_main_special_karond_kar_secondary
wh2_main_sch_military3_warmachines	1070537768	wh2_main_special_zoishenk_secondary
wh_dlc05_sch_wef_eco_income	10708	wh_dlc05_elf_minor_secondary_gold
wh_dlc05_sch_wef_mil_melee	10712	wh_dlc05_elf_minor_secondary_gold
wh_main_sch_vampires_vampires	107175389	wh2_main_special_altar_of_ultimate_darkness_secondary_ritual
wh_dlc05_sch_wef_mil_cavalry	10720	wh_dlc05_elf_minor_secondary_gold
wh_main_sch_vampires_forest	1072593253	wh2_main_special_chamber_of_visions_secondary_ritual
wh_dlc05_sch_wef_mil_ranged	10730	wh_dlc05_elf_minor_secondary_gold
wh_dlc05_sch_wef_outpost_foraging	1073016956	wh2_main_special_tor_elyr_secondary
wh_dlc05_sch_wef_mil_tree_spirits	10739	wh_dlc05_elf_minor_secondary_gold
wh_main_sch_human_industry_basic	107405970	wh_main_norsca_major_secondary_marble
wh_dlc05_sch_wef_sup_armoury	10749	wh_dlc05_elf_minor_secondary_gold
wh_dlc05_sch_wef_sup_fletcher	10758	wh_dlc05_elf_minor_secondary_gold
wh2_main_sch_support3_wizards	107584058	wh2_main_special_mirror_pool_of_tepok_secondary_ritual
wh_dlc05_sch_wef_sdf_garrison	10761	wh_dlc05_elf_minor_secondary_iron
wh2_main_sch_ritual_skv	1076756149	wh2_main_special_altar_of_ultimate_darkness_secondary_ritual
wh_dlc05_sch_wef_sdf_walls	10770	wh_dlc05_elf_minor_secondary_iron
wh2_main_sch_defence_major_hef	1077202220	wh2_main_special_altar_of_ultimate_darkness_secondary_major
wh_main_sch_human_smiths	1077616126	wh_main_norsca_major_secondary_iron
wh_dlc05_sch_wef_eco_public_order	10778	wh_dlc05_elf_minor_secondary_iron
wh_main_sch_greenskin_boars	1078	wh_main_dwarf_orc_major_secondary_pastures
wh_dlc05_sch_wef_eco_growth	10784	wh_dlc05_elf_minor_secondary_iron
wh_main_sch_human_industry_basic	107844668	wh2_main_special_clarak_spire_secondary
wh_dlc05_sch_wef_eco_income	10791	wh_dlc05_elf_minor_secondary_iron
wh_dlc05_sch_wef_mil_melee	10799	wh_dlc05_elf_minor_secondary_iron
wh_dlc05_sch_wef_mil_cavalry	10806	wh_dlc05_elf_minor_secondary_iron
wh_dlc05_sch_wef_outpost_foraging	1080913567	wh2_main_special_hef_vauls_anvil_secondary
wh_main_sch_greenskin_shaman	1081	wh_main_dwarf_orc_major_secondary_pastures
wh_dlc05_sch_wef_mil_ranged	10815	wh_dlc05_elf_minor_secondary_iron
wh_dlc05_sch_wef_mil_tree_spirits	10817	wh_dlc05_elf_minor_secondary_iron
wh_dlc05_sch_wef_sup_armoury	10826	wh_dlc05_elf_minor_secondary_iron
wh_dlc05_sch_wef_sup_fletcher	10831	wh_dlc05_elf_minor_secondary_iron
wh_main_sch_vandalization	1083492095	wh_main_special_marienburg_secondary
wh2_main_sch_defence_major_skv	1083647579	wh2_main_special_hef_vauls_anvil_secondary_ritual
wh_dlc05_sch_wef_sdf_garrison	10839	wh_dlc05_elf_minor_secondary_marble
wh_dlc05_sch_wef_sdf_walls	10844	wh_dlc05_elf_minor_secondary_marble
wh_main_sch_human_barracks	1084411329	wh2_main_special_altar_of_ultimate_darkness_secondary_ritual
wh_main_sch_dwarf_greenskin_garrison	1084608253	wh2_main_special_pyramid_of_nagash_secondary
wh_dlc05_sch_wef_eco_public_order	10850	wh_dlc05_elf_minor_secondary_marble
wh2_main_sch_support4_other	1085200545	wh2_main_special_hellpit_secondary
wh_dlc05_sch_wef_eco_growth	10858	wh_dlc05_elf_minor_secondary_marble
wh_dlc05_sch_wef_eco_income	10865	wh_dlc05_elf_minor_secondary_marble
wh_dlc05_sch_wef_sup_fletcher	1086853495	wh_main_special_vauls_anvil_secondary
wh2_main_sch_military4_monsters	1086905332	wh2_main_special_yuatek_secondary
wh_dlc05_sch_wef_mil_melee	10874	wh_dlc05_elf_minor_secondary_marble
wh_dlc05_sch_wef_mil_cavalry	10879	wh_dlc05_elf_minor_secondary_marble
wh_main_sch_greenskin_boss	1088	wh_main_dwarf_orc_major_secondary_salt
wh_dlc05_sch_wef_mil_ranged	10880	wh_dlc05_elf_minor_secondary_marble
wh2_main_sch_support1_smith	1088412930	wh_main_norsca_major_secondary_marble
wh_dlc05_sch_wef_mil_tree_spirits	10890	wh_dlc05_elf_minor_secondary_marble
wh_dlc05_sch_wef_sup_armoury	10891	wh_dlc05_elf_minor_secondary_marble
wh_dlc05_sch_wef_sup_fletcher	10892	wh_dlc05_elf_minor_secondary_marble
wh_dlc05_sch_wef_sdf_garrison	10897	wh_dlc05_elf_minor_secondary_pastures
wh_dlc05_sch_wef_sdf_walls	10904	wh_dlc05_elf_minor_secondary_pastures
wh2_main_sch_infrastructure2_industry	1090573173	wh2_main_special_altar_of_ultimate_darkness_secondary_ritual
wh_dlc05_sch_wef_eco_public_order	10911	wh_dlc05_elf_minor_secondary_pastures
wh_dlc05_sch_wef_outpost_recruitment	1091279194	wh2_main_special_hef_vauls_anvil_secondary
wh_dlc05_sch_wef_eco_growth	10913	wh_dlc05_elf_minor_secondary_pastures
wh_dlc05_sch_wef_eco_income	10921	wh_dlc05_elf_minor_secondary_pastures
wh_main_sch_vandalization	1092429424	wh2_main_special_pyramid_of_nagash_secondary
wh_dlc05_sch_wef_outpost_recruitment	109249705	wh2_main_special_golden_colossus_secondary_ritual
wh_main_sch_human_smiths	1092715103	wh2_main_special_def_vauls_anvil_secondary_ritual
wh_dlc05_sch_wef_mil_melee	10929	wh_dlc05_elf_minor_secondary_pastures
wh_dlc05_sch_wef_mil_cavalry	10932	wh_dlc05_elf_minor_secondary_pastures
wh_dlc05_sch_wef_mil_ranged	10935	wh_dlc05_elf_minor_secondary_pastures
wh_dlc05_sch_wef_mil_tree_spirits	10941	wh_dlc05_elf_minor_secondary_pastures
wh_main_sch_human_barracks	1094258587	wh_main_norsca_minor_secondary_marble
wh_dlc05_sch_wef_sup_armoury	10950	wh_dlc05_elf_minor_secondary_pastures
wh_main_sch_special_reiksfort	109516487	wh2_main_human_major_secondary_gems
wh_dlc05_sch_wef_sup_fletcher	10958	wh_dlc05_elf_minor_secondary_pastures
wh2_main_sch_defence_major_skv	1096485753	wh2_main_special_lahmia_secondary
wh_dlc05_sch_wef_sdf_garrison	10967	wh_dlc05_elf_minor_secondary_pottery
wh_dlc05_sch_wef_sdf_walls	10975	wh_dlc05_elf_minor_secondary_pottery
wh_dlc05_sch_wef_eco_public_order	10976	wh_dlc05_elf_minor_secondary_pottery
wh_dlc05_sch_wef_eco_growth	10977	wh_dlc05_elf_minor_secondary_pottery
wh2_main_sch_defence_major_lzd	109841252	wh2_main_special_tor_koruali_secondary
wh2_main_sch_support2_worship	1098479680	wh_main_special_erengrad_secondary
wh_dlc05_sch_wef_eco_income	10986	wh_dlc05_elf_minor_secondary_pottery
wh2_main_sch_wef_eco_replenishment	1098803526	wh2_main_special_lothern_secondary
wh_dlc05_sch_wef_mil_melee	10993	wh_dlc05_elf_minor_secondary_pottery
wh2_main_sch_infrastructure6_other	1099370560	wh_main_human_major_secondary_pastures
wh2_main_sch_infrastructure2_industry	1099882143	wh2_main_special_zoishenk_secondary
wh_dlc05_sch_wef_mil_cavalry	10999	wh_dlc05_elf_minor_secondary_pottery
wh_dlc05_sch_wef_mil_ranged	11002	wh_dlc05_elf_minor_secondary_pottery
wh2_main_sch_vampires_raisedead	1100252460	wh2_main_special_golden_tower_of_the_gods_secondary_ritual
wh2_main_sch_support3_wizards	1101188717	wh_main_special_erengrad_secondary
wh_dlc05_sch_wef_mil_tree_spirits	11012	wh_dlc05_elf_minor_secondary_pottery
wh_dlc05_sch_wef_sup_armoury	11014	wh_dlc05_elf_minor_secondary_pottery
wh_dlc05_sch_wef_outpost_recruitment	1101604633	wh2_main_special_def_vauls_anvil_secondary_ritual
wh_main_sch_vandalization	1101744898	wh2_main_special_altar_of_ultimate_darkness_secondary_ritual
wh_main_sch_teb_walls	1102156342	wh2_main_special_tor_koruali_secondary
wh2_main_sch_wef_eco_court	1102256056	wh_dlc05_elf_major_secondary_dyes
