provincial_initiative_records_tables
3
key	effect_bundle	order	icon_path	campaign_vfx_id	unknown5
wh_main_edict_harvest_corpses	wh_main_edict_harvest_corpses	3	UI/Campaign UI/edicts/wh_main_edict_harvest_corpses.png		
wh_main_edict_high_kings_tribute	wh_main_edict_high_kings_tribute	2	UI/Campaign UI/edicts/wh_main_edict_high_kings_tribute.png		
wh_main_edict_host_festag	wh_main_edict_host_festag	1	UI/Campaign UI/edicts/wh_main_edict_host_festag.png		
wh_main_edict_imperial_taxation	wh_main_edict_imperial_taxation	3	UI/Campaign UI/edicts/wh_main_edict_imperial_taxation.png		
wh_main_edict_levy_conscripts	wh_main_edict_levy_conscripts	5	UI/Campaign UI/edicts/wh_main_edict_levy_conscripts.png		
wh_main_edict_levy_tithes	wh_main_edict_levy_tithes	3	UI/Campaign UI/edicts/wh_main_edict_imperial_taxation.png		
wh_main_edict_masters_of_steel_and_stone	wh_main_edict_masters_of_steel_and_stone	5	UI/Campaign UI/edicts/wh_main_edict_masters_of_steel_and_stone.png		
wh_main_edict_realm_of_chivalry	wh_main_edict_realm_of_chivalry	2	UI/Campaign UI/edicts/wh_main_edict_masters_of_steel_and_stone.png		
wh_main_edict_repress_mortals	wh_main_edict_repress_mortals	1	UI/Campaign UI/edicts/wh_main_edict_repress_mortals.png		
wh_main_edict_sigmarite_dogma	wh_main_edict_sigmarite_dogma	2	UI/Campaign UI/edicts/wh_main_edict_sigmarite_dogma.png		
wh_main_edict_state_troop_levy	wh_main_edict_state_troop_levy	5	UI/Campaign UI/edicts/wh_main_edict_state_troop_levy.png		
wh_main_edict_stimulate_trade	wh_main_edict_stimulate_trade	4	UI/Campaign UI/edicts/wh_main_edict_stimulate_trade.png		
wh_main_edict_the_peasants_duty	wh_main_edict_the_peasants_duty	5	UI/Campaign UI/edicts/wh_main_edict_host_festag.png		
wh_main_edict_venerate_the_ancestors	wh_main_edict_venerate_the_ancestors	1	UI/Campaign UI/edicts/wh_main_edict_venerate_the_ancestors.png		
wh_main_edict_venerate_the_lady	wh_main_edict_venerate_the_lady	1	UI/Campaign UI/edicts/wh_main_edict_venerate_the_lady.png		
